
Business Name,Industry,Address,Phone,Email,Website,Notes
Pyramid Logistics (Las Vegas),Logistics / Freight,"7120 W Post Rd, Las Vegas, NV 89113",800-877-6687,services@pyramid-logistics.com,https://pyramid-logistics.com,Third-party logistics provider; provides transportation & warehouse services
YRC Freight,Freight / LTL,"5049 W Post Rd, Las Vegas, NV 89118",702-739-6160,,https://yrc.com,Less‑than‑truckload shipping and logistics
XPO Logistics,Freight / LTL,"5049 W Post Rd, Las Vegas, NV 89118",702-688-4002,,https://xpo.com,National less‑than‑truckload freight
Reddaway (USF Reddaway),Regional LTL transportation,"5049 W Post Rd, Las Vegas, NV 89118",702-798-0467,,https://www.reddawayregional.com,Regional less-than-truckload carrier
Dependable Highway Express,Logistics / Supply chain,"3900 W Oquendo Rd, Las Vegas, NV 89118",702-795-8150,,https://godependable.com,Provides freight transportation and supply-chain solutions
FedEx Freight,Freight / Shipping,"4350 W Russell Rd, Las Vegas, NV 89118",855-442-5824,,https://local.fedex.com,LTL services for shipments and delivery
Saia LTL Freight,Freight / LTL,"4650 E Cheyenne Ave, Las Vegas, NV 89115",702-643-0614,,https://www.saia.com,Regional and national LTL shipping
Old Dominion Freight Line,Freight / LTL,"4550 E Cheyenne Ave, Las Vegas, NV 89115",702-651-0064,,https://www.odfl.com,Nationwide less‑than‑truckload carrier
Scan Global Logistics,International & domestic logistics,"3650 E Post Road, Suite D, Las Vegas, NV 89120",702-550-4900,las.intl@scangl.com / las.dom@scangl.com,https://www.scangl.com,Freight forwarding and supply-chain solutions
Specialty Logistics,Trucking / Transportation,"3915 W Hacienda Ave, Las Vegas, NV 89118",702-262-6544,,,Transportation company offering reliable logistics services
Quality Logistics & Installation (QLI International),FF&E transportation / Installation,"3250 W Ali Baba Ln Ste A, Las Vegas, NV 89118",702-221-4000,,https://qliinternational.com,"Specialises in furniture, fixtures & equipment logistics"
Logistics Xpress,Logistics / Delivery,"5125 W Oquendo Rd Ste 13, Las Vegas, NV 89118",702-703-7085,,http://logisticsxpress.com,Transport and delivery services
Refrigeration Supplies Distributor (RSD),HVAC/Refrigeration supply,"3350 W Ali Baba Ln, Las Vegas, NV 89118",702-597-1040,govt@rsd.net,https://www.rsd.net,"Distributor of refrigeration equipment, parts and supplies"
Ferguson HVAC Supply,HVAC distribution,"6845 S Decatur Blvd Ste 190, Las Vegas, NV 89118",702-260-9388,,https://www.ferguson.com,HVAC equipment and parts supplier
Warehouse & Logistics Las Vegas,Warehousing / Fulfillment,"4050 West Sunset Road, Suite B, Las Vegas, NV 89118",702-914-8244,,,"Provides secure storage, fulfilment and distribution services"
Advantage Warehousing & Logistics,Warehousing / Logistics,"7050 Lindell Road #160, Las Vegas, NV 89118",702-750-9911,,,Warehousing and logistics services
Standard Plumbing Supply,Plumbing supply,"5625 S Arville Street Suite E, Las Vegas, NV 89118 (store) ",833-439-8499,info@standardplumbing.com,https://www.standardplumbing.com,Supplier of plumbing products; multiple Nevada locations
BBA Logistics,Logistics / Freight,"6280 S Valley View Blvd, Las Vegas, NV 89118",,daniel.silvestre@logisticsbba.com,https://logisticsbba.com,Freight and logistics services
Customer First Logistics,Logistics / Freight,"5182 Arville St, Las Vegas, NV 89118",,info@customerfirstlogistics.com,https://customerfirstlogistics.com,Trucking and logistic services
Axcept Logistics,Logistics / Freight,"6253 Dean Martin Dr, Las Vegas, NV 89118",702-463-6523,,,Logistics and freight services
Western Air Systems,HVAC Installation & Service,"5480 Procyon St, Las Vegas, NV 89118",702-260-9388,,,HVAC system installation and maintenance
VMC Distribution,Distribution / Supply chain,"3515 W Post Rd Ste 115, Las Vegas, NV 89118",858-382-1772,,,Distribution and supply chain management company
Energy Transport Logistics,Logistics / Transportation,,844-737-7447,sales@energytransportlogistics.com,https://www.energytransportlogistics.com,General contact; logistics and transportation services
AIT Worldwide Logistics (Las Vegas),Global supply chain,"6260 McLeod Dr Suite 140, Las Vegas, NV 89120",702-545-6277,,https://www.aitworldwide.com,Global air & ocean freight forwarder
Reliable Couriers,Courier / Delivery,,888-415-1781,support@reliablecouriers.com,https://reliablecouriers.com,Same-day courier and last-mile delivery services
