
Company Name,Address,Phone,Website,Number of Locations
Gravois Auto Repair,"10601 Tesson Ferry Rd, St. Louis, MO 63123",314-638-3944,,1
Combs Auto Service & Tire Center,"10520 Big Bend Road, Kirkwood, MO 63122",314-821-6100,https://combsautoservice.com,1
Fairway Automotive (Kingshighway),"5208 S Kingshighway Blvd, St. Louis, MO 63109",314-352-6317,https://www.fairwayautomotive.com,5
Car‑Doc Automotive / Telle Tire (Maryland Heights),"11738 Administration Dr, Maryland Heights, MO 63146",314-991-2277,https://www.telleauto.com,10+
EcoTECH Import Automotive,"8512 Watson Road, St. Louis, MO 63119",314-729-1100,https://www.ecotechauto.com,1
Bimmers R Us,"3435 S Kingshighway Blvd, St. Louis, MO 63139",314-752-3800,https://www.bimmersrus.com,1
Len’s Auto Repair (Overland),"8701 Lackland Road, Overland, MO 63114",314-427-2330,https://lensautoautorepair.com,3
Oakville Automotive,"3001 Telegraph Rd, St. Louis, MO 63125",314-551-9330,https://www.oakvilleautomotive.com,1
Master Auto Repair (Hampton Ave),"7027 Hampton Ave, St. Louis, MO 63109",314-832-5357,https://masterautorepairstl.com,2
Master Auto Repair (Fyler Ave),"6501 Fyler Ave, St. Louis, MO 63139",314-644-5995,https://masterautorepairstl.com,2
A.M. Clark Auto Repair,"7879 Big Bend Blvd, Webster Groves, MO 63119",314-961-7500,https://amclarkautorepair.com,1
Greg’s Auto Service & Repair,"11264 Midland Blvd, St. Louis, MO 63114",314-428-4000,https://www.gregsautoservicestl.com,1
Union Weber Autocare,"645 Union Rd, St. Louis, MO 63123",314-631-8947,https://unionweberautocare.com,1
Greentree Tire & Auto,"621 W Woodbine Ave, Kirkwood, MO 63122",314-742-7581,https://greentreeauto.com,1
Unique Heating & Cooling (St. Louis),"11760 Westline Industrial Dr., St. Louis, MO 63146",314-647-0604,https://www.uniqueheatingcooling.com,2
Unique Heating & Cooling (St. Charles),"St. Charles, MO",636-388-4100,https://www.uniqueheatingcooling.com,2
Hoffmann Brothers – St. Louis County Office,"1025 Hanley Industrial Ct, Brentwood, MO 63144",314-664-3011,https://www.hoffmannbros.com,6+
Hoffmann Brothers – St. Louis City Office,"1643 Tower Grove Ave, St. Louis, MO 63110",314-256-2970,https://www.hoffmannbros.com,6+
Hoffmann Brothers – Maryland Heights Office,"2043 Woodland Pkwy Suite 100, St. Louis, MO 63146",314-664-7483,https://www.hoffmannbros.com,6+
Classic Aire Care (Main Office),"1276 N. Warson Road, St. Louis, MO 63132",314-350-8066,https://classicairecare.com,7
Classic Aire Care – Gravois Rd,"9900 Gravois Rd, St. Louis, MO 63123",314-352-1111,https://classicairecare.com,7
Classic Aire Care – Baur Blvd (Olivette),"10466 Baur Blvd, Olivette, MO 63132",314-352-1111,https://classicairecare.com,7
Classic Aire Care – Tenbrook Rd (Arnold),"2104 Tenbrook Rd, Arnold, MO 63010",636-296-1230,https://classicairecare.com,7
Classic Aire Care – Glen Carbon (IL),"3 Sunset Hills Executive Dr Suite 1, Glen Carbon, IL 62034",618-205-4118,https://classicairecare.com,7
Classic Aire Care – Ballwin,"930 Kehrs Mill Rd Suite 325-9, Ballwin, MO 63011",636-207-3844,https://classicairecare.com,7
Brauer Supply Co. (Corporate HQ),"1218 S. Vandeventer Ave, St. Louis, MO 63110",314-534-7150,https://www.brauersupply.com,9
Seliga Heating & Cooling,"6211 Gravois Road, St. Louis, MO 63116",314-481-7333,https://seligaheatingandcooling.com,1
Welsch Heating & Cooling,"2175 Welsch Industrial Court, St. Louis, MO 63146-4220",314-872-8070,https://www.welsch-heatcool.com,1
Galmiche & Sons Heating & Cooling,"2280 Chaffee Dr, St. Louis, MO 63146",314-993-1110,https://www.galmicheandsons.com,1
Design Aire Heating & Cooling – Maryland Heights,"2550 Harley Dr, Maryland Heights, MO 63043",314-794-7429,https://www.designaire.net,3
Design Aire Heating & Cooling – St. Louis City,"5804 Hampton Ave, St. Louis, MO 63109",314-794-7429,https://www.designaire.net,3
Design Aire Heating & Cooling – O’Fallon,"103 Church St, O’Fallon, MO 63366",314-794-7429,https://www.designaire.net,3
Maplewood Plumbing & Sewer LLC,"2725 Watson Rd, St. Louis, MO 63139-2720",314-645-6350,https://maplewoodplumbing.com,1
Cordia Plumbing Inc.,"1420 S Big Bend Blvd, Richmond Heights, MO 63117",314-781-6241,https://www.cordiaplumbing.com,1
J.E. Redington Co. – Kirkwood,"639 Leffingwell Ave, St. Louis, MO 63122-6415",314-965-3200,https://www.yourhometownplumber.com,2
J.E. Redington Co. – Gravois Ave (St. Louis city),"2644 Gravois Ave, St. Louis, MO 63118-1539",314-965-3200,https://www.yourhometownplumber.com,2
O.J. Laughlin Plumbing Company,"300 St Louis Ave, Valley Park, MO 63088",636-225-0992,https://www.ojlaughlinplumbing.com,1
Tony LaMartina Plumbing Company,"5705 Dale Ave, St. Louis, MO 63110",314-403-2980,https://www.tonylamartinaplumbing.com,1
Kirkwood Plumbing (Mr. Rooter),"248 Grand Ave, Kirkwood, MO 63122",314-207-3916,https://www.kirkwoodplumbing.com,1
Precision Plumbing Solutions,"812 Midpoint Drive, O’Fallon, MO 63366",636-887-4367,https://stlplumbing.net,1
Anytime Plumbing Services,"4105 Debra Ct, St. Louis, MO 63123",314-283-3370,https://www.anytimeplumbingstl.com,2
Shamrock Sewer and Drain LLC,"2084 McNamee Rd, Pacific, MO 63069",314-882-0857,https://www.shamrockseweranddrain.com,1
"Dunn Plumbing, Heating & Air Conditioning, LLC","6068 Baumgartner Industrial Dr., St. Louis, MO 63129",314-476-9606,https://www.dunnheatcool.com,1
A A Quick Electric Sewer Service,"3012-A N. Lindbergh Blvd., Saint Louis, MO 63074",314-429-7131,https://www.aaquicksewerservice.com,1
Bore's Plumbing & Sewer Service,"1611 Jeffco Blvd, Arnold, MO 63010",636-296-7772,https://www.boresplumbing.com,2
"Bellm Plumbing (""ED"" Bellm Plumbing Co.)","5830 Helen Avenue, St. Louis, MO 63136",314-383-1436,https://bellmplumbing.com,1
"Cocos Plumbing (Wm. G. Cocos Company, Inc.)","738 Lemay Ferry Road, St. Louis, MO 63125-1428",314-631-2688,https://www.cocosplumbing.com,2
"Reinhold Electric, Inc.","2511 Lemay Ferry Rd, St. Louis, MO 63125",314-631-1158,https://www.reinholdelectric.com,5
Anytime Electric,"St. Louis, MO 63129",314-280-0997,https://www.anytimeelectricstl.com,1
Elegant Electrical,"Ballwin, MO 63011",636-896-5753,https://www.elegantelectrical.org,1
Schaeffer Electric Company,"4667 Green Park Road, St. Louis, MO 63123",314-892-7800,https://schaefferelectric.com,1
Brda Electric,"1758 Chase Dr, Fenton, MO 63026",636-343-0504,https://www.brdaelectric.com,3
Southwestern Electric Company Inc.,"3838 S. Broadway, St. Louis, MO 63118",314-776-5252,https://www.sweco1948.com,1
