
Company Name,Website,Email,Phone,Instagram/LinkedIn
South London Lofts,https://southlondonlofts.co.uk,info@southlondonlofts.co.uk,020 8673 4114,Instagram (social link)
CS Lofts,https://cs-lofts.co.uk,enquiries@cslofts.co.uk,020 3659 8980,https://www.instagram.com/cslofts/
The Loft Room,https://the-loftroom.com,info@the-loftroom.com,0800 002 9291,Instagram @the_loftroom
Clapham Construction Service,https://claphamconstructionservice.com,info@claphamconstructionservice.com,0203 950 7957,https://www.instagram.com/clapham_construction/
Amber Lofts,https://amberlofts.co.uk,info@amberlofts.co.uk,020 8058 2282,
LMB Group,https://lmb-lofts.com,enquiries@lmbgroupltd.co.uk,0208 406 9907,https://www.instagram.com/lmb_group/
Oliver Edwards Developments,https://oliveredwardsdevelopments.com,info@oliveredwardsdevelopments.com,07940 489734,
Surrey Lofts,https://surreylofts.co.uk,sales@surreylofts.co.uk,0203 603 9777,
Lofts of London Ltd,https://loftsoflondon.co.uk,loftsoflondon@outlook.com,0800 0556 004,
Visionary Lofts,https://visionarylofts.co.uk,sales@visionarylofts.co.uk,020 3536 8734,https://www.instagram.com/visionarylofts/
Croydon Lofts,https://croydonlofts.co.uk,info@croydonloftimaginary.com,+44 7443 234283,Instagram (social link)
TNK Construction Ltd,https://tnkltd.co.uk,info@tnkltd.co.uk,020 8128 9485,
Berry Construction UK,https://berryconstructionuk.com,info@berryconstructionuk.com,0208 945 7900,
Bromley North Construction,https://bromleynorthconstruction.co.uk,bromleynorthconstruction@yahoo.co.uk,07956 081139,Facebook
South East Lofts,https://southeastlofts.com,info@southeastlofts.com,020 8298 9399,Facebook
Highview Loft Conversions,https://highviewloftconversions.com,info@highviewloftconversions.com,020 3633 7955,
Premier Lofts (The Premier Loft Company),https://thepremierloftcompany.co.uk,office@thepremierloftcompany.co.uk,01923 859522; 07831 371948,
Taylor'd Loft Conversions,https://taylordloftconversions.com,info@taylordloftconversions.com,0800 046 7654; 07554 06240,
Anthony Morgan Ltd,https://anthonymorgan.co.uk,info@anthonymorgan.co.uk,020 8467 7985; 07736 246028,
Lordans Lofts,https://lordanslofts.com,lordanslofts@gmail.com,0333 207 4233,
J&D Building (Jozeph),https://jdbuilding.london,jozeph@jdbuilding.london,07860 937539,
Archimedes Design Ltd,https://archimedes-designltd.co.uk,ask@archimedes-designltd.co.uk,+447418 321646,
Bromley Lofts,https://bromleylofts.co.uk,info@bromleylofts.co.uk,07508 29769,
Thima Green Limited,https://thima-loft.co.uk,info@thima-loft.co.uk,07872 017787,
Smiths of Bromley,https://smithsofbromley.org.uk,info@smithsofbromley.org.uk,020 8466 1582,Facebook
Loft Life Room Conversions,https://loftlife.net,sales@loftlife.net,0800 028 0099,
Loft Living,https://loftlivinguk.com,andy@loftlivinguk.com,07850 392525; 07885 343837,
Herko Ltd,https://herko.co.uk,office@herko.co.uk,01375 469450,
LCCL Construction,https://lcclconstruction.co.uk,info@lcclconstruction.co.uk,020 8037 7332,https://www.instagram.com/lcclconstruction/
Aspire2Build (A2B),https://aspire2build.co.uk,enquiries@aspire2build.co.uk,01932 781015,
KK Building Projects Ltd,https://kkbprojects.co.uk,help@kkbprojects.co.uk,07875 605966; 0208 788 0095,
APT Renovation Design + Build,https://aptrenovation.co.uk,info@aptrenovation.co.uk,0207 223 6417,
South London Conversions,https://southlondonconversions.co.uk,tomas@southlondonconversions.co.uk,+44 7872 391853,
Loft Space of London,https://loftspaceoflondon.com,sales@loftspaceoflondon.com,07958 944966; 020 8378 1191,Social icons
BuildTeam,https://buildteam.com,hello@buildteam.com,0207 495 6561,
Raynes Construction,https://raynesconstruction.co.uk,sales@raynesconstruction.co.uk,020 3475 5889,
Simply Extensions & Lofts Ltd,https://simplyextensionsandlofts.com,info@simplyextensionsandlofts.co.uk,020 7183 0686,
Doran Bros Construction,https://doranbrosconstruction.co.uk,info@doranbrosconstruction.co.uk,020 8682 1021,
Court Lofts,https://courtlofts.co.uk,sales@courtlofts.co.uk,020 4538 8666,
Build & Create Construction Ltd,https://buildandcreate.co.uk,clinton@buildandcreate.co.uk,020 8305 2184; 07961 089 012,
Judges Building Services,https://judgesbuildingservices.uk,info@judgesbuildingservices.uk,0333 4040 789,
Ed's Loft Conversions,https://edsloftconversions.co.uk,info@edsloftconversions.co.uk,07859 316 184,
Albes Construction,https://albesconstruction.com,info@albesconstruction.com,07492 867149,
SE6 Services,https://se6services.co.uk,mike@se6services.co.uk,07507 066447,
Loftex,https://loftex.uk,info@loftex.uk,077798 77793,
Red Box London,https://redboxlondon.com,info@redboxlondon.com,020 7381 1539,
Simply Loft,https://simplyloft.co.uk,info@simplyloft.co.uk,0800 917 7571,
Ash Island Lofts,https://ashislandlofts.co.uk,hello@ashislandlofts.co.uk,0208 166 5145,Instagram (link)
Carai Lofts,https://carailofts.co.uk,info@carai.co.uk,020 3731 9048,
Make Room Loft Conversions Ltd,https://makeroomloftconversions.co.uk,info@makeroomloftconversions.co.uk,01634 510477; 07788 471004,Facebook/Instagram
