
Business Name,Phone Number,Email Address,Address,City,Business Type
"Wade & Company, LLP",713-622-3900,taxservices@wadecocpa.com,"770 S. Post Oak Lane, Suite 101, Houston, TX 77056",Houston,CPA firm
Weinstein Spira,713-622-7000 / 713-843-4800,email@weinsteinspira.com,"3773 Richmond Avenue, Suite 900, Houston, TX 77046",Houston,CPA firm
"Robertson & Robertson, PLLC",713-953-1040,info@cparobertson.com,"800 Wilcrest Drive, Suite 205, Houston, TX 77042",Houston,CPA firm
"Constantine Sotiriades, CPA (CS CPA)",713-688-0955,costis@csotiriadescpa.com,"1776 Yorktown St., Suite 470, Houston, TX 77056",Houston,CPA firm
"Potter & Golden, P.C.",713-972-1304,info@pottergolden.com,"11111 Wilcrest Green Drive, Suite 440, Houston, TX 77042",Houston,CPA firm
Top Tax Defenders,713-570-6111 / 866-866-1555,info@toptaxdefenders.com,"11222 Richmond Avenue, Suite 235, Houston, TX 77082",Houston,Tax resolution
"Keisha L. Rondeno, CPA, PLLC",832-532-4254,info@klrondenocpa.com,"118 Vintage Park Blvd, Suite W-700, Houston, TX 77070",Houston,Tax resolution
Houston Tax Defense LLC,713-609-1533,info@houstontaxdefense.com,"10924 Grant Rd #435, Houston, TX 77070",Houston,Tax resolution
TrustEdge Financial LLC,832-207-7160,juanita@trustedgefinancial.us,"2401 Fountain View Dr. Ste 464 PMB2283, Houston, TX 77057 / 3422 Business Center Drive #1179, Suite 106, Pearland, TX 77584",Houston,Payroll service
"Burds Reed & Mercer, P.C.",214-219-2600,tehrenberg@brmdallas.com,"4144 N. Central Expressway, Suite 1230, Dallas, TX 75204",Dallas,CPA firm
Villinger & Tharp PLLC,972-661-9928,info@vtcpa.us,"12900 Preston Road, Suite 800, Dallas, TX 75230",Dallas,CPA firm
Kirk Philip Jockel CPA,214-361-6561,kirk@kpjcpa.com,"8330 Meadow Road, Suite 210, Dallas, TX 75231",Dallas,CPA firm
"Michael P. Bruce, CPA, PC",972-386-6991,mike@michaelpbrucecpa.com,"12201 Merit Drive, Ste 430, Dallas, TX 75251",Dallas,CPA firm
"Verucchi & Associates, P.C.",214-575-9430,mail@verucchiandassociates.com,"P.O. Box 38604, Dallas, TX 75238",Dallas,CPA firm
EESI PEO (Dallas),214-432-3214,dallas@eesipeo.com,"12100 Ford Road, Dallas, TX 75234",Dallas,Payroll / PEO service
Dallas Payroll (DallasPayroll.com),214-553-0700,submit@dallaspayroll.com,"1221 Abrams Road, Suite 331, Richardson, TX 75081 / 1400 Preston Road, Suite 400, Plano, TX 75093",Dallas,Payroll service
Tax Defense Network (Dallas),469-942-3058,info@taxdefensenetwork.com,"Dallas, TX 75201 (address not specified)",Dallas,Tax resolution
"Grissom & Company, CPAs",972-458-8864,info@grissomcpa.com,"15660 Dallas Pkwy, Ste 800, Dallas, TX 75248",Dallas,CPA firm
Gurian CPA Firm,469-374-3150,info@gurianco.com,"14881 Quorum Drive, Suite 350, Dallas, TX 75254",Dallas,CPA firm
"Stock and Company (Walter R. Stock, CPA)",214-696-9269,w.stock@stockandcompany.com / j.stock@stockandcompany.com,"9101 LBJ Freeway, Suite 650, Dallas, TX 75243",Dallas,CPA firm
"Justin E. Way, CPA, P.C.",214-624-9860 / 1-866-JWAYCPA,justin@jwaycpa.com,"17304 Preston Rd., Suite 800, Dallas, TX 75252",Dallas,CPA firm
L&H CPAs & Advisors,972-421-1099,info@lhcpafirm.com,"10000 North Central Expressway, Suite 710, Dallas, TX 75231",Dallas,CPA firm
