
Manufacturer,Product link,Supported weight,Specific length,Meets all criteria,Missing criteria
OVIS (Fulterer),https://www.ovisonline.com/FR5400-Locking-Drawer-Slides/,507 lb (230 kg) static capacity,40 in (full-extension),No,No disconnect/detach capability (cannot remove drawer)
Knape & Vogt,https://knapeandvogt.com/8908-locking-drawer-slide,500 lb,up to ~60 in; no 40 in variant mentioned,No,Non‑disconnect; unclear 40 in length availability
Accuride,https://www.accuride.com/products/9308e,600 lb,40 in and longer (30–60 in),No,Non‑disconnect; cannot remove drawer
Aolisheng,https://www.aolisheng.com/products/heavy-duty-locking-drawer-slides,≈265 lb (120 kg),40 in option available,Yes,—
Vadania,https://vadania.com/products/vd2053-heavy-duty-drawer-slide,≈265 lb,40 in option,Yes,—
Yenuo,https://yenuo-industrial.myshopify.com/products/heavy-duty-drawer-slides-with-lock,150 lb,40 in (sold out),Yes (when in stock),Currently 40‑in length unavailable
MRO Hardware / Ryadon,https://www.mrohardware.com/products/i-ds-3600-60-heavy-duty-full-extension-drawer-slides,600 lb,60 in (no 40‑in length listed),No,No 40 in length; no detach/disconnect info
VEVOR,https://www.vevor.com/heavy-duty-drawer-slides-c_10120/,≈250 lb,40 in and other lengths,No,No disconnect/detach mechanism
Wurth/Pride Industrial,https://shop.wurthmachinery.com/products/5890-heavy-duty-drawer-slide-250lb-capacity,250 lb,up to 36 in (no 40 in),No,No 40 in length; no lock/lock‑out; no detach
Sugatsune,https://www.sugatsune.com/product/tss-3-1000-full-extension-slide/,110 lb,39.375 in (1000 mm),No,Length <40 in; no locking or detach
Austin Hardware,https://austinhardware.com/super-heavy-duty-slides/,"Up to 1,100 lb",Up to 36 in (no 40 in),No,No 40 in length; lock‑in/out not available
Chambrelan,https://chambrelan.com/product/d444v/,≈30–40 kg (~66–88 lb),Up to 800 mm (~31.5 in),No,Length <40 in; weight <100 lb; detach unknown
Firgelli Automations,https://www.firgelliauto.com/products/locking-drawer-slides,500 lb,"30, 40, 50 & 60 in",No,No disconnect/detach mechanism specified
Hettich,https://web.hettich.com/fileadmin/Company_website/HUS/Media/3320_KA_Brochure_0419_926857400.pdf,500 lb,10–60 in (40 in available),No,No lock; non‑disconnect
Thomas Regout,https://www.thomasregout-telescopicslides.com/products/product/tr-7619-jumbo,225–325 kg (≈495–716 lb),400–1500 mm (1000 mm ≈ 39 in),No,Length <40 in for nearest size; no detach info
Maxave,https://www.maxavegroup.com/product/76mm-side-mounting-heavy-duty-slide-with-lock,220 kg (≈485 lb),250–1000 mm (up to ~39 in),No,Length may not reach 40 in; no disconnect
Tallsen,https://www.tallsen.com/p-heavy-duty-drawer-slides-tallsen-brand.html,220 kg (≈485 lb),Not specified; general heavy‑duty slides,No,Unknown length; non‑separable locking device
Furnica,https://furnica.com/products/40-inch-drawer-slides-ball-bearing-h53-right-and-left-side,299 lb (136 kg),40 in (1000 mm),No,No lock; no detach
HVPAL,https://www.hvpalhardware.com/40-inch-drawer-slides/,500 lb (227 kg),40 in (1016 mm),No,No disconnect/detach function
Blum,https://www.blum.com/us/en/products/runnersystems/overview/,Up to ≈40 kg (≈88 lb) depending on system,9–21 in (no 40 in lengths),No,Length <40 in; low load capacity; no lock or detach
