
Unnamed: 0,Company name,Company website,Press emails
1,Coursera,https://www.coursera.org,press@coursera.org
2,Udemy,https://www.udemy.com,press@udemy.com
3,Duolingo,https://www.duolingo.com,press@duolingo.com
4,Skillshare,https://www.skillshare.com,press@skillshare.com
5,MasterClass,https://www.masterclass.com,press@masterclass.com
6,Teachable,https://www.teachable.com,press@teachable.com
7,Pluralsight,https://www.pluralsight.com,press@pluralsight.com
8,Codecademy,https://www.codecademy.com,press@codecademy.com
9,IXL Learning,https://www.ixl.com,press@ixl.com
10,Udacity,https://www.udacity.com,media@udacity.com
