
Country,Quarter,gdp_growth,inflation,unemployment,usd_exchange_rate
Argentina,2019-Q1,-2.0,53.5,9.8,48.1478916666667
Argentina,2019-Q2,-2.0,53.5,9.8,48.1478916666667
Argentina,2019-Q3,-2.0,53.5,9.8,48.1478916666667
Argentina,2019-Q4,-2.0,53.5,9.8,48.1478916666667
Argentina,2020-Q1,-9.9,42.0,11.6,70.5391666666667
Argentina,2020-Q2,-9.9,42.0,11.6,70.5391666666667
Argentina,2020-Q3,-9.9,42.0,11.6,70.5391666666667
Argentina,2020-Q4,-9.9,42.0,11.6,70.5391666666667
Argentina,2021-Q1,10.4,48.4,8.8,94.9907416666667
Argentina,2021-Q2,10.4,48.4,8.8,94.9907416666667
Argentina,2021-Q3,10.4,48.4,8.8,94.9907416666667
Argentina,2021-Q4,10.4,48.4,8.8,94.9907416666667
Argentina,2022-Q1,6.0,72.4,6.8,130.61655
Argentina,2022-Q2,6.0,72.4,6.8,130.61655
Argentina,2022-Q3,6.0,72.4,6.8,130.61655
Argentina,2022-Q4,6.0,72.4,6.8,130.61655
Argentina,2023-Q1,-1.9,133.5,6.1,296.258041666667
Argentina,2023-Q2,-1.9,133.5,6.1,296.258041666667
Argentina,2023-Q3,-1.9,133.5,6.1,296.258041666667
Argentina,2023-Q4,-1.9,133.5,6.1,296.258041666667
Argentina,2024-Q1,-1.3,219.9,7.2,914.694883333333
Argentina,2024-Q2,-1.3,219.9,7.2,914.694883333333
Argentina,2024-Q3,-1.3,219.9,7.2,914.694883333333
Argentina,2024-Q4,-1.3,219.9,7.2,914.694883333333
Australia,2019-Q1,1.9,1.6,5.2,1.43850654421382
Australia,2019-Q2,1.9,1.6,5.2,1.43850654421382
Australia,2019-Q3,1.9,1.6,5.2,1.43850654421382
Australia,2019-Q4,1.9,1.6,5.2,1.43850654421382
Australia,2020-Q1,-2.0,0.9,6.5,1.45308511847016
Australia,2020-Q2,-2.0,0.9,6.5,1.45308511847016
Australia,2020-Q3,-2.0,0.9,6.5,1.45308511847016
Australia,2020-Q4,-2.0,0.9,6.5,1.45308511847016
Australia,2021-Q1,5.4,2.8,5.1,1.33122425957081
Australia,2021-Q2,5.4,2.8,5.1,1.33122425957081
Australia,2021-Q3,5.4,2.8,5.1,1.33122425957081
Australia,2021-Q4,5.4,2.8,5.1,1.33122425957081
Australia,2022-Q1,4.1,6.7,3.7,1.44166445896522
Australia,2022-Q2,4.1,6.7,3.7,1.44166445896522
Australia,2022-Q3,4.1,6.7,3.7,1.44166445896522
Australia,2022-Q4,4.1,6.7,3.7,1.44166445896522
Australia,2023-Q1,2.1,5.6,3.7,1.50519106560509
Australia,2023-Q2,2.1,5.6,3.7,1.50519106560509
Australia,2023-Q3,2.1,5.6,3.7,1.50519106560509
Australia,2023-Q4,2.1,5.6,3.7,1.50519106560509
Australia,2024-Q1,1.0,3.2,4.0,1.51535803855596
Australia,2024-Q2,1.0,3.2,4.0,1.51535803855596
Australia,2024-Q3,1.0,3.2,4.0,1.51535803855596
Australia,2024-Q4,1.0,3.2,4.0,1.51535803855596
Brazil,2019-Q1,1.2,3.7,12.0,3.9444710972507
Brazil,2019-Q2,1.2,3.7,12.0,3.9444710972507
Brazil,2019-Q3,1.2,3.7,12.0,3.9444710972507
Brazil,2019-Q4,1.2,3.7,12.0,3.9444710972507
Brazil,2020-Q1,-3.3,3.2,13.8,5.15517878751281
Brazil,2020-Q2,-3.3,3.2,13.8,5.15517878751281
Brazil,2020-Q3,-3.3,3.2,13.8,5.15517878751281
Brazil,2020-Q4,-3.3,3.2,13.8,5.15517878751281
Brazil,2021-Q1,4.8,8.3,13.2,5.39440078962503
Brazil,2021-Q2,4.8,8.3,13.2,5.39440078962503
Brazil,2021-Q3,4.8,8.3,13.2,5.39440078962503
Brazil,2021-Q4,4.8,8.3,13.2,5.39440078962503
Brazil,2022-Q1,3.0,9.3,9.3,5.16397029102111
Brazil,2022-Q2,3.0,9.3,9.3,5.16397029102111
Brazil,2022-Q3,3.0,9.3,9.3,5.16397029102111
Brazil,2022-Q4,3.0,9.3,9.3,5.16397029102111
Brazil,2023-Q1,3.2,4.6,8.0,4.99437976287199
Brazil,2023-Q2,3.2,4.6,8.0,4.99437976287199
Brazil,2023-Q3,3.2,4.6,8.0,4.99437976287199
Brazil,2023-Q4,3.2,4.6,8.0,4.99437976287199
Brazil,2024-Q1,3.4,4.4,6.9,5.3889349057096
Brazil,2024-Q2,3.4,4.4,6.9,5.3889349057096
Brazil,2024-Q3,3.4,4.4,6.9,5.3889349057096
Brazil,2024-Q4,3.4,4.4,6.9,5.3889349057096
Canada,2019-Q1,1.9,1.9,5.7,1.32679336266012
Canada,2019-Q2,1.9,1.9,5.7,1.32679336266012
Canada,2019-Q3,1.9,1.9,5.7,1.32679336266012
Canada,2019-Q4,1.9,1.9,5.7,1.32679336266012
Canada,2020-Q1,-5.0,0.7,9.7,1.34115267222386
Canada,2020-Q2,-5.0,0.7,9.7,1.34115267222386
Canada,2020-Q3,-5.0,0.7,9.7,1.34115267222386
Canada,2020-Q4,-5.0,0.7,9.7,1.34115267222386
Canada,2021-Q1,6.0,3.4,7.5,1.2538769021268
Canada,2021-Q2,6.0,3.4,7.5,1.2538769021268
Canada,2021-Q3,6.0,3.4,7.5,1.2538769021268
Canada,2021-Q4,6.0,3.4,7.5,1.2538769021268
Canada,2022-Q1,4.2,6.8,5.3,1.30155477474355
Canada,2022-Q2,4.2,6.8,5.3,1.30155477474355
Canada,2022-Q3,4.2,6.8,5.3,1.30155477474355
Canada,2022-Q4,4.2,6.8,5.3,1.30155477474355
Canada,2023-Q1,1.5,3.9,5.4,1.3499086407939
Canada,2023-Q2,1.5,3.9,5.4,1.3499086407939
Canada,2023-Q3,1.5,3.9,5.4,1.3499086407939
Canada,2023-Q4,1.5,3.9,5.4,1.3499086407939
Canada,2024-Q1,1.6,2.4,6.4,1.36935976604092
Canada,2024-Q2,1.6,2.4,6.4,1.36935976604092
Canada,2024-Q3,1.6,2.4,6.4,1.36935976604092
Canada,2024-Q4,1.6,2.4,6.4,1.36935976604092
"China, People's Republic of",2019-Q1,6.1,2.9,5.2,6.90838500992901
"China, People's Republic of",2019-Q2,6.1,2.9,5.2,6.90838500992901
"China, People's Republic of",2019-Q3,6.1,2.9,5.2,6.90838500992901
"China, People's Republic of",2019-Q4,6.1,2.9,5.2,6.90838500992901
"China, People's Republic of",2020-Q1,2.3,2.5,5.6,6.90076726944925
"China, People's Republic of",2020-Q2,2.3,2.5,5.6,6.90076726944925
"China, People's Republic of",2020-Q3,2.3,2.5,5.6,6.90076726944925
"China, People's Republic of",2020-Q4,2.3,2.5,5.6,6.90076726944925
"China, People's Republic of",2021-Q1,8.6,0.9,5.1,6.44897518024316
"China, People's Republic of",2021-Q2,8.6,0.9,5.1,6.44897518024316
"China, People's Republic of",2021-Q3,8.6,0.9,5.1,6.44897518024316
"China, People's Republic of",2021-Q4,8.6,0.9,5.1,6.44897518024316
"China, People's Republic of",2022-Q1,3.1,2.0,5.6,6.73715811237119
"China, People's Republic of",2022-Q2,3.1,2.0,5.6,6.73715811237119
"China, People's Republic of",2022-Q3,3.1,2.0,5.6,6.73715811237119
"China, People's Republic of",2022-Q4,3.1,2.0,5.6,6.73715811237119
"China, People's Republic of",2023-Q1,5.4,0.2,5.2,7.08399842343631
"China, People's Republic of",2023-Q2,5.4,0.2,5.2,7.08399842343631
"China, People's Republic of",2023-Q3,5.4,0.2,5.2,7.08399842343631
"China, People's Republic of",2023-Q4,5.4,0.2,5.2,7.08399842343631
"China, People's Republic of",2024-Q1,5.0,0.2,5.1,7.19749110789917
"China, People's Republic of",2024-Q2,5.0,0.2,5.1,7.19749110789917
"China, People's Republic of",2024-Q3,5.0,0.2,5.1,7.19749110789917
"China, People's Republic of",2024-Q4,5.0,0.2,5.1,7.19749110789917
France,2019-Q1,2.1,1.3,8.4,0.893276257067409
France,2019-Q2,2.1,1.3,8.4,0.893276257067409
France,2019-Q3,2.1,1.3,8.4,0.893276257067409
France,2019-Q4,2.1,1.3,8.4,0.893276257067409
France,2020-Q1,-7.6,0.5,8.0,0.875506396987998
