
№,Restaurant,ADDRESS,Phone,Website,Email,Instagram,Facebook,LinkedIn,TikTok
1,Restaurant Gordon Ramsay,"68 Royal Hospital Rd, London SW3 4HP",+44 20 7352 4441,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,royalhospitalroad@gordonramsay.com,https://www.instagram.com/restaurantgordonramsay,,,
2,Core by Clare Smyth,"92 Kensington Park Rd, London W11 2PN",+44 20 3937 5086,https://corebyclaresmyth.com,info@claresmyth.com,https://www.instagram.com/corebyclaresmyth,,,
3,The Ledbury,"127 Ledbury Rd, London W11 2AQ",+44 20 7792 9090,https://www.theledbury.com,info@theledbury.com,https://www.instagram.com/theledbury,,,
4,Alain Ducasse at The Dorchester,"53 Park Ln, London W1K 1QA",+44 20 7629 8866,https://www.alainducasse-dorchester.com,alainducassereservations@alainducasse-dorchester.com,https://www.instagram.com/alainducasseatthedorchester,,,
5,Dinner by Heston Blumenthal,"66 Knightsbridge, London SW1X 7LA",+44 20 7201 3833,https://www.dinnerbyheston.co.uk,molon-dinnerpdr@mohg.com,https://www.instagram.com/dinnerbyhb,,,
6,Aulis London by Simon Rogan,"16 St Anne’s Ct, London W1F 0BF",+44 20 3948 9665,https://www.aulis.co.uk/aulis-london,aulislondon@simonrogan.co.uk,https://www.instagram.com/aulissimonrogan,https://www.facebook.com/aulissimonrogan,,
7,Kitchen Table,"70 Charlotte St, London W1T 4QG",+44 20 7637 7770,https://kitchentablelondon.co.uk,info@kitchentablelondon.co.uk,https://www.instagram.com/kitchentable1,,,
8,The Clove Club,"Shoreditch Town Hall, 380 Old St, London EC1V 9LT",+44 20 7729 6496,https://www.thecloveclub.com,hello@thecloveclub.com,https://www.instagram.com/thecloveclub,https://www.facebook.com/thecloveclub,,
9,Gymkhana,"42 Albemarle St, London W1S 4JH",+44 20 3011 5900,https://gymkhanalondon.com,info@gymkhanalondon.com,https://www.instagram.com/gymkhanalondon,https://www.facebook.com/gymkhanalondon,,
10,Trishna,"15-17 Blandford St, London W1U 4AZ",+44 20 7935 5624,https://www.trishnalondon.com,info@trishnalondon.com,https://www.instagram.com/trishnalondon,https://www.facebook.com/trishnalondon,,
