
Source name,Country,Link,Type of data available,Date of last update,Access method,Notes
HM Land Registry Price Paid Data (England & Wales),England and Wales (UK),https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads,"Property-level sale prices, dates of sale, full address, property type and tenure for registered sales",29 Sept 2025 (August 2025 release),Open dataset – CSV or TXT files; monthly download via GOV.UK or API,Includes all property sales lodged for registration; data updated monthly on the 20th working day; licensed under Open Government Licence as noted by Land Registryhttps://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads#:~:text=Our%20Price%20Paid%20Data%20includes,lodged%20with%20us%20for%20registration.
UK House Price Index (HPI),United Kingdom (UK),https://landregistry.data.gov.uk/app/ukhpi,Aggregated average house prices and price index for regions and property types,20 Oct 2025,Open dataset via GOV.UK and Land Registry API,"The index provides average prices and percentage change; updated monthly for England, Wales and Scotland and quarterly for Northern Ireland."
Registers of Scotland – ScotLIS search,Scotland (UK),https://scotlis.ros.gov.uk,"Individual property records including last purchase price, purchase date, title number and address",Real time (transactions added as registered),"Search-based (web); free for basic details, paid for documents","ScotLIS allows search by address or postcode and returns title number, address, last purchase price, last purchase date and historical priceshttps://www.ros.gov.uk/open-data#:~:text=We%20offer%20the%20following%2C%20based,search%2C%20via%20our%20ScotLIS%20service."
Northern Ireland House Price Index,Northern Ireland (UK),https://www.finance-ni.gov.uk/articles/northern-ireland-house-price-index,Quarterly average property prices and number of sales by local government district and ward,20 Aug 2025 (Q2 2025),Open reports and spreadsheets,Designed to measure price changes of residential properties sold in Northern Ireland; reports provide average price and volume statistics and are updated quarterlyhttps://www.finance-ni.gov.uk/articles/northern-ireland-house-price-index#:~:text=The%20Index%20is%20designed%20to,available%20at%20the%20link%20below.
Residential Property Price Register (PSRA),Ireland,https://www.propertypriceregister.ie,Property-level sale prices with date of sale and address for all residential properties purchased since 1 Jan 2010,July 2025,Open online search and downloadable CSV via data.gov.ie,"Produced under section 86 of the Property Services (Regulation) Act 2011; includes date, price and address of all residential properties purchased in Irelandhttps://data.gov.ie/dataset/dublin-residential-property-price-register#:~:text=The%20Residential%20Property%20Price%20Register,only%20relates%20to%20Dublin%20and."
Demandes de valeurs foncières (DVF),France,https://www.data.gouv.fr/datasets/demandes-de-valeurs-foncieres,"Property-level transaction data including sale price, date, location, property type and land area",20 Oct 2025,Open dataset (TXT files) updated semi‑annually (April & October),"The DVF file contains notarial transaction data for the last five years (except Alsace, Moselle and Mayotte); the data is open to improve transparency and is updated every April and Octoberhttps://www.data.gouv.fr/datasets/demandes-de-valeurs-foncieres/#:~:text=Conform%C3%A9ment%20au%20d%C3%A9cret%20n%C2%B0%C2%A02018%E2%80%911350%20du,des%20march%C3%A9s%20fonciers%20et%20immobiliers."
StatBank Denmark – Sales of real property (EJ121),Denmark,https://www.dst.dk/en/Statistik/emner/oekonomi/ejendomme/ejendomssalg,"Quarterly price index and turnover statistics for one‑family houses, owner‑occupied flats and holiday cottages",26 Sep 2025,Open dataset in StatBank (tabulations & API),"Sales of real property show turnover and prices of property transactions by category, transfer type, geography and period; the data comes from electronic deed registration and is updated quarterlyhttps://www.dst.dk/en/Statistik/emner/oekonomi/ejendomme/ejendomssalg#:~:text=,same%20quarter%20the%20year%20before."
StatBank Denmark – Price index for housing cooperatives (EJ99),Denmark,https://www.statbank.dk/EJ99,Quarterly price index for housing cooperatives and owner‑occupied housing,30 Jul 2025,Open dataset via StatBank API,Provides price index time series for co‑operative and owner‑occupied housing at national and regional levels; derived from property transaction records.
StatBank Denmark – Key figures for housing cooperatives (EJEN99),Denmark,https://www.statbank.dk/EJEN99,Number of sales and average prices for housing cooperatives,30 Jul 2025,Open dataset via StatBank API,"Summarises transaction counts and average prices for co‑operative dwellings, broken down by region and quarter."
StatBank Denmark – Seasonally adjusted sales of property (EJ121 subset),Denmark,https://www.statbank.dk/EJ121,Seasonally adjusted number of sales of one‑family houses and other property types by region,26 Sep 2025,Open dataset via StatBank,Provides seasonally adjusted counts of property transactions; charts on Statistics Denmark site show sales numbers by region for one‑family houseshttps://www.dst.dk/en/Statistik/emner/oekonomi/ejendomme/ejendomssalg#:~:text=The%20chart%20shows%20seasonally%20adjusted,quarter%20broken%20down%20by%20region.
National Land Survey of Finland – Purchase price statistics,Finland,https://www.maanmittauslaitos.fi/en/e-services/statistical-information-real-estate-transactions,"Price statistics for real estate transactions (single‑family houses, farms, holiday properties) at municipal, regional and national level",Monthly in 2025,Open statistics; interface for downloading data (in Finnish),The purchase price statistics cover real property (excluding housing-company shares); annual statistics exist since 1990 and real‑time statistics are updated each monthhttps://www.maanmittauslaitos.fi/en/e-services/statistical-information-real-estate-transactions#:~:text=Study%20purchase%20price%20statistics%20at,on%20rented%20plots%20are%20included.
National Land Survey of Finland – Purchase price register export file,Finland,https://www.maanmittauslaitos.fi/en/pricelist/real-property/other-real-property-registration-data/data-official-purchase-price-register,"Official purchase price register data (property‑level sale price, parcel identifier, area and other details)",Oct 2025 price list,Paid export file (priced per download),The National Land Survey sells export files from the official purchase price register; the price list shows a fee for the first purchase and a small fee for subsequent purchaseshttps://www.maanmittauslaitos.fi/en/pricelist/real-property/other-real-property-registration-data/data-official-purchase-price-register#:~:text=Data%20from%20the%20Official%20purchase,price%20register%20as%20export%20files.
