
Business Name,Physical Address,Phone Number,Website URL
1886 Bakery & Café,"604 Brazos St., Austin, TX 78701",(512) 391-7066,https://www.1886cafeandbakery.com
Arlo Grey,"111 E Cesar Chavez St., Austin, TX 78701",(512) 478-2991,https://www.thelinehotel.com/arlogrey
Banger’s Sausage House & Beer Garden,"79 Rainey St., Austin, TX 78701",(512) 386-1656,https://bangersaustin.com
Cabana Bar (Hotel ZaZa),"400 Lavaca St., Austin, TX 78701",(888) 880-3244,https://www.hotelzaza.com/austin
Cannon and Belle,"500 E. Fourth St., Austin, TX 78701",(512) 493-4900,https://cannonandbelle.com
Caroline,"621 Congress Ave. #101, Austin, TX 78701",(512) 982-6766,https://carolinerestaurant.com
Casino El Camino,"517 E 6th St., Austin, TX 78701",(512) 469-9330,https://www.casinoelcamino.com
Cedar Door,"201 Brazos St., Bldg. A, Austin, TX 78701",(512) 473-3712,https://cedardooraustin.com
Corinne,"304 E Cesar Chavez St. #100, Austin, TX 78701",(737) 787-7018,https://corinneatx.com
Eureka!,"200 E. Sixth St., Austin, TX 78701",(512) 735-1144,https://www.eurekarestaurantgroup.com
Flower Child,"500 W. Second St., Austin, TX 78701",(512) 777-4132,https://iamaflowerchild.com
Forthright,"35 Brazos St., Austin, TX 78701",(512) 387-3370,https://forthright.cafe
Group Therapy (Hotel ZaZa),"400 Lavaca St., Austin, TX 78701",(512) 542-9292,https://www.hotelzaza.com/austin
Local Foods,"454 W 2nd St., Austin, TX 78701",(512) 614-1212,https://localfoodstexas.com
Moonshine Grill,"303 Red River St., Austin, TX 78701",(512) 236-9599,https://moonshinegrill.com
Parkside,"301 E 6th St., Austin, TX 78701",(512) 474-9898,https://parkside-austin.com
Punch Bowl Social,"522 Congress Ave., Austin, TX 78701",(512) 549-8937,https://punchbowlsocial.com
Swift’s Attic,"315 Congress Ave., Austin, TX 78701",(512) 482-8842,https://swiftsattic.com
Mai Thai,"207 San Jacinto Blvd. #201, Austin, TX 78701",(512) 482-8244,https://maithaiaustin.com
RA Sushi,"117 W 4th St., Suite 300, Austin, TX 78701",(512) 726-2130,https://rasushi.com
RedFarm,"201 W 3rd St., Austin, TX 78701",(512) 859-9700,https://redfarmnyc.com
Wu Chow,"500 W 5th St. #168, Austin, TX 78701",(512) 476-2469,https://wuchowaustin.com
Fareground,"111 Congress Ave., Austin, TX 78701",(512) 465-2107,https://faregroundaustin.com
Garrison,"101 Red River St., Austin, TX 78701",(512) 524-4700,https://garrisongrill.com
Electric Shuffle,"91 Red River St., Austin, TX 78701",(512) 894-8779,https://electricshuffleusa.com
Goldie’s,"600 W 2nd St., Austin, TX 78701",(512) 628-1500,https://properhotel.com
Cooper’s Old Time Pit Bar‑B‑Que,"217 Congress Ave., Austin, TX 78701",(512) 474-4227,https://coopersbbqaustin.com
Iron Works Barbecue,"100 Red River St., Austin, TX 78701",(512) 478-4855,https://ironworksbbq.com
Lamberts Downtown Barbecue,"401 W Second St., Austin, TX 78701",(512) 494-1500,https://lambertsaustin.com
Stubb’s Bar‑B‑Q,"801 Red River St., Austin, TX 78701",(737) 465-1218,https://stubbsaustin.com
Burger Bar (JW Marriott),"110 E 2nd St., Austin, TX 78701",(512) 608-4822,https://burgerbaraustin.com
P. Terry’s Burger Stand,"515 Congress Ave., Austin, TX 78701",(512) 473-8722,https://pterrys.com
Revolucion Coffee & Juice,"207 San Jacinto Blvd., Ste 200, Austin, TX 78701",(512) 738-3112,https://revolucionsa.com
Gus’s World Famous Fried Chicken,"117 San Jacinto Blvd., Austin, TX 78701",(512) 474-4877,https://gusfriedchicken.com
Loaf + Vine (Marriott Downtown),"304 E Cesar Chavez St., Austin, TX 78701",(512) 457-1111,N/A
County Line On The Lake,"5204 FM 2222, Austin, TX 78731",(512) 346-3664,https://countyline.com
County Line On The Hill,"6500 W Bee Cave Rd., Austin, TX 78746",(512) 327-1742,https://countyline.com
Blue Lacy,"1825 McBee St., Austin, TX 78723",(737) 610-6880,https://bluelacyaustin.com
Bird Bird Biscuit (Manor),"2701 Manor Rd., Austin, TX 78722",(512) 761-4922,https://birdbirdbiscuit.com
Bird Bird Biscuit (Koenig),"1401 W Koenig Ln., Austin, TX 78756",(512) 551-9820,https://birdbirdbiscuit.com
Bouldin Creek Café,"1900 S. First St., Austin, TX 78704",(512) 416-1601,https://bouldincreekcafe.com
Franklin Barbecue,"900 E 11th St., Austin, TX 78702",(512) 653-1187,https://franklinbbq.com
Uchi,"801 S Lamar Blvd., Austin, TX 78704",(512) 916-4808,https://uchirestaurants.com
Uchiko,"4200 N Lamar Blvd., Austin, TX 78756",(512) 916-4808,https://uchirestaurants.com
Loro,"2115 S Lamar Blvd., Austin, TX 78704",(512) 916-4858,https://loroeats.com
Sway Thai,"1417 S 1st St., Austin, TX 78704",(512) 326-1999,https://swaythai.com
Elizabeth Street Café,"1501 S 1st St., Austin, TX 78704",(512) 291-2881,https://elizabethstreetcafe.com
Fresa’s Chicken al Carbon,"915 N Lamar Blvd., Austin, TX 78703",(512) 428-5077,https://fresaschicken.com
East Side Pies (Rosewood),"1401-B Rosewood Ave., Austin, TX 78702",(512) 524-0933,https://eastsidepies.com
Salty Sow,"1917 Manor Rd., Austin, TX 78722",(512) 368-3787,https://saltysow.com
The Peached Tortilla,"5520 Burnet Rd. #100, Austin, TX 78756",(512) 330-4439,https://thepeachedtortilla.com
Bufalina Pizza,"1519 E Cesar Chavez St., Austin, TX 78702",(512) 580-0327,https://bufalinapizza.com
Juniper,"2400 E Cesar Chavez St., Austin, TX 78702",(512) 220-9421,https://juniperaustin.com
Contigo Austin,"3709 E 51st St., Austin, TX 78723",(512) 614-2260,https://contigotexas.com
Odd Duck,"1201 S Lamar Blvd., Austin, TX 78704",(512) 433-6521,https://oddduckaustin.com
Barley Swine,"6555 Burnet Rd. #400, Austin, TX 78757",(512) 394-8150,https://barleyswine.com
Jack Allen’s Kitchen (Oak Hill),"7720 TX-71, Austin, TX 78735",(512) 852-8558,https://jackallenskitchen.com
24 Diner,"600 N Lamar Blvd., Austin, TX 78703",(512) 472-5400,https://24diner.com
Home Slice Pizza,"1415 S Congress Ave., Austin, TX 78704",(512) 444-7437,https://homeslicepizza.com
Vespaio Ristorante,"1610 S Congress Ave., Austin, TX 78704",(512) 441-6100,https://vespaioaustin.com
Enoteca Vespaio,"1610 S Congress Ave., Austin, TX 78704",(512) 441-7672,https://vespaio.com
Foreign & Domestic,"306 E 53rd St., Austin, TX 78751",(512) 459-1010,https://fndaustin.com
L'oca d'Oro,"1900 Simond Ave., Austin, TX 78723",(737) 212-1876,https://locadoroaustin.com
Gusto Italian Kitchen,"4800 Burnet Rd., Austin, TX 78756",(512) 458-1100,https://gustoitaliankitchen.com
Kerbey Lane Café (Original),"3704 Kerbey Lane, Austin, TX 78731",(512) 451-1436,https://kerbeylanecafe.com
Hula Hut,"3825 Lake Austin Blvd., Austin, TX 78703",(512) 476-4852,https://hulahut.com
