
City,Eurostat Cities Database,Eurostat URB_CPOPSTR Dataset,Geonames / Opendatasoft,European Open Data Portal,EEA DataHub (Population in cities),GitHub Dataset (European capital cities),Wikipedia (List of European cities by population)
Paris,no,no,"2,138,551 (2023)",no,no,"10,900,952 (year n/a)","2,048,472 (Jan 1, 2025)"
Rome,no,no,"2,318,895 (2023)",no,no,"4,209,710 (year n/a)","2,751,747 (Jan 1, 2024)"
London,no,no,"8,961,989 (2022)",no,no,"9,046,485 (year n/a)","8,866,180 (Jun 30, 2022)"
Berlin,no,no,"3,426,354 (2022)",no,no,"3,552,123 (year n/a)","3,897,145 (Dec 31, 2024)"
Madrid,no,no,"3,255,944 (2022)",no,no,"6,497,124 (year n/a)","3,416,771 (Jan 1, 2024)"
Amsterdam,no,no,"741,636 (2023)",no,no,"1,131,690 (year n/a)","938,898 (Apr 30, 2025)"
Brussels,no,no,"1,019,022 (2022)",no,no,"2,049,510 (year n/a)",no
Riga,no,no,"742,572 (2019)",no,no,"637,089 (year n/a)","591,882 (Jan 1, 2025)"
Vienna,no,no,"1,691,468 (2022)",no,no,"1,900,547 (year n/a)","2,031,870 (Jul 1, 2025)"
Athens,no,no,"664,046 (2022)",no,no,"3,155,600 (year n/a)","643,452 (Oct 23, 2021)"
