
Country,Date,New Cases,New Deaths,Total Vaccinations,Stringency Index
Argentina,2022-01-01,19075.0,37.0,,
Argentina,2022-01-02,22331.0,38.0,,
Argentina,2022-01-03,72623.0,132.0,,
Argentina,2022-01-04,92760.0,151.0,,
Argentina,2022-01-05,104568.0,177.0,,
Argentina,2022-01-06,115654.0,144.0,,
Argentina,2022-01-07,112921.0,173.0,,
Argentina,2022-01-08,91331.0,116.0,,
Argentina,2022-01-09,57864.0,110.0,,
Argentina,2022-01-10,115343.0,238.0,,
Argentina,2022-01-11,135401.0,268.0,,
Argentina,2022-01-12,130541.0,308.0,,
Argentina,2022-01-13,126869.0,293.0,,
Argentina,2022-01-14,123220.0,310.0,,
Argentina,2022-01-15,82210.0,207.0,,
Argentina,2022-01-16,57103.0,184.0,,
Argentina,2022-01-17,119832.0,484.0,,
Argentina,2022-01-18,117694.0,401.0,,
Argentina,2022-01-19,124606.0,405.0,,
Argentina,2022-01-20,120288.0,373.0,,
Argentina,2022-01-21,113476.0,380.0,,
Argentina,2022-01-22,80787.0,229.0,,
Argentina,2022-01-23,51099.0,192.0,,
Argentina,2022-01-24,93851.0,420.0,,
Argentina,2022-01-25,90435.0,400.0,,
Argentina,2022-01-26,76663.0,357.0,,
Argentina,2022-01-27,65642.0,287.0,,
Argentina,2022-01-28,58445.0,262.0,,
Argentina,2022-01-29,27689.0,134.0,,
Argentina,2022-01-30,19579.0,128.0,,
Argentina,2022-01-31,52538.0,318.0,,
Argentina,2022-02-01,40282.0,180.0,,
Argentina,2022-02-02,39077.0,218.0,,
Argentina,2022-02-03,36019.0,194.0,,
Argentina,2022-02-04,33109.0,155.0,,
Argentina,2022-02-05,15559.0,91.0,,
Argentina,2022-02-06,10245.0,56.0,,
Argentina,2022-02-07,28172.0,175.0,,
Argentina,2022-02-08,26799.0,124.0,,
Argentina,2022-02-09,23454.0,104.0,,
Argentina,2022-02-10,20645.0,89.0,,
Argentina,2022-02-11,12638.0,61.0,,
Argentina,2022-02-12,7898.0,35.0,,
Argentina,2022-02-13,5059.0,40.0,,
Argentina,2022-02-14,15258.0,99.0,,
Argentina,2022-02-15,15935.0,76.0,,
Argentina,2022-02-16,15888.0,73.0,,
Argentina,2022-02-17,13951.0,75.0,,
Argentina,2022-02-18,12855.0,69.0,,
Argentina,2022-02-19,5390.0,44.0,,
Argentina,2022-02-20,3959.0,18.0,,
Argentina,2022-02-21,12946.0,58.0,,
Argentina,2022-02-22,15800.0,47.0,,
Argentina,2022-02-23,10592.0,33.0,,
Argentina,2022-02-24,9247.0,26.0,,
Argentina,2022-02-25,8483.0,24.0,,
Argentina,2022-02-26,3738.0,13.0,,
Argentina,2022-02-27,3405.0,22.0,,
Argentina,2022-02-28,3579.0,7.0,,
Argentina,2022-03-01,3018.0,5.0,,
Argentina,2022-03-02,8702.0,29.0,,
Argentina,2022-03-03,8378.0,23.0,,
Argentina,2022-03-04,7616.0,22.0,,
Argentina,2022-03-05,3175.0,19.0,,
Argentina,2022-03-06,2145.0,8.0,,
Argentina,2022-03-07,6796.0,19.0,,
Argentina,2022-03-08,5481.0,14.0,,
Argentina,2022-03-09,5953.0,10.0,,
Argentina,2022-03-10,5735.0,15.0,,
Argentina,2022-03-11,4700.0,6.0,,
Argentina,2022-03-12,2004.0,6.0,,
Argentina,2022-03-13,1271.0,1.0,,
Argentina,2022-03-14,5080.0,14.0,,
Argentina,2022-03-15,4459.0,7.0,,
Argentina,2022-03-16,4248.0,15.0,,
Argentina,2022-03-17,4719.0,8.0,,
Argentina,2022-03-18,13015.0,2.0,,
Argentina,2022-03-19,1309.0,2.0,,
Argentina,2022-03-20,1199.0,3.0,,
Argentina,2022-03-21,3614.0,9.0,,
Argentina,2022-03-22,3736.0,7.0,,
Argentina,2022-03-23,3097.0,8.0,,
Argentina,2022-03-24,1082.0,,,
Argentina,2022-03-25,2526.0,6.0,,
Argentina,2022-03-26,1206.0,2.0,,
Argentina,2022-03-27,666.0,1.0,,
Argentina,2022-03-28,2983.0,9.0,,
Argentina,2022-03-29,2593.0,4.0,,
Argentina,2022-03-30,2700.0,5.0,,
Argentina,2022-03-31,2373.0,4.0,,
Argentina,2022-04-01,1337.0,5.0,,
Argentina,2022-04-02,552.0,2.0,,
Argentina,2022-04-03,456.0,2.0,,
Argentina,2022-04-04,2089.0,4.0,,
Argentina,2022-04-05,1614.0,3.0,,
Argentina,2022-04-06,1803.0,1.0,,
Argentina,2022-04-07,1718.0,,,
Argentina,2022-04-08,1518.0,3.0,,
Argentina,2022-04-09,677.0,,,
Argentina,2022-04-10,418.0,,,
Argentina,2022-04-11,1665.0,2.0,,
Argentina,2022-04-12,1569.0,1.0,,
Argentina,2022-04-13,1432.0,,,
Argentina,2022-04-14,928.0,,,
Argentina,2022-04-15,431.0,,,
Argentina,2022-04-16,453.0,,,
Argentina,2022-04-17,217.0,,,
Argentina,2022-04-18,13525.0,,,
Argentina,2022-04-19,,,,
Argentina,2022-04-20,,,,
Argentina,2022-04-21,,,,
Argentina,2022-04-22,,,,
Argentina,2022-04-23,,,,
Argentina,2022-04-24,11307.0,198.0,,
Argentina,2022-04-25,,,,
Argentina,2022-04-26,,,,
Argentina,2022-04-27,,,,
Argentina,2022-04-28,,,,
Argentina,2022-04-29,,,,
Argentina,2022-04-30,,,,
Argentina,2022-05-01,11443.0,111.0,,
Argentina,2022-05-02,,,,
Argentina,2022-05-03,,,,
Argentina,2022-05-04,,,,
Argentina,2022-05-05,,,,
Argentina,2022-05-06,,,,
Argentina,2022-05-07,,,,
Argentina,2022-05-08,17646.0,76.0,,
Argentina,2022-05-09,,,,
Argentina,2022-05-10,,,,
Argentina,2022-05-11,,,,
Argentina,2022-05-12,,,,
Argentina,2022-05-13,,,,
Argentina,2022-05-14,,,,
Argentina,2022-05-15,33989.0,47.0,,
Argentina,2022-05-16,,,,
Argentina,2022-05-17,,,,
Argentina,2022-05-18,,,,
Argentina,2022-05-19,,,,
Argentina,2022-05-20,,,,
Argentina,2022-05-21,,,,
Argentina,2022-05-22,43487.0,49.0,,
Argentina,2022-05-23,,,,
Argentina,2022-05-24,,,,
Argentina,2022-05-25,,,,
Argentina,2022-05-26,,,,
Argentina,2022-05-27,,,,
Argentina,2022-05-28,,,,
Argentina,2022-05-29,51778.0,64.0,,
Argentina,2022-05-30,,,,
Argentina,2022-05-31,,,,
Argentina,2022-06-01,,,,
Argentina,2022-06-02,,,,
Argentina,2022-06-03,,,,
Argentina,2022-06-04,,,,
Argentina,2022-06-05,46045.0,84.0,,
Argentina,2022-06-06,,,,
Argentina,2022-06-07,,,,
Argentina,2022-06-08,,,,
Argentina,2022-06-09,,,,
Argentina,2022-06-10,,,,
Argentina,2022-06-11,,,,
Argentina,2022-06-12,36835.0,21.0,,
Argentina,2022-06-13,,,,
Argentina,2022-06-14,,,,
Argentina,2022-06-15,,,,
Argentina,2022-06-16,,,,
Argentina,2022-06-17,,,,
Argentina,2022-06-18,,,,
Argentina,2022-06-19,28039.0,22.0,,
Argentina,2022-06-20,,,,
Argentina,2022-06-21,,,,
Argentina,2022-06-22,,,,
Argentina,2022-06-23,,,,
Argentina,2022-06-24,,,,
Argentina,2022-06-25,,,,
Argentina,2022-06-26,25680.0,54.0,,
Argentina,2022-06-27,,,,
Argentina,2022-06-28,,,,
Argentina,2022-06-29,,,,
Argentina,2022-06-30,,,,
Argentina,2022-07-01,,,,
Argentina,2022-07-02,,,,
Argentina,2022-07-03,27154.0,39.0,,
Argentina,2022-07-04,,,,
Argentina,2022-07-05,,,,
Argentina,2022-07-06,,,,
Argentina,2022-07-07,,,,
Argentina,2022-07-08,,,,
Argentina,2022-07-09,,,,
Argentina,2022-07-10,31845.0,36.0,,
Argentina,2022-07-11,,,,
Argentina,2022-07-12,,,,
Argentina,2022-07-13,,,,
Argentina,2022-07-14,,,,
Argentina,2022-07-15,,,,
Argentina,2022-07-16,,,,
Argentina,2022-07-17,39656.0,57.0,,
Argentina,2022-07-18,,,,
Argentina,2022-07-19,,,,
Argentina,2022-07-20,,,,
Argentina,2022-07-21,,,,
Argentina,2022-07-22,,,,
Argentina,2022-07-23,,,,
Argentina,2022-07-24,41735.0,76.0,,
Argentina,2022-07-25,,,,
Argentina,2022-07-26,,,,
Argentina,2022-07-27,,,,
Argentina,2022-07-28,,,,
Argentina,2022-07-29,,,,
Argentina,2022-07-30,,,,
Argentina,2022-07-31,52745.0,91.0,,
Argentina,2022-08-01,,,,
Argentina,2022-08-02,,,,
Argentina,2022-08-03,,,,
Argentina,2022-08-04,,,,
Argentina,2022-08-05,,,,
Argentina,2022-08-06,,,,
Argentina,2022-08-07,42227.0,71.0,,
Argentina,2022-08-08,,,,
Argentina,2022-08-09,,,,
Argentina,2022-08-10,,,,
Argentina,2022-08-11,,,,
Argentina,2022-08-12,,,,
Argentina,2022-08-13,,,,
Argentina,2022-08-14,31198.0,126.0,,
Argentina,2022-08-15,,,,
Argentina,2022-08-16,,,,
Argentina,2022-08-17,,,,
