City,Eurostat Cities DB,Eurostat URB_CPOPSTR,Geonames/Opendatasoft,European Open Data Portal,EEA Datahub,GitHub Capital Cities,Wikipedia
Paris,"10,353,710 (2022)",no,"2,138,551 (2023)","2,113,705 (2022)","2,220,445 (2014)",no,"2,048,472 (2025)"
Rome,"2,751,747 (2024)",no,"2,318,895 (2023)","2,754,719 (2024)","2,863,322 (2014)",no,"2,751,747 (2024)"
London,"8,866,541 (2018)",no,"8,961,989 (2022)","8,945,310 (2023)",no,no,"9,089,736 (2024)"
Berlin,"317,050 (2024)",no,"3,426,354 (2022)","3,685,265 (2024)","3,421,829 (2014)",no,"3,897,145 (2024)"
Madrid,"5,115,272 (2023)",no,"3,255,944 (2022)","3,460,491 (2024)","3,165,235 (2014)",no,"3,416,771 (2024)"
Amsterdam,"1,059,596 (2023)",no,"741,636 (2023)","931,298 (2024)","810,938 (2014)",no,no
Brussels,"1,264,371 (2024)",no,"1,019,022 (2022)","199,000 (2025)",no,no,no
Riga,"601,882 (2024)",no,"742,572 (2019)","592,000 (2024)","643,368 (2014)",no,no
Vienna,no,no,"1,691,468 (2022)","1,998,067 (2025)","1,766,746 (2014)",no,"2,031,870 (2025)"
Athens,no,no,"664,046 (2022)","643,452 (2024)","664,046 (2011)",no,no
