Restaurant Name,Address,Google Maps URL,Distance (km),Website Link,Direct Link to Menu,Listed on Glovo / Uber Eats?,Glovo URL,Uber Eats URL,"Price for Salmon California Roll

(EUR)","Price for Salmon Philadelphia Roll

(EUR)",Average Google Map Rating,Review Summary
44 Sushi Bar,"Calle del Marqués de Valdeiglesias, 8, 28004, Madrid",https://maps.app.goo.gl/vHTFqeizPKj8tJ246,2.663,https://www.instagram.com/44sushibar/,"https://www.google.com/maps/place/44+Sushi+Bar/@40.4198576,-3.6971054,17z/data=!4m7!3m6!1s0xd4228843c9b269f:0x4c27c947e43073c9!8m2!3d40.4198576!4d-3.6971054!10e9!16s%2Fg%2F11bw2gcj3m!5m1!1e2",No/Yes,Not Available,https://www.ubereats.com/es-en/store/44sushibar/_iPLi3M7Qp2EVI19NpvAYg?ps=1,€8.90,€9.90,4.4/5,"• High-quality sushi and fresh ingredients praised
• Efficient service and reasonable prices noted. 
• Some reviews about the meal being boring, but overall, great reviews."
99 Sushi Bar Hermosilla,"Calle de Hermosilla, 4, 28001, Madrid",https://maps.app.goo.gl/qnkRq7c8ZMeXEAK66,2.519,http://www.99sushibar.com/,Not Available,Yes/No,https://glovoapp.com/es/en/madrid/99-sushi-bar-at-home-madrid,Not Available,€19.2 (8 pieces),Not Available,4.4/5,"• Excellent nigiri and premium ingredients
• Friendly service and elegant ambiance. 
• Occasional complaints about strong flavors, but great value for quality."
Akiro Hand Roll Bar,"C. de Hermosilla, 40, Salamanca, 28001 Madrid, Spain",https://maps.app.goo.gl/2fHnnV3vvL5hD8LZ6,2.15,https://akiro.es/,https://akiro.es/menu/,No/No,Not Available,Not Available,Not Available,Not Available,4.9/5,"• Exceptional hand rolls and Nikkei fusion
• Fresh fish and attentive staff. Worth the wait despite no reservations
• Highly recommended for authentic experience."
Ayala Japón,"Calle de Ayala, 67, 28001, Madrid",https://maps.app.goo.gl/CbtgRpgt6DtVjStG9,2.088,http://www.ayalajapon.com/,http://www.ayalajapon.com/?page_id=374,Yes/No,https://glovoapp.com/es/en/madrid/ayala-jap-n-madrid/,Not Available,€12.5 (8 pieces),Not Available,4.4/5,"• Fresh sushi and good value in Salamanca
• Friendly staff and affordable prices. 
• Some find it average, but reliable for neighborhood Japanese fare."
Cocina Asiática Chun,"C. de Embajadores, 177, A, Arganzuela, 28045 Madrid, España",https://maps.app.goo.gl/FPp1W2LdC4MNopdn8,2.88,https://asiaticochun.eu/,https://asiaticochun.eu/menu.php,Yes/Yes,https://glovoapp.com/es/en/madrid/cocina-asiatica-chun-madrid,https://www.ubereats.com/es/store/cocina-asiatica-chun/nP7Z-FygQzqjsBKE48_Lhw,€9.45 (8 pieces),€6.40 (8 pieces),4.5/5,"• Affordable Chinese-Japanese fusion with tasty gyoza
• Great for takeout. Friendly service and high value, though not upscale."
Doki Doki,"Café Villalar, 4, Calle de Villalar, Recoletos, Salamanca, Madrid, Community of Madrid, 28001, Spain",https://maps.app.goo.gl/fnK6dteqy984Y1rM7,2.199,https://www.instagram.com/dokidoki_restaurante/?hl=es,"https://www.google.com/maps/place/Doki+Doki+%7C+Restaurante+Japon%C3%A9s+Barrio+Salamanca/@40.4211588,-3.6898385,17z/data=!4m16!1m8!3m7!1s0xd42289a5313ac17:0x27cfb02077407a64!2sDoki+Doki+%7C+Restaurante+Japon%C3%A9s+Barrio+Salamanca!8m2!3d40.421046!4d-3.689809!10e9!16s%2Fg%2F11b6lh6sv6!3m6!1s0xd42289a5313ac17:0x27cfb02077407a64!8m2!3d40.421046!4d-3.689809!10e9!16s%2Fg%2F11b6lh6sv6!5m1!1e2",No/Yes,Not Available,https://www.ubereats.com/es-en/store/doki-doki/WiKnRue3SgSG8GuSlpgdlw,Not Available,Not Available,4.5/5,"• Fresh sushi and elegant atmosphere
• Value for money with creative dishes like the Green tea tiramisu. Service is professional
• Ideal for dates."
Donzoko,"Calle de Echegaray, 3, 28014, Madrid",https://maps.app.goo.gl/DUXyPvGWPfjDo3H67,2.75,https://donzoko.es/,https://carta.donzoko.es/,No/No,Not Available,Not Available,€10.00–13.00 (8 pieces),Not Available,4.6/5,"• Authentic Japanese with excellent sashimi
• Friendly staff and reasonable prices. 
• Long-standing favorite for fresh, high-quality sushi."
Estrella Central,"Av. de la Ciudad de Barcelona, 192, Retiro, 28007 Madrid, Spain",https://maps.app.goo.gl/VccV8vxQEa8fwUNX9,1.14,https://www.estrellacentral.com/,https://www.estrellacentral.com/carta,Yes/Yes,https://glovoapp.com/es/en/madrid/estrella-central-madrid,https://www.ubereats.com/es-en/store/estrella-central/aBnNPRGdTQG90xGW2TUNew,€16.50 (12 pieces),€10.50 (8 pieces),4.3/5,"• Tasty fusion dishes like roasted duck
• Affordable and convenient location. 
• Mixed service, but good for casual meals."
Fuku,"Calle del Marqués de Villamejor, 8, 28006",https://maps.app.goo.gl/tSEcZmdFXPYvdC6y7,2.89,https://www.fukurestaurantejapones.com/,https://www.fukurestaurantejapones.com/carta/,Yes/No,https://glovoapp.com/es/en/madrid/fuku-restaurante-japones-madrid/,Not Available,€14 (8 pieces),Not Available,4.3/5,"• Sophisticated Japanese with innovative flavors
• Great presentation but higher prices. 
• Some find it overpriced
• Service varies."
Ginza,"Plaza de las Cortes, 3 Centro, 28014 Madrid, Spain",https://maps.app.goo.gl/4KdnjHNqqE5Fa3qS9,2.45,https://ginzafoodhall.com/,https://ginzafoodhall.com/,No/No,Not Available,Not Available,Not Available,€16.50 (8 pieces),4.1/5,"• Central location with decent sushi
• Good for groups. 
• Mixed reviews on freshness and service
• Better for convenience."
