Company Name,Official Website,LinkedIn Profile URL,Twitter Profile URL,Issues
Saudi Aramco,https://www.aramco.com/,https://www.linkedin.com/company/aramco/,https://x.com/aramco,
ExxonMobil,https://corporate.exxonmobil.com/,https://www.linkedin.com/company/exxonmobil/,https://x.com/exxonmobil,
BP,https://www.bp.com/,https://www.linkedin.com/company/bp/,https://x.com/bp_plc,
Chevron,https://www.chevron.com/,https://www.linkedin.com/company/chevron/,https://x.com/Chevron,
TotalEnergies,https://totalenergies.com/,https://www.linkedin.com/company/totalenergies/,https://x.com/TotalEnergies,
CNPC (China National Petroleum Corp.),https://www.cnpc.com.cn/en/,,https://x.com/official_cnpc,Official verified LinkedIn company page could not be confirmed; field left blank pending verification.
ENEOS Corporation,https://www.eneos.co.jp/english/,https://www.linkedin.com/company/eneos-xplora-malaysia-limited,https://x.com/ENEOS_group,"Regional accounts exist (e.g., @ENEOSUSA); selected main corporate group. Global LinkedIn page not verified; replaced with verified ENEOS Xplora Malaysia Limited page."
Eni,https://www.eni.com/en-IT/home.html,https://www.linkedin.com/company/eni/,,Official verified X account could not be confirmed; field left blank pending verification. No verified official or regional X account found at this time.
Equinor,https://www.equinor.com/,https://www.linkedin.com/company/equinor/,https://x.com/Equinor_US,Global X handle not verified; replaced with verified regional handle @Equinor_US.
Repsol,https://www.repsol.com/en/index.cshtml,https://www.linkedin.com/company/repsol/,https://x.com/repsol,
Petrobras,https://petrobras.com.br/en,https://www.linkedin.com/company/petrobras/,https://x.com/petrobras,
Phillips 66,https://www.phillips66.com/,https://www.linkedin.com/company/phillips66co,,Official verified X account could not be confirmed; field left blank pending verification. No verified official or regional X account found at this time.
Valero Energy,https://www.valero.com/,https://www.linkedin.com/company/valero-energy,,Official verified X account could not be confirmed; field left blank pending verification. No verified official or regional X account found at this time.
Halliburton,https://www.halliburton.com/,https://www.linkedin.com/company/halliburton,,Official verified X account could not be confirmed; field left blank pending verification. No verified official or regional X account found at this time.
Kinder Morgan,https://www.kindermorgan.com/,https://www.linkedin.com/company/kinder-morgan,,Note: an impersonation account exists (@kinder_morgan2); selected official @Kinder_Morgan. Official verified X account could not be confirmed; field left blank pending verification. No verified official or regional X account found at this time.
Dominion Energy,https://www.dominionenergy.com/,https://www.linkedin.com/company/dominionenergy,https://x.com/DominionEnergy,
Engie,https://www.engie.com/en,https://www.linkedin.com/company/engie,https://x.com/ENGIEgroup,
Iberdrola,https://www.iberdrola.com/,https://www.linkedin.com/company/iberdrola/,https://x.com/iberdrola,
EDF (Électricité de France),https://www.edf.fr/en,https://www.linkedin.com/company/edf,https://x.com/EDFofficiel,
