manufacturer,product_code,file_name,source_url,status,notes
Beko,BBAIF22300,manual_beko_BBRIF22300.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBRIF22300.pdf,downloaded,"Manual covers BBAIF22300 via variant group (BBRIF22300)."
Beko,BBIM12300,manual_beko_BBIM12300.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBIM12300AC.pdf,downloaded,"AC variant manual used; functionally applicable to BBIM12300."
Beko,BBIS25300XC,manual_beko_BBIS25300XC.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBIS25300XC.pdf,downloaded,"Direct official Beko PDF."
Beko,BBDF22300,BBDF22300.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/90cm-double-fan-oven-led-timer-bbdf22300-black,downloaded,"Manual obtained from product page viewer; saved locally."
Beko,BBNIC22100X,manual_beko_BBNIC22100X.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBNIC22100.pdf,downloaded,"Direct official Beko PDF."
Beko,BBRIE22300XD,BBRIE22300XD.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/single-multi-function-oven-bbrie22300xd-stainless-steel,downloaded,"Downloaded from manufacturer product page; alternate reputable source: https://manualsnet.com/beko/bbrie22300xd"
Beko,BBXDF22300,BXDF22300.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BXDF22300.pdf,downloaded,"Direct official Beko PDF."
Beko,CIFY81,CIFY81.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/CIFY81.pdf,downloaded,"Direct official Beko PDF."
Beko,BBXTF25300,BBXTF25300.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBXTF25300.pdf,downloaded,"Direct official Beko PDF."
Beko,CTFY22309,CTFY22309.pdf,https://bekoplc.blob.core.windows.net/bekoupload/manuals/CTFY22309.pdf,downloaded,"Direct official Beko PDF."
Bosch,HHF113BA0B,HHF113B.0B.pdf,https://media3.bosch-home.com/Documents/9001771898_A.pdf,downloaded,"Direct official Bosch PDF; series document covering HHF113BA0B."
Bosch,HQA534BB3B,HQA.34B.3.pdf,https://media3.bosch-home.com/Documents/9001944775_B.pdf,downloaded,"Direct official Bosch PDF; filename matches series code formatting."
Bosch,HQA574BS3B,HQA.74B.3B.pdf,https://media3.bosch-home.com/Documents/9001932465_B.pdf,downloaded,"Direct official Bosch PDF; filename matches series code formatting."
Bosch,MBA533BB3B,MBS533B.0B.pdf,https://media3.bosch-home.com/Documents/9001580313_D.pdf,downloaded,"Direct official Bosch PDF for MBS533B.0B; applicable to MBA533BB3B."
Bosch,HBS534BS0B,HBS534B.0B(2).pdf,https://media3.bosch-home.com/Documents/9001594767_C.pdf,downloaded,"Direct official Bosch PDF; covers HBS534BS0B/series; duplicate filename version saved."
Bosch,HBG7784B1,HBG7784.1.pdf,https://media3.bosch-home.com/Documents/9001682489_B.pdf,downloaded,"Direct official Bosch manual PDF; saved locally."
Bosch,HBS534BW0B,HBS534B.0B(2).pdf,https://media3.bosch-home.com/Documents/9001594767_C.pdf,downloaded,"Series manual applicable to BW0B variant; saved locally."
Bosch,HBG7741B1B,HBG7741.1B.pdf,https://media3.bosch-home.com/Documents/9001681377_C.pdf,downloaded,"Direct official Bosch manual PDF; saved locally."
Bosch,HMG7764B1B,HMG7764.1B.pdf,https://media3.bosch-home.com/Documents/9001682779_D.pdf,downloaded,"Direct official Bosch manual PDF; saved locally."
Bosch,MBS533BS0B,MBS533B.0B.pdf,https://media3.bosch-home.com/Documents/9001580313_D.pdf,downloaded,"Series manual applicable to BS0B variant; saved locally."
