manufacturer,product_code,file_path,status,source_url,notes
Beko,BBAIF22300,operator-files/manual_beko_BBRIF22300.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBRIF22300.pdf,"Manual covers BBAIF22300 via variant group (BBRIF22300)."
Beko,BBIM12300,operator-files/manual_beko_BBIM12300.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBIM12300AC.pdf,"AC variant manual used; functionally applicable to BBIM12300."
Beko,BBIS25300XC,operator-files/manual_beko_BBIS25300XC.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBIS25300XC.pdf,"Direct official Beko PDF."
Beko,BBDF22300,operator-files/BBDF22300.pdf,downloaded,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/90cm-double-fan-oven-led-timer-bbdf22300-black,"Manual obtained and saved locally; originally behind product page viewer."
Beko,BBNIC22100X,operator-files/manual_beko_BBNIC22100X.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBNIC22100.pdf,"Direct official Beko PDF."
Beko,BBRIE22300XD,operator-files/BBRIE22300XD.pdf,downloaded,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/single-multi-function-oven-bbrie22300xd-stainless-steel,"Downloaded from manufacturer product page; alternate reputable source: https://manualsnet.com/beko/bbrie22300xd"
Beko,BBXDF22300,operator-files/BXDF22300.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BXDF22300.pdf,"Direct official Beko PDF."
Beko,CIFY81,operator-files/CIFY81.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/CIFY81.pdf,"Direct official Beko PDF."
Beko,BBXTF25300,operator-files/BBXTF25300.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBXTF25300.pdf,"Direct official Beko PDF."
Beko,CTFY22309,operator-files/CTFY22309.pdf,downloaded,https://bekoplc.blob.core.windows.net/bekoupload/manuals/CTFY22309.pdf,"Direct official Beko PDF."
Bosch,HHF113BA0B,operator-files/HHF113B.0B.pdf,downloaded,https://media3.bosch-home.com/Documents/9001771898_A.pdf,"Direct official Bosch PDF; filename corresponds to series document covering HHF113BA0B."
Bosch,HQA534BB3B,operator-files/HQA.34B.3.pdf,downloaded,https://media3.bosch-home.com/Documents/9001944775_B.pdf,"Direct official Bosch PDF; uploaded filename matches series code formatting."
Bosch,HQA574BS3B,operator-files/HQA.74B.3B.pdf,downloaded,https://media3.bosch-home.com/Documents/9001932465_B.pdf,"Direct official Bosch PDF; uploaded filename matches series code formatting."
Bosch,MBA533BB3B,operator-files/MBS533B.0B.pdf,downloaded,https://media3.bosch-home.com/Documents/9001580313_D.pdf,"Direct official Bosch PDF for MBS533B.0B; applicable to MBA533BB3B."
Bosch,HBS534BS0B,operator-files/HBS534B.0B(2).pdf,downloaded,https://media3.bosch-home.com/Documents/9001594767_C.pdf,"Direct official Bosch PDF; covers HBS534BS0B/series; duplicate filename version saved."
Bosch,HBG7784B1,operator-files/HBG7784.1.pdf,downloaded,https://media3.bosch-home.com/Documents/9001682489_B.pdf,"Direct official Bosch manual PDF; saved locally."
Bosch,HBS534BW0B,operator-files/HBS534B.0B(2).pdf,downloaded,https://media3.bosch-home.com/Documents/9001594767_C.pdf,"Series manual applicable to BW0B variant; saved locally."
Bosch,HBG7741B1B,operator-files/HBG7741.1B.pdf,downloaded,https://media3.bosch-home.com/Documents/9001681377_C.pdf,"Direct official Bosch manual PDF; saved locally."
Bosch,HMG7764B1B,operator-files/HMG7764.1B.pdf,downloaded,https://media3.bosch-home.com/Documents/9001682779_D.pdf,"Direct official Bosch manual PDF; saved locally."
Bosch,MBS533BS0B,operator-files/MBS533B.0B.pdf,downloaded,https://media3.bosch-home.com/Documents/9001580313_D.pdf,"Series manual applicable to BS0B variant; saved locally."
