symbol,date,opening_price,closing_price,volume,market_cap_rank
ADA,2021-06-01,1.74,1.735,153824983.71,5
AVAX,2021-06-01,18.16,17.76,5679376.42,14
BNB,2021-06-01,353.89,362.47,167235740.73,4
BTC,2021-06-01,37290.83,36683.51,1626268789.21,1
DOGE,2021-06-01,0.3257,0.3701,308066083.79,7
DOT,2021-06-01,23.33,22.82,27720774.2,9
ETH,2021-06-01,2707.38,2634.23,1882287507.52,2
LTC,2021-06-01,188.11,182.94,134949444.04,12
MATIC,2021-06-01,1.873,1.825,110828589.81,10
SOL,2021-06-01,32.78,30.98,46129931.3,11
TON,2021-06-01,0.0,0.0,0.0,15
TRX,2021-06-01,0.07677,0.07611,5195216.96,13
USDC,2021-06-01,0.9999,1.0,44446.83,8
USDT,2021-06-01,1.0,1.0,719614.8,3
XRP,2021-06-01,1.042,1.01,154542565.64,6
ADA,2021-06-02,1.735,1.754,125311773.24,5
AVAX,2021-06-02,17.76,18.68,11066784.75,14
BNB,2021-06-02,362.47,401.7,218240710.4,4
BTC,2021-06-02,36683.51,37576.98,1494571249.19,1
DOGE,2021-06-02,0.3701,0.4235,594621920.45,6
DOT,2021-06-02,22.82,25.95,55545349.62,9
ETH,2021-06-02,2634.23,2706.52,1593115620.38,2
LTC,2021-06-02,182.94,187.27,99996262.95,12
MATIC,2021-06-02,1.825,1.799,80961282.89,10
SOL,2021-06-02,30.98,33.98,48227819.48,11
TON,2021-06-02,0.0,0.0,0.0,15
TRX,2021-06-02,0.07611,0.07805,4664991.41,13
USDC,2021-06-02,1.0,1.0,39947.92,8
USDT,2021-06-02,1.0,1.0,590556.32,3
XRP,2021-06-02,1.01,1.025,96630969.78,7
ADA,2021-06-03,1.754,1.845,123894855.24,5
AVAX,2021-06-03,18.68,20.26,12971068.52,14
BNB,2021-06-03,401.7,428.0,162970119.45,3
BTC,2021-06-03,37576.98,39229.66,1586641442.02,1
DOGE,2021-06-03,0.4235,0.4005,397834666.89,6
DOT,2021-06-03,25.95,26.97,60283378.61,9
ETH,2021-06-03,2706.52,2856.01,1767131489.54,2
LTC,2021-06-03,187.27,193.46,108344667.46,12
MATIC,2021-06-03,1.799,1.823,67125433.33,10
SOL,2021-06-03,33.98,39.56,92430658.07,11
TON,2021-06-03,0.0,0.0,0.0,15
TRX,2021-06-03,0.07805,0.08217,5665734.39,13
USDC,2021-06-03,1.0,1.0,41117.72,8
USDT,2021-06-03,1.0,0.9999,630545.79,4
XRP,2021-06-03,1.025,1.045,103420815.27,7
ADA,2021-06-04,1.845,1.708,177339958.74,5
AVAX,2021-06-04,20.26,18.27,7900118.65,14
BNB,2021-06-04,428.0,390.73,181784312.34,4
BTC,2021-06-04,39229.66,36861.5,1837944242.33,1
DOGE,2021-06-04,0.4005,0.3762,297839838.58,6
DOT,2021-06-04,26.97,25.03,52019940.76,9
ETH,2021-06-04,2856.01,2691.17,1870054033.42,2
LTC,2021-06-04,193.46,178.6,117852794.28,12
MATIC,2021-06-04,1.823,1.632,149104756.96,10
SOL,2021-06-04,39.56,37.42,101079093.6,11
TON,2021-06-04,0.0,0.0,0.0,15
TRX,2021-06-04,0.08217,0.07721,7210736.72,13
USDC,2021-06-04,1.0,1.0,49659.04,8
USDT,2021-06-04,0.9999,1.001,698837.58,3
XRP,2021-06-04,1.045,0.9691,149668276.1,7
ADA,2021-06-05,1.708,1.657,100757323.29,5
AVAX,2021-06-05,18.27,17.24,7499512.53,14
BNB,2021-06-05,390.73,390.21,135875557.26,4
BTC,2021-06-05,36861.5,35538.4,1444088532.56,1
DOGE,2021-06-05,0.3762,0.3717,148813006.71,6
DOT,2021-06-05,25.03,23.79,26457269.39,9
ETH,2021-06-05,2691.17,2629.76,1523173179.92,2
LTC,2021-06-05,178.6,173.01,86060695.75,12
MATIC,2021-06-05,1.632,1.528,98594278.58,11
SOL,2021-06-05,37.42,39.75,107224327.59,10
TON,2021-06-05,0.0,0.0,0.0,15
TRX,2021-06-05,0.07721,0.07552,5065323.91,13
USDC,2021-06-05,1.0,1.0,39875.95,8
USDT,2021-06-05,1.001,1.0,570582.39,3
XRP,2021-06-05,0.9691,0.9231,92698279.68,7
ADA,2021-06-06,1.657,1.677,47914801.67,5
AVAX,2021-06-06,17.24,17.37,3894230.84,14
BNB,2021-06-06,390.21,393.78,75632349.08,4
BTC,2021-06-06,35538.4,35798.57,986275148.28,1
DOGE,2021-06-06,0.3717,0.3713,66941822.99,6
DOT,2021-06-06,23.79,24.14,13942795.15,9
ETH,2021-06-06,2629.76,2710.99,930314354.19,2
LTC,2021-06-06,173.01,176.29,67973377.16,12
MATIC,2021-06-06,1.528,1.581,56364805.86,11
SOL,2021-06-06,39.75,42.23,68453272.55,10
TON,2021-06-06,0.0,0.0,0.0,15
TRX,2021-06-06,0.07552,0.07745,3375301.01,13
USDC,2021-06-06,1.0,0.9995,27456.63,8
USDT,2021-06-06,1.001,1.0,27471.19,3
XRP,2021-06-06,0.9231,0.9456,58957683.92,7
ADA,2021-06-07,1.677,1.565,124304327.8,5
AVAX,2021-06-07,17.37,15.54,10663678.69,14
BNB,2021-06-07,393.75,358.12,63397434.98,4
BTC,2021-06-07,35798.57,33582.86,1850311020.63,1
DOGE,2021-06-07,0.3713,0.3316,154883935.6,6
DOT,2021-06-07,24.14,21.69,31488678.61,9
ETH,2021-06-07,2710.99,2593.12,1734370558.93,2
LTC,2021-06-07,176.29,162.01,105149939.49,12
MATIC,2021-06-07,1.581,1.485,116891036.83,11
SOL,2021-06-07,42.23,38.28,83284538.42,10
TON,2021-06-07,0.0,0.0,0.0,15
TRX,2021-06-07,0.07745,0.07195,4240914.87,13
USDC,2021-06-07,0.9995,1.0,52222.04,8
USDT,2021-06-07,1.0,1.0,52231.68,3
XRP,2021-06-07,0.9456,0.8625,107061635.23,7
ADA,2021-06-08,1.565,1.584,193098516.83,5
AVAX,2021-06-08,15.54,14.81,10316013.7,14
BNB,2021-06-08,358.12,352.92,80203223.89,4
BTC,2021-06-08,33582.86,33409.38,2890313261.68,1
DOGE,2021-06-08,0.3316,0.3265,193430892.76,6
DOT,2021-06-08,21.69,21.69,42743781.01,9
ETH,2021-06-08,2593.12,2509.23,2594319741.23,2
LTC,2021-06-08,162.01,160.78,157670631.7,12
MATIC,2021-06-08,1.485,1.479,157197621.21,11
SOL,2021-06-08,38.28,41.26,169862969.98,10
TON,2021-06-08,0.0,0.0,0.0,15
TRX,2021-06-08,0.07195,0.07255,7559179.5,13
USDC,2021-06-08,1.0,1.0,88520.19,8
USDT,2021-06-08,1.0,1.001,88563.08,3
XRP,2021-06-08,0.8625,0.8751,158465173.89,7
ADA,2021-06-09,1.584,1.627,123181287.7,5
AVAX,2021-06-09,14.81,15.4,9663152.6,14
BNB,2021-06-09,353.14,375.79,140215994.29,4
BTC,2021-06-09,33409.38,37391.58,3249553573.38,1
DOGE,2021-06-09,0.3265,0.3431,158820721.14,6
DOT,2021-06-09,21.69,23.2,36243191.18,9
ETH,2021-06-09,2509.23,2610.64,1819177646.94,2
LTC,2021-06-09,160.78,172.44,126435612.32,12
MATIC,2021-06-09,1.479,1.491,118968302.79,11
SOL,2021-06-09,41.26,42.03,101199283.7,10
TON,2021-06-09,0.0,0.0,0.0,15
TRX,2021-06-09,0.07255,0.0753,6901030.9,13
USDC,2021-06-09,1.0,1.0,92316.89,8
USDT,2021-06-09,1.001,1.0,92322.32,3
XRP,2021-06-09,0.8751,0.9218,141778595.5,7
ADA,2021-06-10,1.627,1.533,77042169.74,5
AVAX,2021-06-10,15.4,14.2,7727229.82,14
BNB,2021-06-10,375.79,351.99,106189111.03,4
BTC,2021-06-10,37391.58,36680.78,2338112083.52,1
DOGE,2021-06-10,0.3431,0.3261,101500408.79,6
DOT,2021-06-10,23.2,22.67,26342900.1,9
ETH,2021-06-10,2610.64,2471.56,1018177774.01,2
LTC,2021-06-10,172.44,168.03,87567338.17,12
MATIC,2021-06-10,1.491,1.363,72825274.87,11
SOL,2021-06-10,42.03,41.09,46173596.26,10
TON,2021-06-10,0.0,0.0,0.0,15
TRX,2021-06-10,0.0753,0.07259,4254764.21,13
USDC,2021-06-10,1.0,1.0,63065.81,8
USDT,2021-06-10,1.0,1.0,63060.09,3
XRP,2021-06-10,0.9218,0.8687,87301860.8,7
ADA,2021-06-11,1.533,1.436,79811144.13,5
AVAX,2021-06-11,14.2,13.42,7744121.48,14
BNB,2021-06-11,351.99,345.88,104234426.04,4
BTC,2021-06-11,36680.78,37339.98,1596038876.7,1
DOGE,2021-06-11,0.3261,0.3189,72822195.41,6
DOT,2021-06-11,22.67,20.96,16261669.81,9
ETH,2021-06-11,2471.56,2355.09,988630797.95,2
LTC,2021-06-11,168.03,162.86,80633659.18,12
MATIC,2021-06-11,1.363,1.25,73932383.79,11
SOL,2021-06-11,41.09,36.18,56074034.42,10
TON,2021-06-11,0.0,0.0,0.0,15
TRX,2021-06-11,0.07259,0.06918,3577609.41,13
USDC,2021-06-11,1.0,1.0,43139.45,8
USDT,2021-06-11,1.0,1.0,43124.76,3
XRP,2021-06-11,0.8687,0.8471,66680637.2,7
ADA,2021-06-12,1.436,1.477,76321912.81,5
AVAX,2021-06-12,13.42,13.53,6054354.11,14
BNB,2021-06-12,345.88,343.87,86112359.51,4
BTC,2021-06-12,37339.98,35541.78,1450138289.51,1
DOGE,2021-06-12,0.3189,0.3119,63731009.69,6
DOT,2021-06-12,20.96,20.76,23614642.91,9
ETH,2021-06-12,2355.09,2369.62,891766601.89,2
LTC,2021-06-12,162.86,161.69,69643639.81,12
MATIC,2021-06-12,1.25,1.339,90200947.88,11
SOL,2021-06-12,36.18,36.48,45173977.14,10
TON,2021-06-12,0.0,0.0,0.0,15
TRX,2021-06-12,0.06918,0.06805,3671811.38,13
USDC,2021-06-12,1.0,1.001,40656.23,8
USDT,2021-06-12,1.0,1.0,40619.4,3
XRP,2021-06-12,0.8471,0.8314,74358491.65,7
ADA,2021-06-13,1.477,1.559,85040079.32,5
AVAX,2021-06-13,13.53,14.75,6991093.21,14
BNB,2021-06-13,343.87,365.87,85185529.35,4
BTC,2021-06-13,35541.78,39017.37,1727291768.5,1
DOGE,2021-06-13,0.3119,0.3242,58924654.4,7
DOT,2021-06-13,20.76,22.07,26525131.55,9
ETH,2021-06-13,2369.62,2509.7,882400625.24,2
LTC,2021-06-13,161.69,170.93,58665331.81,12
MATIC,2021-06-13,1.339,1.467,74817436.53,11
SOL,2021-06-13,36.48,38.72,34963869.07,10
TON,2021-06-13,0.0,0.0,0.0,15
TRX,2021-06-13,0.06805,0.07158,2949919.75,13
USDC,2021-06-13,1.001,0.9989,46300.82,8
USDT,2021-06-13,1.0,1.0,46356.65,3
XRP,2021-06-13,0.8314,0.8839,50208738.47,6
ADA,2021-06-14,1.559,1.577,78537353.52,5
AVAX,2021-06-14,14.75,15.11,9203231.6,14
BNB,2021-06-14,365.87,370.17,103509596.96,4
BTC,2021-06-14,39017.37,40526.63,2740589573.6,1
DOGE,2021-06-14,0.3242,0.3276,79815994.44,7
DOT,2021-06-14,22.07,25.87,62981165.02,9
ETH,2021-06-14,2509.7,2582.12,985454994.26,2
LTC,2021-06-14,170.93,179.97,90566493.16,12
MATIC,2021-06-14,1.467,1.55,74070783.62,10
SOL,2021-06-14,38.72,39.72,42680881.8,11
TON,2021-06-14,0.0,0.0,0.0,15
TRX,2021-06-14,0.07158,0.07203,4274250.22,13
USDC,2021-06-14,0.9989,1.0,68733.57,8
USDT,2021-06-14,1.0,1.0,68752.01,3
XRP,2021-06-14,0.8839,0.8907,74510707.59,6
ADA,2021-06-15,1.577,1.556,59489310.74,5
AVAX,2021-06-15,15.11,14.72,5237974.36,14
BNB,2021-06-15,370.17,366.8,78749108.45,4
BTC,2021-06-15,40526.63,40161.86,1943860792.12,1
DOGE,2021-06-15,0.3276,0.3203,55917669.34,6
DOT,2021-06-15,25.87,23.97,30967576.46,9
ETH,2021-06-15,2582.12,2543.6,884043051.65,2
LTC,2021-06-15,179.97,175.24,62928538.78,12
MATIC,2021-06-15,1.55,1.63,104036067.4,10
SOL,2021-06-15,39.72,39.55,46477716.04,11
TON,2021-06-15,0.0,0.0,0.0,15
TRX,2021-06-15,0.07203,0.07183,4521723.61,13
USDC,2021-06-15,1.0,1.0,48257.99,8
USDT,2021-06-15,1.0,1.0,48259.61,3
XRP,2021-06-15,0.8907,0.8668,52420654.27,7
ADA,2021-06-16,1.556,1.484,51011496.16,5
AVAX,2021-06-16,14.72,14.07,7572300.66,14
BNB,2021-06-16,366.8,347.26,68106599.98,4
BTC,2021-06-16,40161.86,38345.41,1883613058.48,1
DOGE,2021-06-16,0.3203,0.3077,48238542.94,6
DOT,2021-06-16,23.97,23.02,29860333.11,9
ETH,2021-06-16,2543.6,2367.7,986488084.54,2
