Company,Year,Region,Revenue (€ m)
Beiersdorf AG,2024,Europe,4313
Beiersdorf AG,2024,Americas,2567
Beiersdorf AG,2024,Africa / Asia / Australia,2970
Beiersdorf AG,2023,Europe,4135
Beiersdorf AG,2023,Americas,2484
Beiersdorf AG,2023,Africa / Asia / Australia,2829
Beiersdorf AG,2022,Europe,3900
Beiersdorf AG,2022,Americas,2126
Beiersdorf AG,2022,Africa / Asia / Australia,2773
Beiersdorf AG,2021,Europe,3676
Beiersdorf AG,2021,Americas,1527
Beiersdorf AG,2021,Africa / Asia / Australia,2424
Beiersdorf AG,2020,Europe,3467
Beiersdorf AG,2020,Americas,1347
Beiersdorf AG,2020,Africa / Asia / Australia,2211
