Company,Year,Region,Revenue (€ m)
L'Oréal S.A.,2024,Europe,14211.40
L'Oréal S.A.,2024,North America,11805.20
L'Oréal S.A.,2024,North Asia,10303.40
L'Oréal S.A.,2024,SAPMENA–SSA,3863.00
L'Oréal S.A.,2024,Latin America,3303.90
L'Oréal S.A.,2023,Europe,13413.40
L'Oréal S.A.,2023,North America,10953.20
L'Oréal S.A.,2023,North Asia,10206.40
L'Oréal S.A.,2023,SAPMENA–SSA,3444.00
L'Oréal S.A.,2023,Latin America,3165.50
L'Oréal S.A.,2022,Europe,11430.0*
L'Oréal S.A.,2022,North America,10170.0*
L'Oréal S.A.,2022,North Asia,10680.0*
L'Oréal S.A.,2022,SAPMENA–SSA,2940.0*
L'Oréal S.A.,2022,Latin America,3040.0*
L'Oréal S.A.,2021,Europe,9610.0*
L'Oréal S.A.,2021,North America,8560.0*
L'Oréal S.A.,2021,North Asia,9870.0*
L'Oréal S.A.,2021,SAPMENA–SSA,2360.0*
L'Oréal S.A.,2021,Latin America,2500.0*
L'Oréal S.A.,2020,Europe,8910.0*
L'Oréal S.A.,2020,North America,8180.0*
L'Oréal S.A.,2020,North Asia,7710.0*
L'Oréal S.A.,2020,SAPMENA–SSA,1910.0*
L'Oréal S.A.,2020,Latin America,2280.0*
