Company,Year,Segment,Revenue (€ m)
L'Oréal S.A.,2024,Consumer Products,15982.40
L'Oréal S.A.,2024,Luxe,15591.10
L'Oréal S.A.,2024,Dermatological Beauty,7027.10
L'Oréal S.A.,2024,Professional Products,4886.20
L'Oréal S.A.,2023,Consumer Products,14021.30
L'Oréal S.A.,2023,Luxe,14638.10
L'Oréal S.A.,2023,Dermatological Beauty,5124.50
L'Oréal S.A.,2023,Professional Products,4476.80
L'Oréal S.A.,2022,Consumer Products,13900.0*
L'Oréal S.A.,2022,Luxe,14600.0*
L'Oréal S.A.,2022,Dermatological Beauty,5100.0*
L'Oréal S.A.,2022,Professional Products,4660.0*
L'Oréal S.A.,2021,Consumer Products,12230.0*
L'Oréal S.A.,2021,Luxe,12350.0*
L'Oréal S.A.,2021,Dermatological Beauty,4180.0*
L'Oréal S.A.,2021,Professional Products,3520.0*
L'Oréal S.A.,2020,Consumer Products,11970.0*
L'Oréal S.A.,2020,Luxe,10850.0*
L'Oréal S.A.,2020,Dermatological Beauty,3330.0*
L'Oréal S.A.,2020,Professional Products,3000.0*
