Company,Year,Region,Revenue ($ m)
Procter & Gamble,2025,United States,41600
Procter & Gamble,2025,International,42700
Procter & Gamble,2024,United States,40500
Procter & Gamble,2024,International,43500
Procter & Gamble,2023,United States,38700
Procter & Gamble,2023,International,43300
Procter & Gamble,2022,United States,36500
Procter & Gamble,2022,International,43700
Procter & Gamble,2021,United States,33700
Procter & Gamble,2021,International,42400
Procter & Gamble,2020,United States,31300
Procter & Gamble,2020,International,39700
