Company,Year,Segment,Revenue ($ m)
Procter & Gamble,2025,Beauty,14964
Procter & Gamble,2025,Grooming,6662
Procter & Gamble,2025,Health Care,11998
Procter & Gamble,2025,Fabric & Home Care,29617
Procter & Gamble,2025,Baby, Feminine & Family Care,20248
Procter & Gamble,2024,Beauty,15220
Procter & Gamble,2024,Grooming,6654
Procter & Gamble,2024,Health Care,11793
Procter & Gamble,2024,Fabric & Home Care,29495
Procter & Gamble,2024,Baby, Feminine & Family Care,20277
Procter & Gamble,2023,Beauty,15008
Procter & Gamble,2023,Grooming,6419
Procter & Gamble,2023,Health Care,11149
Procter & Gamble,2023,Fabric & Home Care,28909
Procter & Gamble,2023,Baby, Feminine & Family Care,20108
Procter & Gamble,2022,Beauty,14740
Procter & Gamble,2022,Grooming,6613
Procter & Gamble,2022,Health Care,10824
Procter & Gamble,2022,Fabric & Home Care,27556
Procter & Gamble,2022,Baby, Feminine & Family Care,19736
Procter & Gamble,2021,Beauty,14417
Procter & Gamble,2021,Grooming,6323
Procter & Gamble,2021,Health Care,9956
Procter & Gamble,2021,Fabric & Home Care,26014
Procter & Gamble,2021,Baby, Feminine & Family Care,18850
Procter & Gamble,2020,Beauty,13349
Procter & Gamble,2020,Grooming,6085
Procter & Gamble,2020,Health Care,9028
Procter & Gamble,2020,Fabric & Home Care,23735
Procter & Gamble,2020,Baby, Feminine & Family Care,18364
