Company,Year,Region,Revenue (¥ m)
Shiseido,2024,Japan,316714
Shiseido,2024,China,260847
Shiseido,2024,Asia Pacific,65487
Shiseido,2024,Americas,159316
Shiseido,2024,EMEA,152690
Shiseido,2024,Other,135532
Shiseido,2023,Japan,302528
Shiseido,2023,China,198509
Shiseido,2023,Asia Pacific,70394
Shiseido,2023,Americas,164802
Shiseido,2023,EMEA,137069
Shiseido,2023,Other,99736
Shiseido,2021,Japan,321243
Shiseido,2021,Americas,127524
Shiseido,2021,Europe,109344
Shiseido,2021,Asia & Oceania,125053
Shiseido,2020,Japan,333348
Shiseido,2020,Americas,93137
Shiseido,2020,Europe,81147
Shiseido,2020,Asia & Oceania,101295
