Company,Year,Segment,Revenue (¥ m)
Shiseido,2023,Japan Business,226004
Shiseido,2023,China Business,260847
Shiseido,2023,Asia Pacific Business,64666
Shiseido,2023,Americas Business,152722
Shiseido,2023,EMEA Business,150018
Shiseido,2023,Travel Retail,112572
Shiseido,2023,Professional,9015
Shiseido,2023,Other,64182
Shiseido,2022,Japan Business,261500
Shiseido,2022,China Business,260300
Shiseido,2022,Asia Pacific Business,65500
Shiseido,2022,Americas Business,140700
Shiseido,2022,EMEA Business,140900
Shiseido,2022,Travel Retail,121500
Shiseido,2022,Professional,11000
Shiseido,2022,Other,63900
Shiseido,2021,Japan Business,258800
Shiseido,2021,China Business,274700
Shiseido,2021,Asia Pacific Business,63600
Shiseido,2021,Americas Business,121400
Shiseido,2021,EMEA Business,117000
Shiseido,2021,Travel Retail,120600
Shiseido,2021,Professional,15300
Shiseido,2021,Other,38600
