Company,Year,Segment,Revenue ($ m)
Ulta Beauty,2024,Cosmetics,4405.30
Ulta Beauty,2024,Skincare,2598.00
Ulta Beauty,2024,Haircare,2146.20
Ulta Beauty,2024,Fragrance,1468.40
Ulta Beauty,2024,Services,451.8
Ulta Beauty,2024,Other,225.9
Ulta Beauty,2023,Cosmetics,4596.90
Ulta Beauty,2023,Skincare,2465.60
Ulta Beauty,2023,Haircare,2241.50
Ulta Beauty,2023,Fragrance,1232.80
Ulta Beauty,2023,Services,448.3
Ulta Beauty,2023,Other,224.1
Ulta Beauty,2022,Cosmetics,4288.00
Ulta Beauty,2022,Skincare,2041.70
Ulta Beauty,2022,Haircare,2246.00
Ulta Beauty,2022,Fragrance,1122.90
Ulta Beauty,2022,Services,306.3
Ulta Beauty,2022,Other,203.9
