Company,Year,Revenue (A$ m),Net Income (A$ m),Total Assets (A$ m),Total Liabilities (A$ m),R&D Expense (A$ m),Employees,Revenue Growth (%),Net Income Growth (%)
Adore Beauty,2024,195.7,3.1,99.1,42.8,N/M,N/M,7.4,310
Adore Beauty,2023,182.2,0.8,93.5,44.6,N/M,N/M,-8.7,-86
Adore Beauty,2022,199.7,5.7,90.2,41.2,N/M,N/M,11.4,-65.5
Adore Beauty,2021,179.3,16.5,86.6,38.4,N/M,N/M,12.1,ó
Adore Beauty,2020,160,18.7,78,34.2,N/M,N/M,ó,ó
Beiersdorf AG,2024,9850,928,13011,4516,354,22791,4.3,23.9
Beiersdorf AG,2023,9447,749,12629,4290,320,21958,7.4,-2.9
Beiersdorf AG,2022,8799,771,12348,4543,291,21401,15.4,17.7
Beiersdorf AG,2021,7627,655,11299,4405,268,20567,8.6,13.5
Beiersdorf AG,2020,7025,577,10205,3942,246,20306,ó,ó
Coty,2025,5892.9,-367.9,11907.7,7952.*,N/M,11636,-3.68,N/M
Coty,2024,6118,89.4,12082.5,8344.5,N/M,11791,10.15,-82.39
Coty,2023,5554.1,508.2,12661.6,8092.6,N/M,N/M,4.71,95.86
Coty,2022,5304.4,259.5,12116.1,8558.1,N/M,N/M,14.58,N/M
Coty,2021,4629.9,-201.3,13691.4,10123.6,N/M,N/M,-1.86,-80
Coty,2020,4717.8,-1006.7,16728.8,13935.6,N/M,N/M,N/M,N/M
e.l.f. Beauty,2025,1313.5,112.1,1248.2,487.3,N/M,633,28.3,-12.2
e.l.f. Beauty,2024,1023.9,127.7,1129.2,486.7,N/M,N/M,76.9,107.5
e.l.f. Beauty,2023,578.8,61.5,595.6,184.6,N/M,N/M,47.6,182.6
e.l.f. Beauty,2022,392.2,21.8,494.6,182.2,N/M,N/M,23.3,249.3
e.l.f. Beauty,2021,318.1,6.2,487.4,217.7,N/M,N/M,12.5,-65.2
e.l.f. Beauty,2020,282.9,17.9,453.1,210.9,N/M,N/M,N/A,N/A
Est√©e Lauder,2025,14326,-1133,19892,16027,316,57000,-8.2,-390.5
Est√©e Lauder,2024,15608,390,21677,16363,360,62000,-1.9,-61.2
Est√©e Lauder,2023,15910,1006,23415,16998,344,N/M,-10.3,-57.9
Est√©e Lauder,2022,17737,2390,20910,N/M,307,N/M,9.4,-16.7
Est√©e Lauder,2021,16215,2870,N/M,N/M,243,N/M,13.4,319.6
Est√©e Lauder,2020,14294,684,N/M,N/M,228,N/M,N/M,N/M
L'Or√©al S.A.,2024,43486.8,6416.5,56354,26610,1354.7,90000+,5.6,3.7
L'Or√©al S.A.,2023,41182.5,6190.5,51855,23861,1288.9,87000+,7.6,7.3
L'Or√©al S.A.,2022,38260,5707,49200*,22100*,1118,87400,18.5,8.9
L'Or√©al S.A.,2021,32280,5237,44900*,20300*,1029,85400,15.3,8.5
L'Or√©al S.A.,2020,27990,4100,43196*,19900*,985,85000+,ó,ó
Oriflame,2024,604.2,-527,436.3,1029.4,ó,3360,-19.5,33.6
Oriflame,2023,750.9,-394.5,905.1,1045.5,ó,ó,-18.9,715.6
Oriflame,2022,925.4,-48.37,1362.8,1078.3,ó,4715,-9,N/M
Oriflame,2021,1016.5,0.712,1389,1079.4,ó,6522,-17.3,-99.2
Oriflame,2020,1229.1,88.5,1470.5,1145.7,ó,6079,ó,ó
Procter & Gamble,2025,84284,15974,125231,72946,2100,N/A,0.27,8.39
Procter & Gamble,2024,84058,14738,122370,71811,2000,108000,2.5,0.58
Procter & Gamble,2023,82006,14653,120829,73764,2000,108000,2.27,-0.61
Procter & Gamble,2022,80187,14742,117208,70354,2000,N/A,5.35,3.05
Procter & Gamble,2021,76118,14306,119307,72653,1900,N/A,7.29,9.81
Procter & Gamble,2020,70950,13027,120700,73822,1800,N/A,N/M,N/M
Revlon,2022,1980.4,-673.9,2489.8,N/M,N/M,N/M,-4.7,N/M
Revlon,2021,2078.7,-206.9,2432.5,N/M,N/M,N/M,9.2,N/M
Revlon,2020,1904.3,-619,2623.6,5113.2,N/M,N/M,ó,ó
Shiseido,2024,990586,-10813,1331848,699374,N/A,33096,1.8,N/M
Shiseido,2023,973038,21749,1255497,636749,N/A,33591,-8.8,-36.4
Shiseido,2022,1067355,34202,1307661,703402,N/A,36493,5.7,-27.1
Shiseido,2021,1009966,46909,1300979,760284,25600,35287,9.7,N/M
Shiseido,2020,920888,-11660,1204229,697636,27000,36048,ó,ó
Ulta Beauty,2024,11295.7,1201.1,6001.7,3513.3,N/A,58000,0.8,-6.9
Ulta Beauty,2023,11207.3,1291,5707,3427.7,N/A,53000,9.8,3.9
Ulta Beauty,2022,10209,1242,5370,3410.6,N/A,40500,18.3,26
Ulta Beauty,2021,8631,986,4764,3229,N/A,37000,40.3,461
Ulta Beauty,2020,6152,176,5090,3090.4,N/A,ó,ó,ó
