Company,Year,Geography,Revenue ($ m)
e.l.f. Beauty,2025,United States,1064.00
e.l.f. Beauty,2025,International,249.5
e.l.f. Beauty,2024,United States,868.1
e.l.f. Beauty,2024,International,155.9
e.l.f. Beauty,2023,United States,506.8
e.l.f. Beauty,2023,International,72.1
e.l.f. Beauty,2022,United States,347.5
e.l.f. Beauty,2022,International,44.7
e.l.f. Beauty,2021,United States,284.2
e.l.f. Beauty,2021,International,33.9
e.l.f. Beauty,2020,United States,255.30
e.l.f. Beauty,2020,International,27.6
