retailer,category,rank,product_name,product_url,current_price,original_price,review_count,badges,category_url,product_code,retailer_score,search_score,combined_score,final_rank
The Blue Space,basins,1,ADP Margot 360 x 360 Above Counter Basin - Matte White,https://www.thebluespace.com.au/collections/bathroom-basins/products/adp-margot-above-counter-basin-white,$254,$299,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,1.0,0.0,1.0,1.0
Reece,basins,1,Mizu Drift Universal 40mm Pop Up Plug & Waste Chrome,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-40mm-pop-up-plug-waste-2263197,$41.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,1.0,0.0,1.0,1.0
Highgrove Bathrooms,basins,1,CHARLOTTE Bench Mount Basin Matcha Green,https://www.highgrovebathrooms.com.au/product/charlotte-bench-mount-basin-matcha-green/,$349.00,,,,https://www.highgrovebathrooms.com.au/basins/,UCL103-G,1.0,0.0,1.0,1.0
Bunnings,basins,1,Estilo 900mm Bathroom Vanity With SMC Basin Top And 1 Tap Hole,https://www.bunnings.com.au/estilo-900mm-bathroom-vanity-with-smc-basin-top-and-1-tap-hole_p0198169,$400,,(54),,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,198169.0,1.0,0.0,1.0,1.0
MyHomeware,basins,1,Infinity 310x310x110mm Above Counter Ceramic Basin Round Shape for Bathroom In Various...,https://www.myhomeware.com.au/products/310mm-above-counter-ceramic-basin-round-various-colour,$143.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,IF-IA026,1.0,0.0,1.0,1.0
The Blue Space,basins,2,Caroma Luna Above Counter Basin 450mm,https://www.thebluespace.com.au/collections/bathroom-basins/products/caroma-luna-above-counter-basin,$292,$447,,"In Stock, In Stock QLD",https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.5,0.0,0.5,2.0
Reece,basins,2,Mizu Drift Universal 40mm Dome Pop Up Plug & Waste Chrome,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-40mm-dome-pop-up-plug-2263199,$48.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.5,0.0,0.5,2.0
Highgrove Bathrooms,basins,2,ELISSA Solid Surface Bench Mount Basin Matte White,https://www.highgrovebathrooms.com.au/product/elissa-solid-surface-bench-mount-basin-matte-white/,$359.00,,,,https://www.highgrovebathrooms.com.au/basins/,BLU102-M,0.5,0.0,0.5,2.0
Bunnings,basins,2,Caroma 1TH White Stylus Allegro Vanity Basin,https://www.bunnings.com.au/caroma-1th-white-stylus-allegro-vanity-basin_p4820746,$121,,(2),,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,4820746.0,0.5,0.0,0.5,2.0
MyHomeware,basins,2,RAK 550x415x195mm RAK Compact Semi-Recessed Ceramic Basin 1 or 3 Tap Holes Available,https://www.myhomeware.com.au/products/rak-compact-semi-recessed-ceramic-basin-tap-hole,$253.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,FN-603701W,0.5,0.0,0.5,2.0
The Blue Space,basins,3,Caroma Luna Hand Wall Basin 450mm,https://www.thebluespace.com.au/collections/bathroom-basins/products/caroma-luna-hand-wall-basin,$265,$447,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.3333333333333333,0.0,0.3333333333333333,3.0
Reece,basins,3,Mizu Drift Universal 40mm Pop Up Plug & Waste Matte Black,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-40mm-pop-up-plug-waste-2299560,$52.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.3333333333333333,0.0,0.3333333333333333,3.0
Highgrove Bathrooms,basins,3,DELTA Ceramic Vanity Top with 1TH Gloss White 900mm,https://www.highgrovebathrooms.com.au/product/delta-ceramic-vanity-top-with-1th-gloss-white-900mm/,$259.00,,,,https://www.highgrovebathrooms.com.au/basins/,DE900-W,0.3333333333333333,0.0,0.3333333333333333,3.0
Bunnings,basins,3,Estilo Counter Top Basin,https://www.bunnings.com.au/estilo-counter-top-basin_p0200698,$131,,(1),,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,200698.0,0.3333333333333333,0.0,0.3333333333333333,3.0
MyHomeware,basins,3,RAK 510x405x805mm RAK Lara Pedestal Basin in Gloss White Freestanding 1 Tap Hole,https://www.myhomeware.com.au/products/rak-lara-pedestal-basin-in-gloss-white-freestanding-tap-holes,$279.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,FN-610131W,0.3333333333333333,0.0,0.3333333333333333,3.0
The Blue Space,basins,4,Caroma Luna Shelf Wall Basin 550mm,https://www.thebluespace.com.au/collections/bathroom-basins/products/caroma-luna-shelf-wall-basin,$334,$439,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.25,0.0,0.25,4.0
Reece,basins,4,Mizu Drift Bottle Trap 40mm Chrome,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-bottle-trap-40mm-chrome-2262546,$140.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.25,0.0,0.25,4.0
Highgrove Bathrooms,basins,4,"FLOW Slim Solid Surface Vanity Top, w/ Integrated Basin and Overflow 600mm Matte White",https://www.highgrovebathrooms.com.au/product/flow-slim-solid-surface-vanity-top-w-integrated-basin-and-overflow-600mm-matte-white/,$329.00,,,,https://www.highgrovebathrooms.com.au/basins/,FSS600-M,0.25,0.0,0.25,4.0
Bunnings,basins,4,Estilo Counter Top Basin,https://www.bunnings.com.au/estilo-counter-top-basin_p0200700,$123,,(1),,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,200700.0,0.25,0.0,0.25,4.0
MyHomeware,basins,4,Infinity 595x375x105mm Oval Fluted Above Counter Ceramic Basin In Various Colour,https://www.myhomeware.com.au/products/600mm-oval-above-counter-ceramic-basin-various-colour,$187.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,IF-IA071,0.25,0.0,0.25,4.0
The Blue Space,basins,5,ADP Hope 495 x 255 Solid Surface Under Counter Basin,https://www.thebluespace.com.au/collections/bathroom-basins/products/adp-hope-solid-surface-under-counter-basin,$291,$349,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.2,0.0,0.2,5.0
Reece,basins,5,Mizu Drift Universal Waste Piston,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-waste-piston-2263831,$11.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.2,0.0,0.2,5.0
Highgrove Bathrooms,basins,5,APOLLO Bench Mount Basin Matte White,https://www.highgrovebathrooms.com.au/product/apollo-bench-mount-basin-matte-white/,$199.00,,,,https://www.highgrovebathrooms.com.au/basins/,MC155-M,0.2,0.0,0.2,5.0
Bunnings,basins,5,CIBO 1200mm White Ripple Wall Hung Bathroom Vanity With White Countertop Basin,https://www.bunnings.com.au/cibo-1200mm-white-ripple-wall-hung-bathroom-vanity-with-white-countertop-basin_p0673387,$1290,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,673387.0,0.2,0.0,0.2,5.0
MyHomeware,basins,5,Macho 500x390x130mm Rectangle Matt White Carrara Above Counter Ceramic Basin,https://www.myhomeware.com.au/products/above-counter-basin-ceramic-rectangle-white-cararra,$288.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,BS-503CR-MW,0.2,0.0,0.2,5.0
The Blue Space,basins,6,Bao Round 360mm Above Counter Basin - Matte White,https://www.thebluespace.com.au/collections/bathroom-basins/products/bao-round-360mm-above-counter-basin-matte-white,$236,$295,,"Free Shipping, In Stock, In Stock QLD, In Stock SA, In Stock VIC",https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.16666666666666666,0.0,0.16666666666666666,6.0
Reece,basins,6,Mizu Drift Universal 40mm Pop Up Plug & Waste Brushed Nickel,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-40mm-pop-up-plug-waste-2263852,$56.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.16666666666666666,0.0,0.16666666666666666,6.0
Highgrove Bathrooms,basins,6,APOLLO Bench Mount Basin Matte Black,https://www.highgrovebathrooms.com.au/product/apollo-bench-mount-basin-matte-black/,$199.00,,,,https://www.highgrovebathrooms.com.au/basins/,MC155-MB,0.16666666666666666,0.0,0.16666666666666666,6.0
Bunnings,basins,6,CIBO 900mm White Ripple Wall Hung Bathroom Vanity With White Countertop Basin,https://www.bunnings.com.au/cibo-900mm-white-ripple-wall-hung-bathroom-vanity-with-white-countertop-basin_p0673386,$1075,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,673386.0,0.16666666666666666,0.0,0.16666666666666666,6.0
MyHomeware,basins,6,Infinity 300x300x110mm Round Above Counter Ceramic Basin Variant Colour Available,https://www.myhomeware.com.au/products/300mm-round-above-counter-ceramic-basin-various-colour,$179.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,IF-IA019S,0.16666666666666666,0.0,0.16666666666666666,6.0
The Blue Space,basins,7,Timberline Allure White Above Counter Basin,https://www.thebluespace.com.au/collections/bathroom-basins/products/timberline-allure-white-above-counter-basin,$185,$246,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.14285714285714285,0.0,0.14285714285714285,7.0
Reece,basins,7,Mizu Drift Universal 40mm Dome Pop Up Plug & Waste Brushed Nickel,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-40mm-dome-pop-up-plug-2263856,$64.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.14285714285714285,0.0,0.14285714285714285,7.0
Highgrove Bathrooms,basins,7,APOLLO Bench Mount Basin Gloss White,https://www.highgrovebathrooms.com.au/product/apollo-bench-mount-basin-gloss-white/,$119.00,,,,https://www.highgrovebathrooms.com.au/basins/,MC155-W,0.14285714285714285,0.0,0.14285714285714285,7.0
Bunnings,basins,7,CIBO 1500mm White Nordic Wall Hung Bathroom Vanity With Pod White Matte Basins,https://www.bunnings.com.au/cibo-1500mm-white-nordic-wall-hung-bathroom-vanity-with-pod-white-matte-basins_p0668139,$1999,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,668139.0,0.14285714285714285,0.0,0.14285714285714285,7.0
MyHomeware,basins,7,Lukka Lukka 400x400x140mm Round Fluted Above Counter Basin Ceramic In Various Colour,https://www.myhomeware.com.au/products/fluted-above-counter-ceramic-basin-various-colour,$238.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,LK-ORFA400,0.14285714285714285,0.0,0.14285714285714285,7.0
The Blue Space,basins,8,Caroma Urbane II Under Counter Basin,https://www.thebluespace.com.au/collections/bathroom-basins/products/caroma-urbane-ii-under-counter-basin,$326,$593,,"In Stock, In Stock QLD",https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.125,0.0,0.125,8.0
Reece,basins,8,Posh Solus Vanity Basin 525 x 450mm 1 Taphole White,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/posh-solus-vanity-basin-525-x-450mm-1-taphole-9502322,$259.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.125,0.0,0.125,8.0
Highgrove Bathrooms,basins,8,BYRON Bench Mount Basin with Overflow Matte White,https://www.highgrovebathrooms.com.au/product/byron-bench-mount-basin-with-overflow-matte-white/,$269.00,,,,https://www.highgrovebathrooms.com.au/basins/,FL4149-M,0.125,0.0,0.125,8.0
Bunnings,basins,8,CIBO 900mm White Lume Full Height Bathroom Vanity With White Basin,https://www.bunnings.com.au/cibo-900mm-white-lume-full-height-bathroom-vanity-with-white-basin_p0937349,$1335,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,937349.0,0.125,0.0,0.125,8.0
MyHomeware,basins,8,Poseidon-CETO 360x360x115mm Round Bellevue Fluted Above Counter Ceramic Basin In Various Co...,https://www.myhomeware.com.au/products/round-fluted-above-counter-basin-various-colour,$238.00,,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,PD-BEL3636-GW,0.125,0.0,0.125,8.0
The Blue Space,basins,9,ADP Glory 545 x 355 Solid Surface Under Counter Basin White,https://www.thebluespace.com.au/collections/bathroom-basins/products/adp-glory-under-counter-basin,$297,$349,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.1111111111111111,0.0,0.1111111111111111,9.0
Reece,basins,9,Mizu Drift Universal 40mm Dome Pop Up Plug & Waste Gloss White,https://www.reece.com.au/product/bathroom-c544063/basins-c543130/mizu-drift-universal-40mm-dome-pop-up-plug-2299626,$59.00,,,,https://www.reece.com.au/search/bathroom-c544063/basins-c543130?sortBy=POPULARITY&sortDirection=DESCENDING,,0.1111111111111111,0.0,0.1111111111111111,9.0
Highgrove Bathrooms,basins,9,BYRON Bench Mount Basin Matte White,https://www.highgrovebathrooms.com.au/product/byron-bench-mount-basin-matte-white/,$269.00,,,,https://www.highgrovebathrooms.com.au/basins/,MC142-M,0.1111111111111111,0.0,0.1111111111111111,9.0
Bunnings,basins,9,CIBO 900mm White Lume Wall Hung Bathroom Vanity with White Basin,https://www.bunnings.com.au/cibo-900mm-white-lume-wall-hung-bathroom-vanity-with-white-basin_p0937345,$1195,,(0),Special Order,https://www.bunnings.com.au/search/products?q=bathroom+basin&sort=BoostOrder&page=1,937345.0,0.1111111111111111,0.0,0.1111111111111111,9.0
MyHomeware,basins,9,Poseidon 378x378x110mm Bathroom Ceramic Wash Basin Round Above Counter In Various Colour,https://www.myhomeware.com.au/products/round-above-counter-ceramic-basin-various-colour,$257.00,$286.00,,,https://www.myhomeware.com.au/collections/best-selling-collection/basin-products,PD-PA37378MB,0.1111111111111111,0.0,0.1111111111111111,9.0
The Blue Space,basins,10,Timberline Bloom Above Counter Basin White,https://www.thebluespace.com.au/collections/bathroom-basins/products/timberline-bloom-above-counter-basin,$185,$246,,,https://www.thebluespace.com.au/collections/bathroom-basins?sort_by=best-selling,,0.1,0.0,0.1,10.0
