Company Name,Company Website URL,BrightonSEO Event Sponsored,Contact Full Name,Accurate Job Title,LinkedIn Profile URL of the Contact
Acolad,https://www.acolad.com,April 2024,Maria Sousa,Global Marketing Director,https://www.linkedin.com/in/mariabsousa/
Advanced Web Ranking (Caphyon),https://www.advancedwebranking.com,April 2024,Philip Petrescu,CEO & Co-Founder,https://www.linkedin.com/in/philipawr/
Ahrefs,https://ahrefs.com,April 2024,Tim Soulo,Chief Marketing Officer,https://www.linkedin.com/in/timsoulo/
Analytics (GMBapi),https://gmbapi.com,April 2024,Michel van Luijtelaar,Co-founder,https://www.linkedin.com/in/michelvanluijtelaar/
Authority Builders Co,https://authority.builders,April 2024,Matt Diggity,Founder & CEO,https://www.linkedin.com/in/mattdiggityseo/
Bazoom,https://bazoom.com,April 2024,Nicolai Klausen,Founder / President,https://www.linkedin.com/in/nicolaiklausen88/
Botify,https://www.botify.com,April 2024,Robert Rothschild,Chief Marketing Officer,https://www.linkedin.com/in/robertrothschild/
Brandconn,https://www.brandconn.com,April 2024,Ratnesh Dubey,Director,https://www.linkedin.com/in/ratneshdubey/
BrightLocal,https://www.brightlocal.com,April 2024,Andy Houstoun,Chief Commercial Officer,https://www.linkedin.com/in/andyhoustoun/
BuzzStream,https://www.buzzstream.com,April 2024,Vince Nero,Director of Content Marketing,https://www.linkedin.com/in/vinnero/
Connective3,https://www.connective3.com,April 2024,Charlie Harris,Chief Marketing Officer,https://www.linkedin.com/in/charlie-harris-a8100160/
Contadu,https://contadu.com,April 2024,Paweł Sokołowski,Co-Founder & CEO,https://www.linkedin.com/in/pawel-sokolowski-content-intelligence/
Content Epic,https://www.contentepic.com,April 2024,James Alexander Smith,Director,N/A
Conductor,https://www.conductor.com,April 2024,Lindsay Boyajian Hagan,"VP, Global Marketing",https://www.linkedin.com/in/lindsayboyajian/
Croud,https://croud.com,April 2024,Dani Jordan,Chief Marketing & Integration Officer,https://www.linkedin.com/in/dani-jordan-0b95811a/
Delante,https://delante.co,April 2024,Mateusz (Matt) Calik,CEO,https://www.linkedin.com/in/matcal/
DemandSphere,https://www.demandsphere.com,April 2024,Ray Grieselhuber,Founder & CEO,https://www.linkedin.com/in/raygrieselhuber/
Diginius,https://www.diginius.com,April 2024,Nate Burke,Founder & CEO,https://www.linkedin.com/in/nate-burke-77a4104/
Dragon Metrics,https://www.dragonmetrics.com,April 2024,Sarah Pokorná,Digital Marketing Director,https://www.linkedin.com/in/sarah-pokorna/
Fat Joe,https://fatjoe.com,April 2024,Joe Taylor,Co-Founder,https://www.linkedin.com/in/joettaylor/
GA Agency,https://ga.agency,April 2024,Guido Ampollini,Founder & CEO,https://www.linkedin.com/in/guidoampollini/
Generate Leads Online,https://generateleadsonline.co.uk,April 2024,John Parnell,Founder & Managing Director,https://www.linkedin.com/in/johnphilipparnell/
Incubeta,https://incubeta.com,April 2024,Lisa Morton,Group Marketing Director,https://www.linkedin.com/in/lisa-morton/
InLinks,https://inlinks.net,April 2024,Dixon Jones,CEO & Co-Founder,https://www.linkedin.com/in/dixonjones/
Internet República,https://internetrepublica.com,April 2024,Ismael El-Qudsi,CEO,https://www.linkedin.com/in/elqudsi/
Into the Marketing,https://en.intothemarketing.com,April 2024,Jesús Alfaro Aguado,Co-Founder & CMO,https://www.linkedin.com/in/jalfagu/
JBH,https://www.jbh.co.uk,April 2024,Jane Hunt,Co-Founder & Director,https://www.linkedin.com/in/jane-hunt-jbh/
KINESSO,https://www.kinesso.com,April 2024,Jarrod Martin,Global CEO,https://www.linkedin.com/in/jarrod-martin-b2b6a7b/
Link Building HQ,https://www.linkbuildinghq.com,April 2024,Ahsan Mustafa,CEO,https://www.linkedin.com/in/ahsan-mustafa-11841522/
Linkhouse,https://linkhouse.pl,April 2024,Damian Kozłowski,CMO,https://www.linkedin.com/in/damian-kozlowski-pl/
Lumar (formerly Deepcrawl),https://www.lumar.io,April 2024,Andrew Levey,Head of Product Marketing,https://www.linkedin.com/in/andrewlevey/
Lunio,https://www.lunio.ai,April 2024,Neil Andrew,Co-Founder & CEO,https://www.linkedin.com/in/nmandrew/
Majestic,https://majestic.com,April 2024,Alex Chudnovsky,Managing Director,N/A
Mindshare,https://www.mindshareworld.com,April 2024,Adam Gerhart,Global CEO,https://www.linkedin.com/in/adam-gerhart-0102b11/
Monday Clicks,https://mondayclicks.co.uk/,April 2024,Abbie Dando,Founder & Strategy Director,https://www.linkedin.com/in/abbiedando/
Moz,https://moz.com,April 2024,Christina Mautz,Chief Marketing Officer,https://www.linkedin.com/in/christinamautz/
ObservePoint,https://www.observepoint.com,April 2024,John Pestana,CEO & Co-Founder,https://www.linkedin.com/in/johnpestana/
Oncrawl,https://www.oncrawl.com,April 2024,François Goube,Founder & CEO,https://www.linkedin.com/in/francoisgoube/
Ontranslation,https://www.ontranslation.com,April 2024,Óscar Nogueras,CEO,N/A
Pixel,https://pixel.se,April 2024,Henrik Vikström,Founder & CEO,https://www.linkedin.com/in/henrik-vikstr%C3%B6m/
Press Loft,https://www.pressloft.com,April 2024,Nikki (Nicola) Snell,Founder & CEO,https://www.linkedin.com/in/nikki-snell-1630871/
RE:SIGNAL,https://resignal.com,April 2024,Kevin Gibbons,CEO & Co-Founder,https://www.linkedin.com/in/kevingibbons/
Reflect Digital,https://www.reflectdigital.co.uk,April 2024,Chantel Jordan,Marketing Director,https://www.linkedin.com/in/chantelpiper/
Reputation,https://www.reputation.com,April 2024,Liz Carter,Chief Marketing Officer,https://www.linkedin.com/in/liz-carter-a9842a2/
RocketLinks,https://www.rocketlinks.com,April 2024,Dina Ranarison,Marketing & Communication Manager,https://www.linkedin.com/in/dina-ranarison-3b31a1b1/
Screaming Frog,https://www.screamingfrog.co.uk,April 2024,Mark Porter,Head of Marketing,https://www.linkedin.com/in/mcporter/
Search Engine Journal,https://www.searchenginejournal.com,April 2024,Jenise Uehara Henrikson,CEO,https://www.linkedin.com/in/jeniseueharahenrikson/
Search Magic,https://searchmagic.co.uk,April 2024,Anna Moragli,Founder & SEO Consultant,https://www.linkedin.com/in/anna-moragli/
SearchPilot,https://www.searchpilot.com,April 2024,Will Critchlow,Founder & CEO,https://www.linkedin.com/in/willcritchlow/
SE Ranking,https://seranking.com,April 2024,Bogdan Babyak,Chief Marketing Officer,https://www.linkedin.com/in/bogdan-babiak/
Seeker,https://seeker.digital,April 2024,Gareth Simpson,Founder & Innovation Director,https://www.linkedin.com/in/simpsongareth/
