Business Name,Phone Number,Email Address,City,Suburb/Locality,Metro Area,State,ZIP Code,Business Type,Website URL,LinkedIn URL,Source URL(s),Source Platform,Last Verified Date,Contact Name,Email Type,Notes
"Wade & Company, LLP",+1 713-622-3900,taxservices@wadecocpa.com,Houston,,Houston,TX,77056,CPA Firm,https://www.wadecocpa.com/,https://www.linkedin.com/company/wade-&-company-llp,https://www.wadecocpa.com/contact,Company Website,2025-10-14,,Company/Generic,
"Weinstein Spira & Company, P.C.",+1 713-622-7000,email@weinsteinspira.com,Houston,,Houston,TX,77046,Accounting Firm,https://www.weinsteinspira.com/,https://www.linkedin.com/company/weinstein-spira-%26-company,https://www.weinsteinspira.com/contact/; https://www.weinsteinspira.com/businesses/services/tax-services/,Company Website,2025-10-14,,Company/Generic,
Robert W Lawrence CPA PLLC,+1 281-980-3050,rlandinger@rwlcpa.com,Sugar Land,Sugar Land,Houston,TX,77479,CPA Firm,https://rwlcpa.com/,https://www.linkedin.com/company/robert-w.-lawrence-cpa,https://rwlcpa.com/contact.php,Company Website,2025-10-14,,Person/Professional,
Keller & Sadler CPAs,+1 281-392-5744,steves@kellerandsadlercpas.com,Katy,Katy,Houston,TX,77494,CPA Firm,https://www.kellerandsadlercpas.com/,,https://www.kellerandsadlercpas.com/contact.php,Company Website,2025-10-14,Stephen W. Sadler,Person/Professional,
Kirk CPA Firm PLLC,+1 281-371-6675,admin@kirkcpafirm.com,Houston,,Houston,TX,,CPA Firm,https://kirkcpafirm.com/,,https://kirkcpafirm.com/contact-us,Company Website,2025-10-14,,Company/Generic,
Saleem Lakhani CPA PLLC,+1 713-364-9786,info@slakcpa.com,Sugar Land,Sugar Land,Houston,TX,77478,CPA Firm,https://www.slakcpa.com/,https://www.linkedin.com/company/saleem-lakhani-cpa-pllc,https://www.slakcpa.com/contact.php,Company Website,2025-10-14,,Company/Generic,
"Brunet, Wolfe & Company, CPAs",+1 281-391-5220,info@bwpcpas.com,Katy,Katy,Houston,TX,77494,CPA Firm,https://www.bwpcpas.com/,https://www.linkedin.com/company/brunet-wolfe-&-pedlar-cpas,https://www.bwpcpas.com/contact.php,Company Website,2025-10-14,,Company/Generic,
Finch CPA Firm,+1 281-379-1040,admin@finchcpafirm.com,Spring,Spring,Houston,TX,77379,CPA Firm,https://www.finchcpafirm.com/,https://www.linkedin.com/company/finch-cpa-firm,https://www.finchcpafirm.com/contact.htm,Company Website,2025-10-14,,Company/Generic,
"Robertson & Robertson, PLLC",+1 713-953-1040,info@cparobertson.com,Houston,,Houston,TX,77042,Accounting Firm,https://www.cparobertson.com/,https://www.linkedin.com/company/robertson-&-robertson-pllc,https://www.cparobertson.com/contact,Company Website,2025-10-14,,Company/Generic,
"Moderhak and Associates, P.C. (Lone Star CPAs)",+1 713-541-6900,acct@lonestarcpas.com,Sugar Land,Sugar Land,Houston,TX,77478,CPA Firm,https://www.lonestarcpas.com/,https://www.linkedin.com/company/lonestarcpas,https://www.lonestarcpas.com/contact.htm,Company Website,2025-10-14,,Company/Generic,
"Gray & Brightman CPAs, PLLC",+1 281-712-5013,admin@graybrightmancpaspllc.com,Katy,Katy,Houston,TX,77494,CPA Firm,https://www.graybrightmancpaspllc.com/,https://www.linkedin.com/company/gray-brightman-cpas-pllc,https://www.graybrightmancpaspllc.com/,Company Website,2025-10-14,,Company/Generic,Phone and email from site footer/contact section
"John H. Somerville, CPA",+1 713-944-0220,john@jhsomervillecpa.com,Houston,,Houston,TX,77061,CPA Firm,https://www.jhsomervillecpa.com/,https://www.linkedin.com/company/john-h-somerville-cpa,https://www.jhsomervillecpa.com/contact.php,Company Website,2025-10-14,John H. Somerville,Person/Professional,
"German & Cohn, P.C.",+1 713-622-1098,mark@mgermancpa.com,Houston,,Houston,TX,77007,CPA Firm,https://www.mgermancpa.com/,https://www.linkedin.com/company/german-&-cohn-p.c.,https://www.mgermancpa.com/contact.php,Company Website,2025-10-14,Mark German,Person/Professional,
