Restaurant Name,Website URL,Burger Price,Cheapest Beer Price
Goiko Grill,https://www.goiko.com,"12,90 €","3,40 €"
Mad Grill,https://madrestaurants.com,"10,50 €","3,70 €"
Juancho’s BBQ,https://juanchosbbq.com,"15,90 €",N/A
New York Burger,https://newyorkburger.es,"14,95 €","3,30 €"
Alfredo’s Barbacoa,https://alfredos-barbacoa.es,"10,55 €","2,95 €"
Burnout Burger,https://burnout.es,"8,90 €","3,00 €"
SteakBurger,https://steakburger.es,"14,90 €","2,50 €"
Bentley’s Burger,https://bentleysburger.es,"12,95 €","1,80 €"
Five Guys (Gran Vía),https://fiveguys.es,"10,00 €",N/A
La H es Muda,https://lahesmuda.com,"9,00 €",N/A
Bacoa,https://bacoaburger.com,"12,00 €","2,00 €"
Timesburg,https://timesburg.com,"9,00 €",N/A
Oval,https://ovalbarcelona.com,"7,50 €","2,50 €"
Santa Burg,https://santaburg.com,"11,00 €","3,00 €"
Big Al’s American Kitchen,https://bigalskitchen.com,"12,95 €","4,50 €"
Copa Montjuïc Burger Bar,https://copamontjuic.es,"12,50 €",N/A
National Burger Co.,https://nationalburger.es,"10,00 €",N/A
Vicio,https://vicio.com,"9,90 €",N/A
La Central Burger,https://lacentralburger.com,"11,50 €","2,80 €"
Hundred Burgers,https://hundredburgers.com,"12,00 €",N/A
The Black Turtle,https://theblackturtle.es,"13,50 €",N/A
Jenkin’s,https://jenkins.es,"14,90 €","2,50 €"
Gobu Burger,https://gobuburger.com,"14,50 €","3,00 €"
Goiko (València),https://goiko.com,"9,90 €","2,90 €"
Five Guys (Colón),https://fiveguys.es,"9,95 €",N/A
Burguett,https://burguett.com,"11,00 €","2,50 €"
La Santa,https://lasanta.es,"12,50 €","2,90 €"
Tribeca Burger Grill,https://restaurantetribeca.com,"13,10 €",N/A
Hard Rock Cafe Seville,https://hardrockcafe.com/location/seville,"18,95 €","4,50 €"
Goiko (Seville),https://goiko.com,"8,90 €","3,40 €"
Tipula,https://tipula.es,"9,50 €","2,50 €"
Hamburguesería Kobetas,https://kobetas.es,"10,50 €","2,20 €"
La Brasa Canalla,https://labrasa.es,"11,20 €",N/A
Baskian Street Burger,https://baskianburger.com,"13,00 €","2,00 €"
La Calle Burger,https://lacalleburger.com,"10,95 €",N/A
Black Label Urban Grill,https://blacklabelurbangrill.com,"14,90 €","2,80 €"
The Burger Factory,https://theburgerfactory.es,"11,00 €",N/A
Angus Brgr,https://angusmalaga.com,"12,50 €",N/A
Goiko (Málaga),https://goiko.com,"11,90 €","3,40 €"
Nola Smoke,https://nolasmoke.es,"10,90 €","2,50 €"
La Pepita Burger Bar,https://lapepitaburgerbar.com,"12,00 €","3,50 €"
Hamburguesería 17.56,https://1756restaurante.com,"11,50 €",N/A
Burger Lab,https://burgerlabpalma.com,"10,00 €","2,60 €"
Badal Corner,https://badalcorner.com,"12,00 €","3,00 €"
The Boat House,https://boathousepalmamallorca.com,"14,00 €","4,00 €"
The Good Burger (Palma),https://thegoodburger.com,"8,95 €",N/A
The Good Burger (Alicante),https://thegoodburger.com,"7,50 €",N/A
Tribeca Music Bar,https://tribecamusicbar.com,"12,00 €","3,50 €"
Vicio (Alicante),https://vicio.com,"9,90 €",N/A
Vizio Smash Burgers,https://vicio.com,"9,90 €",N/A
