Week,Segment,Count,Category
1,EF,2,Enterprise
1,EM,1,Enterprise
1,ER,1,Enterprise
1,SS,1,SMB
1,SE,1,SMB
1,SC,1,SMB
1,ST,1,SMB
2,ER,1,Enterprise
2,EH,1,Enterprise
2,EF,1,Enterprise
2,EM,1,Enterprise
2,ST,1,SMB
2,SE,1,SMB
2,SS,1,SMB
2,SC,1,SMB
3,ER,1,Enterprise
3,EH,1,Enterprise
3,EM,1,Enterprise
3,EF,1,Enterprise
3,SE,1,SMB
3,SC,1,SMB
3,ST,1,SMB
3,SS,1,SMB
4,ER,2,Enterprise
4,EM,2,Enterprise
4,SS,1,SMB
4,ST,1,SMB
4,SE,1,SMB
4,SC,1,SMB
5,EF,1,Enterprise
5,EH,2,Enterprise
5,EM,1,Enterprise
5,SE,1,SMB
5,SC,1,SMB
5,ST,1,SMB
5,SS,1,SMB
6,EH,1,Enterprise
6,ER,1,Enterprise
6,EF,1,Enterprise
6,EM,1,Enterprise
6,SS,1,SMB
6,ST,2,SMB
6,SC,1,SMB
7,EH,2,Enterprise
7,EM,1,Enterprise
7,ER,1,Enterprise
7,EF,1,Enterprise
7,ST,1,SMB
7,SS,1,SMB
7,SE,1,SMB
8,EF,1,Enterprise
8,ER,1,Enterprise
8,EH,1,Enterprise
8,SC,2,SMB
8,SE,2,SMB
8,SS,1,SMB
