Country,Date (YYYY-MM-DD),New Cases,New Deaths,Total Vaccinations,Stringency Index
Australia,2022-01-01,0.0,17.0,,47.16
Australia,2022-01-02,289614.0,20.0,42768270.0,47.15
Australia,2022-01-03,0.0,18.0,42812691.0,47.15
Australia,2022-01-04,0.0,18.0,43024593.0,47.13
Australia,2022-01-05,0.0,25.0,43286155.0,47.12
Australia,2022-01-06,0.0,23.0,43558448.0,52.67
Australia,2022-01-07,0.0,36.0,43823668.0,52.66
Australia,2022-01-08,0.0,50.0,43987111.0,52.65
Australia,2022-01-09,588813.0,49.0,44086608.0,52.65
Australia,2022-01-10,0.0,40.0,44374463.0,52.63
Australia,2022-01-11,0.0,54.0,44700720.0,47.06
Australia,2022-01-12,0.0,56.0,45045755.0,47.05
Australia,2022-01-13,0.0,70.0,45391353.0,52.6
Australia,2022-01-14,0.0,76.0,45729166.0,52.59
Australia,2022-01-15,0.0,68.0,45919637.0,52.59
Australia,2022-01-16,462325.0,76.0,46034466.0,52.59
Australia,2022-01-17,0.0,93.0,46361913.0,52.58
Australia,2022-01-18,0.0,87.0,46682438.0,52.57
Australia,2022-01-19,0.0,76.0,47013624.0,52.56
Australia,2022-01-20,0.0,91.0,47364850.0,52.56
Australia,2022-01-21,0.0,114.0,47698880.0,52.55
Australia,2022-01-22,0.0,101.0,47889638.0,55.32
Australia,2022-01-23,347960.0,98.0,48010195.0,55.32
Australia,2022-01-24,0.0,88.0,48330551.0,55.31
Australia,2022-01-25,0.0,111.0,48651936.0,55.3
Australia,2022-01-26,0.0,93.0,48734111.0,55.3
Australia,2022-01-27,0.0,89.0,49037474.0,55.29
Australia,2022-01-28,0.0,107.0,49343894.0,55.28
Australia,2022-01-29,0.0,94.0,49516636.0,55.28
Australia,2022-01-30,267817.0,88.0,49607239.0,46.82
Australia,2022-01-31,0.0,87.0,49866290.0,46.81
Australia,2022-02-01,0.0,101.0,50132340.0,46.8
Australia,2022-02-02,0.0,74.0,50400541.0,46.79
Australia,2022-02-03,0.0,86.0,50653287.0,46.78
Australia,2022-02-04,0.0,94.0,50900072.0,46.77
Australia,2022-02-05,0.0,77.0,51027861.0,46.76
Australia,2022-02-06,201112.0,62.0,51098236.0,46.76
Australia,2022-02-07,0.0,66.0,51313905.0,46.75
Australia,2022-02-08,0.0,64.0,51533463.0,46.74
Australia,2022-02-09,0.0,77.0,51747277.0,46.73
Australia,2022-02-10,0.0,60.0,51948284.0,46.72
Australia,2022-02-11,0.0,53.0,52150693.0,46.71
Australia,2022-02-12,0.0,64.0,52258992.0,46.71
Australia,2022-02-13,171754.0,52.0,52308370.0,37.6
Australia,2022-02-14,0.0,54.0,52474947.0,37.59
Australia,2022-02-15,0.0,47.0,52635184.0,37.58
Australia,2022-02-16,0.0,40.0,52791256.0,37.58
Australia,2022-02-17,0.0,43.0,52941505.0,37.57
Australia,2022-02-18,0.0,50.0,53096563.0,37.56
Australia,2022-02-19,0.0,54.0,53183572.0,37.55
Australia,2022-02-20,160429.0,36.0,53224792.0,37.55
Australia,2022-02-21,0.0,31.0,53365398.0,35.37
Australia,2022-02-22,0.0,25.0,53497461.0,35.37
Australia,2022-02-23,0.0,43.0,53621446.0,35.36
Australia,2022-02-24,0.0,46.0,53744582.0,35.35
Australia,2022-02-25,0.0,32.0,53866202.0,35.34
Australia,2022-02-26,0.0,41.0,53932803.0,35.34
