Name of Organization,Website,Contact Name and Title,Email,Phone,Address,Notes
South Texas Community Living (ICL Texas – McAllen),https://icltexas.com/locations/mcallen/,Javier Hinojosa – Program Manager,listening@icl-texas.com,(844) 854-3278,"913 E Esperanza Ave Suite A, McAllen, TX",Lead Type: HCS/ICF provider – verified from ICL Texas official site
Texas HCS (affiliated with ICL Texas – McAllen),https://icltexas.com/companies/hcs/,Program Office – Team,listening@icl-texas.com,(844) 854-3278,"913 E Esperanza Ave Suite A, McAllen, TX",Lead Type: HCS provider – same campus as ICL Texas McAllen; Role-based placeholder – Team contact
Coastal Bend Center for Independent Living (Rio Grande Valley Office),https://cbcil.org/locations/mcallen-office/,Laura Reyna – Relocation Specialist,info@cbcil.org,(956) 975-1572,"815 E Nebraska Rd, Alamo, TX",Lead Type: Independent living support – verified via CBCIL official site
The Bridges at Edinburg,https://thebridgesatedinburg.com/,Community Administrator – Team,thebridgesatedinburg@gmail.com,(956) 782-9882,"5208 S Sugar Rd, Edinburg, TX",Lead Type: Assisted living – verified via official site; Role-based placeholder – Team contact
The Bridges at Mission,https://thebridgesatmission.com/,Community Administrator – Team,thebridgesatmission@gmail.com,(956) 519-9800,"1201 St Claire, Mission, TX",Lead Type: Assisted living – verified via official site; Role-based placeholder – Team contact
Brook Ridge Retirement Community (Independent Living – Pharr),https://www.sunshineretirementliving.com/pharr-retirement-living-brook-ridge/,Elsa Rios – Executive Director,brookridge@sunshineretirement.com,(956) 787-3933,"1301 W Ridge Rd, Pharr, TX",Lead Type: Independent senior living – verified via Sunshine Retirement Living site
Heritage Village (Independent Living – McAllen),https://www.holidayseniorliving.com/retirement-communities/holiday-heritage-village-mcallen-tx/,A. Carillo – Community Director,acarillo@wls-inc.com,(956) 403-6146,"2105 S Cynthia St, McAllen, TX",Lead Type: Independent senior living – verified via Holiday Senior Living
John Knox Village of the Rio Grande Valley (Weslaco),https://johnknoxvillagergv.com/,Admissions – Info Desk,info@johnknoxvillagergv.com,(956) 968-4575,"1300 S Border Ave, Weslaco, TX",Lead Type: Continuing care retirement community – verified via John Knox official site; Role-based placeholder – Team contact
Affordable Homes of South Texas Inc. (AHSTI),https://www.ahsti.org/,Myra L. Martinez – Executive Vice President,info@ahsti.org,(956) 687-6263,"1420 Erie Ave, McAllen, TX",Lead Type: Affordable housing nonprofit – verified via AHSTI site
Hidalgo County Urban County Program (Housing resources),https://www.hidalgocounty.us/618/Urban-County-Program,Program Director – Team,ucp@co.hidalgo.tx.us,(956) 787-8127,"1916 Tesoro Street, Pharr, TX",Lead Type: County housing assistance program – verified via Hidalgo County site; Role-based placeholder – Team contact
Tropical Texas Behavioral Health – IDD Services (Hidalgo County),https://www.ttbh.org/mental-health-services/intellectual-and-developmental-disability-services,IDD Intake Coordinator – Team,Cfuerte@ttbh.org,(956) 289-7000,"5501 S McColl Rd, Edinburg, TX",Lead Type: IDD services provider – verified via TTBH site; Role-based placeholder – Team contact
San Juan Village (VOA – Senior Housing),https://www.voans.org/locations/san-juan-village/,Administrator – Team,sanjuanvillage@voatx.org,(956) 585-2036,"400 N Iowa Ave, San Juan, TX",Lead Type: Senior housing – verified via VOA official site; Role-based placeholder – Team contact
Delta Independent Living LLC (Weslaco),https://aging.networkofcare.org/lrgv-tx/services/agency?pid=DeltaIndependentLivingLLC_984_1_0,Administrator – Team,delta_independent_living@yahoo.com,(956) 968-8700,"1125 James St Ste E, Weslaco, TX",Lead Type: Supported living provider – verified via Network of Care and NPI directory; Role-based placeholder – Team contact
"Casa De Amigos II","https://advrgv.org/","Norma J. Moreno – Hsg. Proj. Mgr.","casa2@advrgv.org","(956) 687-6202","1100 E. Dallas Ave, McAllen, TX 78501","Lead Type: Senior Apartments/Affordable. Source: https://advrgv.org/ Verified Section 202 property in McAllen. Targets independent elderly residents."
"Casa De Amigos VI","https://advrgv.org/","Mary Garza – Hsg. Mgmt. Mgr.","casa6@advrgv.org","(956) 783-1145","200 E. Helmer Street, Pharr, TX 78577","Lead Type: Senior Apartments/Affordable. Source: https://advrgv.org/ Verified Section 202 property in Pharr. Non-profit focus on independent elderly support."
"Villas De Arnaldo Ramirez (Casa IX)","https://advrgv.org/","Fabiola Ramirez – Hsg. Proj. Mgr.","casa9@advrgv.org","(956) 584-2888","1303 Matamoros Street, Mission, TX 78572","Lead Type: Senior Apartments/Affordable. Source: https://advrgv.org/ Verified Section 202 property in Mission. Targets independent, low-income seniors."
"Bella Vista Apartments (811 PRA)","https://www.bellavistaalton.com/","Leasing Office Manager","BellaVista@AssetLiving.com","(956) 600-7730","815 N. Shary Road, Alton, TX 78573","Lead Type: Senior Apartments/Affordable. Source: https://www.bellavistaalton.com/ TDHCA Section 811 PRA property."
"Silver Spur Apartments (811 PRA)","https://www.tejashousing.com/silver-spur/","Leasing Office Manager","Silverspur@assetliving.com","(956) 766-7383","311 Silver Spur Lane, Palmview, TX 78572","Lead Type: Senior Apartments/Affordable. Source: https://www.tejashousing.com/silver-spur/ TDHCA Section 811 PRA property. Suitable for shared living."
"PMI RGV (Property Management Inc.)","https://www.mcallenpropertymanagementinc.com/","Gustavo – General Manager","gustavo@propertymanagementinc.com","(956) 790-0011","1001 S 10th St Ste 200, McAllen, TX 78501","Lead Type: Property Management (non-subsidized/informal shared rentals). Source: https://www.mcallenpropertymanagementinc.com/"
The Gardens at Brook Ridge (Assisted & Memory Care – Pharr),https://www.assistedliving.org/texas/pharr/the-gardens-at-brook-ridge-assisted-living-and-memory-care/,Community Administrator – Team,Use the website contact form or call,(956) 685-1520,"1201 W Ridge Rd, Pharr, TX",Lead Type: Assisted/memory care – verified via AssistedLiving.org; Role-based placeholder – Team contact
La Stella Independent Senior Living (Edinburg),https://www.livelastellasenior.com/,Leasing Manager – Team,Use the website contact form or call,(956) 781-2000,"5215 S Raul Longoria Rd, Edinburg, TX",Lead Type: Independent senior apartments – verified via official site; Role-based placeholder – Team contact
Mission Palms Apartments (Senior apartments – Mission),https://rhf.org/mission-palms/,Property Manager – Team,Use the website contact form or call,(956) 585-2036,"900 N Los Ebanos Rd, Mission, TX",Lead Type: Senior housing – verified via RHF site; Role-based placeholder – Team contact
Taylor Senior Village (Mission),https://www.taylorseniorvillage.com/,Leasing Manager – Team,Use the website contact form or call,(956) 682-4484,"1617 N Taylor Road, Mission, TX",Lead Type: Senior apartments – verified via official site; Role-based placeholder – Team contact
Lifetime Living Inc. (McAllen Admin Office),https://www.lifetimelivinginc.com/,Admin Office Manager – Team,Use the website contact form or call,(956) 687-8463,"3504 Buddy Owens, McAllen, TX",Lead Type: IDD provider – verified via official site; Role-based placeholder – Team contact
Lifetime Living Inc. – ISS (McAllen Ware Rd),https://www.lifetimelivinginc.com/,ISS Site Manager – Team,Use the website contact form or call,(956) 683-1085,"705 N Ware Rd, McAllen, TX",Lead Type: ISS day habilitation site – verified via official site; Role-based placeholder – Team contact; Location distinction: Ware Rd
Lifetime Living Inc. – ISS (McAllen Sugar Rd),https://www.lifetimelivinginc.com/,ISS Site Manager – Team,Use the website contact form or call,(956) 283-9055,"3206 S Sugar Rd, McAllen, TX",Lead Type: ISS day habilitation site – verified via official site; Role-based placeholder – Team contact; Location distinction: Sugar Rd
