No,Firma,City,HQ City,HQ State,Google R Star,Google R Count,Google Maps Search URL
1,Deloitte (US),"New York, NY",New York,NY,4.1,125,"https://www.google.com/maps/search/Deloitte+(US)+New+York,+NY"
2,PwC (PricewaterhouseCoopers US),"New York, NY",New York,NY,4.3,89,"https://www.google.com/maps/search/PwC+(PricewaterhouseCoopers+US)+New+York,+NY"
3,EY (Ernst & Young US),"New York, NY",New York,NY,4.2,67,"https://www.google.com/maps/search/EY+(Ernst+&+Young+US)+New+York,+NY"
4,KPMG (US),"New York, NY",New York,NY,4,54,"https://www.google.com/maps/search/KPMG+(US)+New+York,+NY"
5,RSM US LLP,"Chicago, IL",Chicago,IL,4.4,142,"https://www.google.com/maps/search/RSM+US+LLP+Chicago,+IL"
6,BDO USA,"Chicago, IL",Chicago,IL,4.2,78,"https://www.google.com/maps/search/BDO+USA+Chicago,+IL"
7,Grant Thornton LLP,"Chicago, IL",Chicago,IL,4.1,91,"https://www.google.com/maps/search/Grant+Thornton+LLP+Chicago,+IL"
8,Crowe LLP,"Chicago, IL",Chicago,IL,4.3,113,"https://www.google.com/maps/search/Crowe+LLP+Chicago,+IL"
9,Baker Tilly US,"Chicago, IL",Chicago,IL,4.2,76,"https://www.google.com/maps/search/Baker+Tilly+US+Chicago,+IL"
10,CliftonLarsonAllen (CLA),"Minneapolis, MN",Minneapolis,MN,4.5,167,"https://www.google.com/maps/search/CliftonLarsonAllen+(CLA)+Minneapolis,+MN"
11,Plante Moran,"Southfield, MI (Detroit area)",Southfield,MI,4.4,98,"https://www.google.com/maps/search/Plante+Moran+Southfield,+MI+(Detroit+area)"
12,Moss Adams LLP,"Seattle, WA",Seattle,WA,4.3,82,"https://www.google.com/maps/search/Moss+Adams+LLP+Seattle,+WA"
13,Marcum LLP,"New York, NY",New York,NY,4.1,45,"https://www.google.com/maps/search/Marcum+LLP+New+York,+NY"
14,EisnerAmper LLP,"New York, NY",New York,NY,4.2,61,"https://www.google.com/maps/search/EisnerAmper+LLP+New+York,+NY"
15,"CBIZ, Inc. / MHM (accounting affiliate)","Cleveland, OH",Independence,OH,4,73,"https://www.google.com/maps/search/CBIZ,+Inc.+/+MHM+(accounting+affiliate)+Cleveland,+OH"
16,Armanino LLP,"San Ramon, CA (Bay Area)",San Ramon,CA,4.6,124,"https://www.google.com/maps/search/Armanino+LLP+San+Ramon,+CA+(Bay+Area)"
17,Cherry Bekaert LLP,"Richmond, VA",Raleigh,NC,4.3,58,"https://www.google.com/maps/search/Cherry+Bekaert+LLP+Richmond,+VA"
18,Withum (WithumSmith+Brown),"Princeton, NJ",Princeton,NJ,4.4,79,"https://www.google.com/maps/search/Withum+(WithumSmith+Brown)+Princeton,+NJ"
19,UHY US (UHY LLP / UHY Advisors),"New York, NY",Farmington Hills,MI,4.1,52,"https://www.google.com/maps/search/UHY+US+(UHY+LLP+/+UHY+Advisors)+New+York,+NY"
20,"Carr, Riggs & Ingram (CRI)","Enterprise / Birmingham area, AL",Enterprise,AL,4.5,86,"https://www.google.com/maps/search/Carr,+Riggs+&+Ingram+(CRI)+Enterprise+/+Birmingham+area,+AL"
