Product title,Product URL,Number of “Related Video Shorts”,Number of reviews,Price,Meets Optional Criteria? (Y/N)
"Apple AirPods Pro (2nd Gen) Wireless Earbuds, Up to 2X More Active Noise Cancelling, Adaptive Transparency, Personalized Spatial Audio MagSafe Charging Case (Lightning) Bluetooth Headphones for iPhone",https://www.amazon.com/Apple-Generation-Cancelling-Transparency-Personalized/dp/B0BDHWDR12,0,"57,561",$227.47,Y
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",https://www.amazon.com/Apple-Generation-Cancelling-Transparency-Personalized/dp/B0CHWRXH8B,0,"27,485",$197.99,Y
"Amazon Kindle Paperwhite 16GB (newest model) – Our fastest Kindle ever, with new 7"" glare-free display and weeks of battery life – Black",https://www.amazon.com/All-new-Amazon-Kindle-Paperwhite-glare-free/dp/B0CFPJYX7P,0,"12,531",$159.99,Y
"Sony WH-1000XM5 Premium Noise Canceling Headphones, Auto NC Optimizer, 30-Hour Battery, Alexa Voice Control, Black",https://www.amazon.com/Sony-WH-1000XM5-Canceling-Headphones-Hands-Free/dp/B09XS7JWHH,5,"18,091",$398.00,Y
Bose QuietComfort 45 Bluetooth Wireless Noise Cancelling Headphones - Triple Black,https://www.amazon.com/Bose-QuietComfort-45-Bluetooth-Canceling-Headphones/dp/B098FKXT8L,5,"16,974",$159.99,Y
"JBL Flip 6 - Portable Bluetooth Speaker, powerful sound and deep bass, IPX7 waterproof, 12 hours of playtime, JBL PartyBoost for multiple speaker pairing for home, outdoor and travel (Black)",https://www.amazon.com/JBL-Flip-Bluetooth-Waterproof-PartyBoost/dp/B09GJVTRNZ,5,"21,945",$129.95,Y
"Ninja | Air Fryer | 4 QT Capacity | 4-in1 Roast, Crisp, Roast, Reheats, & Dehydrates | Dishwasher Safe Parts | Includes 20 Easy & Healthy Recipes | Compact | Grey | AF101",https://www.amazon.com/Ninja-AF101-Fryer-Black-gray/dp/B07FDJMC9Q,5,"64,249",$79.99,Y
"Instant Pot Duo 7-in-1 Electric Pressure Cooker, Slow Cooker, Rice, Steamer, Sauté, Yogurt Maker, Warmer & Sterilizer, Includes App With Over 800 Recipes, Stainless Steel, 6 Quart",https://www.amazon.com/Instant-Pot-Multi-Use-Programmable-Pressure/dp/B00FLYWNYQ,5,"1,79,910",$99.99,Y
"Dyson V15 Detect Cordless Vacuum Cleaner, Multicolor",https://www.amazon.com/Dyson-Detect-Cordless-Vacuum-Yellow/dp/B0979R48CX,0,"2,665",$697.00,Y
"KitchenAid Artisan Series 5 Quart Tilt Head Stand Mixer with Pouring Shield KSM150PS, Aqua Sky",https://www.amazon.com/KitchenAid-KSM150PSAQ-Artisan-Pouring-Shield/dp/B005PMEHBG,5,"21,756",$379.99,Y
Meta Quest 3 512GB — The Most Powerful Quest — Ultimate Mixed Reality Experiences — Get a 3-Month Trial of Meta Horizon+ Included,https://www.amazon.com/Meta-Quest-512GB-Breakthrough-Reality-3/dp/B0CD1JTBSC,5,"3,839",$499.00,Y
"iRobot Roomba j7+ (7550) Self-Emptying Robot Vacuum – Uses PrecisionVision Navigation to Identify & Avoid Objects Like Socks, Shoes, & Pet Waste, Smart Mapping, Self-Empty for Up to 60 Days",https://www.amazon.com/iRobot-Roomba-Self-Emptying-Robot-Vacuum/dp/B094NYHTMF,5,"8,410",$367.26,Y
"Fitbit Charge 6 Fitness Tracker with Google apps, Heart Rate on Exercise Equipment, 6-Months Premium Membership Included, GPS, Health Tools and More, Obsidian/Black, One Size (S & L Bands Included)",https://www.amazon.com/Fitbit-Exercise-Equipment-6-Months-Membership/dp/B0CC62ZG1M,0,"16,876",$119.95,Y
"Apple AirPods Max Wireless Over-Ear Headphones, Active Noise Cancelling, Transparency Mode, Personalized Spatial Audio, Dolby Atmos, Bluetooth Headphones for iPhone – Space Gray",https://www.amazon.com/New-Apple-AirPods-Max-Space/dp/B08PZHYWJS,0,"8,205",$489.00,Y
"Breville BOV900BSS Smart Oven Air Fryer Pro and Convection Oven, Brushed Stainless Steel",https://www.amazon.com/Breville-BOV900BSS-Convection-Brushed-Stainless/dp/B01N5UPTZS,5,"12,093",$349.95,Y
"Keurig K-Elite Single Serve K-Cup Pod Coffee Maker, with Strength and Temperature Control, Iced Coffee Capability, 8 to 12oz Brew Size, Programmable, Brushed Silver",https://www.amazon.com/Keurig-K-Elite-Strength-Temperature-Capability/dp/B0788F3R8X,5,"67,774",$127.30,Y
"Nespresso Vertuo Next Coffee and Espresso Maker by Breville, Navy",https://www.amazon.com/Nespresso-BNV520NAV1BUC1-Vertuo-Next/dp/B0CFFSNQNT,5,"9,608",$125.99,Y
Nintendo Switch with Neon Blue and Neon Red Joy?Con,https://www.amazon.com/Nintendo-Switch-Neon-Blue-Joy%E2%80%91/dp/B07VGRJDFY,5,"80,781",$298.00,Y
"Logitech MX Master 3S, Black",https://www.amazon.com/Logitech-Master-Performance-Ultra-Fast-Scrolling/dp/B0BS9VVQPD,0,719,$97.99,N
