№,Restaurant,ADDRESS,Phone,Website,Email,Facebook,Instagram,LinkedIn,TikTok,Other Social
1,Restaurant Gordon Ramsay,"68 Royal Hospital Rd, London SW3 4HP",+442073524441,https://www.gordonramsayrestaurants.com/restaurant-gordon-ramsay/,royalhospitalroad@gordonramsay.com,https://www.facebook.com/RestaurantGordonRamsay/,https://www.instagram.com/restaurantgordonramsay/,https://uk.linkedin.com/company/gordon-ramsay-restaurants,N/A,https://x.com/gordonramsaygrr
2,Core by Clare Smyth,"92 Kensington Park Rd, London W11 2PN",+442039375086,https://corebyclaresmyth.com/,info@claresmyth.com,https://www.facebook.com/corebyclaresmyth/,https://www.instagram.com/corebyclaresmyth/,https://www.linkedin.com/company/core-by-clare-smyth/,N/A,N/A
3,The Ledbury,"127 Ledbury Rd, London W11 2AQ",+442077929090,https://www.theledbury.com/,info@theledbury.com,https://www.facebook.com/p/The-Ledbury-100068787433053/,N/A,https://uk.linkedin.com/company/the-ledbury---notting-hill_2,N/A,N/A
4,Alain Ducasse at The Dorchester,"53 Park Ln, London W1K 1QA",+442076298866,https://www.alainducasse-dorchester.com/,alainducassereservations@alainducasse-dorchester.com,https://www.facebook.com/alainducasseatthedorchester/,https://www.instagram.com/alainducasseatthedorchester/,https://za.linkedin.com/company/alain-ducasse-at-dorchester,N/A,N/A
5,Dinner by Heston Blumenthal,"66 Knightsbridge, London SW1X 7LA",+442072013844,https://www.dinnerbyheston.co.uk/,molon-dinnerpdr@mohg.com,https://www.facebook.com/DinnerByHestonBlumenthal/,https://www.instagram.com/dinnerbyhb/,https://uk.linkedin.com/company/the-fat-duck-group,N/A,https://x.com/dinnerbyheston
6,Aulis London by Simon Rogan,"16 St Anne’s Ct, London W1F 0BF",+442039489665,https://www.aulis.co.uk/aulis-london,aulislondon@simonrogan.co.uk,https://www.facebook.com/AulisSimonRogan/,https://www.instagram.com/aulissimonrogan/,https://uk.linkedin.com/company/umbel-restaurant-group,N/A,N/A
7,Kitchen Table,"70 Charlotte St, London W1T 4QG",+442076377770,https://kitchentablelondon.co.uk/,info@kitchentablelondon.co.uk,https://www.facebook.com/KitchenTableLondon/,https://www.instagram.com/kitchentable1/,https://www.linkedin.com/company/kitchentable-london,N/A,N/A
8,The Clove Club,"Shoreditch Town Hall, 380 Old St, London EC1V 9LT",+442077296496,https://www.thecloveclub.com/,hello@thecloveclub.com,https://www.facebook.com/thecloveclub/,https://www.instagram.com/thecloveclub/,https://uk.linkedin.com/company/the-clove-club-group,N/A,https://x.com/thecloveclub/
9,Gymkhana,"42 Albemarle St, London W1S 4JH",+442030115900,https://gymkhanalondon.com/,info@gymkhanalondon.com,https://www.facebook.com/gymkhanalondon/,https://www.instagram.com/gymkhanalondon/,https://www.linkedin.com/company/gymkhana,N/A,N/A
10,Trishna,"15-17 Blandford St, London W1U 4AZ",+442079355624,https://www.trishnalondon.com/,info@trishnalondon.com,https://www.facebook.com/TrishnaLondon/,https://www.instagram.com/trishnalondon/,https://uk.linkedin.com/company/trishna,N/A,N/A
