"Rank
2025",Company,HQ Country,Sector,"Market Cap
($B)"
1.0,Microsoft,USA,Software / AI,3368000000000.0
2.0,NVIDIA,USA,Semis / AI,3288.0
3.0,Apple,USA,Hardware / AI,3158.0
4.0,Amazon,USA,Internet / AI,2178.0
5.0,Alphabet (Google),USA,Internet / AI,1997.0
6.0,Saudi Aramco,Saudi Arabia,Energy,1686.0
7.0,Meta Platforms (Facebook),USA,Internet / AI,1619.0
8.0,Tesla,USA,Auto / AI,1104.0
9.0,Broadcom,USA,Semis / AI,1094.0
10.0,Berkshire Hathaway,USA,Finance,1093.0
11.0,TSMC,Taiwan,Semis / AI,856.0
12.0,Walmart,USA,Consumer Products,771.0
13.0,JP Morgan Chase,USA,Finance,743.0
14.0,Visa,USA,Finance,678.0
15.0,Eli Lilly,USA,Healthcare,658.0
16.0,Tencent,China,Software / AI,591.0
17.0,Mastercard,USA,Finance,529.0
18.0,Netflix,USA,Internet / AI,501.0
19.0,Exxon Mobil,USA,Energy,468.0
20.0,Costco Wholesale,USA,Consumer Products,448.0
21.0,Oracle,USA,Hardware / AI,447.0
22.0,Procter & Gamble,USA,Consumer Products,381.0
23.0,Home Depot,USA,Consumer Products,376.0
24.0,Johnson & Johnson,USA,Consumer Products,360.0
25.0,SAP,Germany,Software / AI,343.0
26.0,Bank of America,USA,Finance,334.0
27.0,ICBC,China,Finance,330.0
28.0,AbbVie,USA,Healthcare,321.0
29.0,Coca-Cola,USA,Consumer Products,308.0
30.0,Palantir,USA,Software / AI,302.0
