store,plz,served,error
REWE,01945,False,
Flink,01945,False,
Knuspr,01945,False,
Picnic,01945,False,
REWE,01968,True,
Flink,01968,True,
Knuspr,01968,True,
Picnic,01968,True,
REWE,01979,False,
Flink,01979,False,
Knuspr,01979,False,
Picnic,01979,False,
REWE,01983,False,
Flink,01983,False,
Knuspr,01983,False,
Picnic,01983,False,
REWE,01987,False,
Flink,01987,False,
Knuspr,01987,False,
Picnic,01987,False,
REWE,01990,True,
Flink,01990,True,
Knuspr,01990,True,
Picnic,01990,True,
REWE,01993,False,
Flink,01993,False,
Knuspr,01993,False,
Picnic,01993,False,
REWE,01994,True,
Flink,01994,True,
Knuspr,01994,True,
Picnic,01994,True,
REWE,01996,True,
Flink,01996,True,
Knuspr,01996,True,
Picnic,01996,True,
REWE,01998,True,
Flink,01998,True,
Knuspr,01998,True,
Picnic,01998,True,
REWE,03042,True,
Flink,03042,True,
Knuspr,03042,True,
Picnic,03042,True,
REWE,03044,True,
Flink,03044,True,
Knuspr,03044,True,
Picnic,03044,True,
REWE,03046,True,
Flink,03046,True,
Knuspr,03046,True,
Picnic,03046,True,
REWE,03048,True,
Flink,03048,True,
Knuspr,03048,True,
Picnic,03048,True,
REWE,03050,True,
Flink,03050,True,
Knuspr,03050,True,
Picnic,03050,True,
REWE,03051,False,
Flink,03051,False,
Knuspr,03051,False,
Picnic,03051,False,
REWE,03052,True,
Flink,03052,True,
Knuspr,03052,True,
Picnic,03052,True,
REWE,03053,False,
Flink,03053,False,
Knuspr,03053,False,
Picnic,03053,False,
REWE,03054,True,
Flink,03054,True,
Knuspr,03054,True,
Picnic,03054,True,
REWE,03055,False,
Flink,03055,False,
Knuspr,03055,False,
Picnic,03055,False,
REWE,03058,True,
Flink,03058,True,
Knuspr,03058,True,
Picnic,03058,True,
REWE,03096,True,
Flink,03096,True,
Knuspr,03096,True,
Picnic,03096,True,
REWE,03099,False,
Flink,03099,False,
Knuspr,03099,False,
Picnic,03099,False,
REWE,03103,False,
Flink,03103,False,
Knuspr,03103,False,
Picnic,03103,False,
REWE,03116,True,
Flink,03116,True,
Knuspr,03116,True,
Picnic,03116,True,
REWE,03119,False,
Flink,03119,False,
Knuspr,03119,False,
Picnic,03119,False,
REWE,03130,True,
Flink,03130,True,
Knuspr,03130,True,
Picnic,03130,True,
REWE,03139,False,
Flink,03139,False,
Knuspr,03139,False,
Picnic,03139,False,
REWE,03149,False,
Flink,03149,False,
Knuspr,03149,False,
Picnic,03149,False,
REWE,03159,False,
Flink,03159,False,
Knuspr,03159,False,
Picnic,03159,False,
REWE,03172,True,
Flink,03172,True,
Knuspr,03172,True,
Picnic,03172,True,
REWE,03185,False,
Flink,03185,False,
Knuspr,03185,False,
Picnic,03185,False,
REWE,03197,False,
Flink,03197,False,
Knuspr,03197,False,
Picnic,03197,False,
REWE,03202,True,
Flink,03202,True,
Knuspr,03202,True,
Picnic,03202,True,
REWE,03205,False,
Flink,03205,False,
Knuspr,03205,False,
Picnic,03205,False,
