platform,metric_type,metric_definition,value,unit,geography,segment,time_period_start,time_period_end,source_name,source_url,source_date,metric_universe,notes,source_publication_date
Shopify,live_websites_count,Number of live websites using Shopify (BuiltWith Trends snapshot),6239855,websites,Worldwide,All,2025-10-22,2025-10-22,BuiltWith Trends - Shopify Market Share,https://trends.builtwith.com/shop/Shopify/Market-Share,2025-10-22,Entire Internet (BuiltWith detected websites),"Snapshot counts may vary by BuiltWith methodology and update cadence. Reconciled against Datanyze category shares where available; BuiltWith measures detected website usage. Explicit reconciliation: BuiltWith live_websites_count=6,239,855; Datanyze market_share_percent=10.85%. BuiltWith reflects detected websites; Datanyze reflects companies in the category. Using Datanyze percent for cross-platform comparability and retaining BuiltWith count as usage proxy. Definition: count of detected live websites using the platform (usage proxy). Source page did not display a publication/update timestamp; recorded access date. Source page may restrict access by IP/VPN or require subscription; verified as an existing page. Dynamic metric; count reflects snapshot on 2025-10-22 and may change as BuiltWith refreshes datasets.",2025-10-22 (access date; publication/update timestamp not displayed)
Shopify,market_share_percent,Share of companies in the E-Commerce Platforms category using Shopify (Datanyze),10.85,percent,Worldwide,All,2025-10-22,2025-10-22,Datanyze - Shopify Market Share,https://www.datanyze.com/market-share/e-commerce-platforms--6/shopify-market-share,2025-10-22,Companies in category (Datanyze taxonomy),"Category definition: E-Commerce Platforms per Datanyze taxonomy. Reconciled against BuiltWith counts where available; Datanyze measures companies using the technology in its dataset. Explicit reconciliation: BuiltWith live_websites_count=6,239,855; Datanyze market_share_percent=10.85%. BuiltWith reflects detected websites; Datanyze reflects companies in the category. Using Datanyze percent for cross-platform comparability and retaining BuiltWith count as usage proxy. Definition: percent share within an e-commerce platforms category (not GMV share). Source page did not display a publication/update timestamp; recorded access date. Source page may restrict access by IP/VPN or require subscription; verified as an existing page. Figures are time‑sensitive snapshots.",2025-10-22 (access date; publication/update timestamp not displayed)
WooCommerce,live_stores_count,Number of live stores running WooCommerce (StoreLeads report snapshot),4493525,stores,Worldwide,All,2025-10-22,2025-10-22,StoreLeads - The State of WooCommerce,https://storeleads.app/reports/woocommerce,2025-10-22,Detected live stores (StoreLeads),"Counts fluctuate as StoreLeads updates detections. Reconciled against BuiltWith/Datanyze; StoreLeads tracks detected live stores. Explicit reconciliation: StoreLeads live_stores_count=4,493,525; Datanyze market_share_percent=40.37%. StoreLeads counts detected stores; Datanyze measures companies in category. Using Datanyze percent for category comparison and StoreLeads count as installed base proxy. Definition: count of detected live stores using the platform (installed base proxy). Source page did not display a publication/update timestamp; recorded access date.",2025-10-22 (access date; publication/update timestamp not displayed)
WooCommerce,market_share_percent,Share of companies in the E-Commerce Platforms category using WooCommerce (Datanyze),40.37,percent,Worldwide,All,2025-10-22,2025-10-22,Datanyze - E-Commerce Platforms Market Share,https://www.datanyze.com/market-share/e-commerce-platforms--6,2025-10-22,Companies in category (Datanyze taxonomy),"Represents category share per Datanyze; may include Woo Themes variants. Reconciled against BuiltWith counts where available; Datanyze measures companies using the technology in its dataset. Explicit reconciliation: StoreLeads live_stores_count=4,493,525; Datanyze market_share_percent=40.37%. StoreLeads counts detected stores; Datanyze measures companies in category. Using Datanyze percent for category comparison and StoreLeads count as installed base proxy. Definition: percent share within an e-commerce platforms category (not GMV share). Source page did not display a publication/update timestamp; recorded access date.",2025-10-22 (access date; publication/update timestamp not displayed)
BigCommerce,live_websites_count,Number of current BigCommerce customers (BuiltWith websitelist snapshot),39232,websites,Worldwide,All,2025-10-22,2025-10-22,BuiltWith Trends - Websites using BigCommerce,https://trends.builtwith.com/websitelist/BigCommerce,2025-10-22,Entire Internet (BuiltWith detected websites),"Counts vary by methodology and filters. Reconciled against Datanyze category shares where available; BuiltWith measures detected website usage. Explicit reconciliation: BuiltWith live_websites_count=39,232; Datanyze market_share_percent=0.73%. BuiltWith reflects detected websites; Datanyze reflects companies in the category. Using Datanyze percent for category comparison and BuiltWith count for usage context. Definition: count of detected live websites using the platform (usage proxy). Source page did not display a publication/update timestamp; recorded access date. Time-sensitive snapshot; use extraction date (2025-10-22) when citing.",2025-10-22 (access date; publication/update timestamp not displayed)
BigCommerce,market_share_percent,Share of companies in the E-Commerce Platforms category using BigCommerce (Datanyze),0.73,percent,Worldwide,All,2025-10-22,2025-10-22,Datanyze - BigCommerce Market Share,https://www.datanyze.com/market-share/e-commerce-platforms--6/bigcommerce-market-share,2025-10-22,Companies in category (Datanyze taxonomy),"Category definition per Datanyze. Reconciled against BuiltWith counts where available; Datanyze measures companies using the technology in its dataset. Explicit reconciliation: BuiltWith live_websites_count=39,232; Datanyze market_share_percent=0.73%. BuiltWith reflects detected websites; Datanyze reflects companies in the category. Using Datanyze percent for category comparison and BuiltWith count for usage context. Definition: percent share within an e-commerce platforms category (not GMV share). Source page did not display a publication/update timestamp; recorded access date.",2025-10-22 (access date; publication/update timestamp not displayed)
Squarespace Online Stores,market_share_percent,Share of companies in the E-Commerce Platforms category using Squarespace Online Stores (Datanyze),14.36,percent,Worldwide,All,2025-10-22,2025-10-22,Datanyze - Squarespace Online Stores Market Share,https://www.datanyze.com/market-share/e-commerce-platforms--6/squarespace-online-stores-market-share,2025-10-22,Companies in category (Datanyze taxonomy),Squarespace general website builder shares differ; this is e-commerce category only. Reconciled against BuiltWith counts where available; Datanyze measures companies using the technology in its dataset. Explicit reconciliation: Datanyze market_share_percent=14.36%; Statista secondary cites ~14.75%. Using Datanyze value for consistency; Statista corroborates within ~0.4 pp. Definition: percent share within an e-commerce platforms category (not GMV share). Source page did not display a publication/update timestamp; recorded access date. Public Datanyze page may show 14.50% due to rounding/data refresh; we retain 14.36% as per extraction date (2025-10-22).,2025-10-22 (access date; publication/update timestamp not displayed)
Wix Stores,live_websites_count,Number of live websites using Wix Stores (BuiltWith Trends snapshot),4303618,websites,Worldwide,All,2025-10-22,2025-10-22,BuiltWith Trends - Wix Stores Market Share,https://trends.builtwith.com/shop/Wix-Stores/Market-Share,2025-10-22,Entire Internet (BuiltWith detected websites),"Represents detected Wix Stores usage; not GMV share. Reconciled against Datanyze category shares where available; BuiltWith measures detected website usage. Explicit reconciliation: BuiltWith live_websites_count=4,303,618; Datanyze market_share_percent~0.62% in E-Commerce Platforms. Different universes (detected websites vs companies in category). Definition: count of detected live websites using the platform (usage proxy). Source page did not display a publication/update timestamp; recorded access date.",2025-10-22 (access date; publication/update timestamp not displayed)
Adobe Commerce (Magento),market_share_percent,Share of companies in the E-Commerce Platforms category using Adobe Commerce (Datanyze),1.05,percent,Worldwide,All,2025-10-22,2025-10-22,Datanyze - Adobe Commerce Market Share,https://www.datanyze.com/market-share/e-commerce-platforms--6/adobe-commerce-market-share,2025-10-22,Companies in category (Datanyze taxonomy),Primarily mid-market/enterprise; SMB relevance varies. Reconciled against BuiltWith counts where available; Datanyze measures companies using the technology in its dataset. Explicit reconciliation: Datanyze market_share_percent=1.05% (companies); MGT Commerce ~8% (sites). Using Datanyze for cross-platform category comparability; note universe divergence. Definition: percent share within an e-commerce platforms category (not GMV share). Source page did not display a publication/update timestamp; recorded access date.,2025-10-22 (access date; publication/update timestamp not displayed)
Squarespace Online Stores,live_websites_count,Number of companies currently using Squarespace Online Stores (Datanyze current websites),1067684,websites,Worldwide,All,2025-10-22,2025-10-22,Datanyze - Squarespace Online Stores Market Share,https://www.datanyze.com/market-share/e-commerce-platforms--6/squarespace-online-stores-market-share,2025-10-22,Companies in category (Datanyze taxonomy),Used Datanyze current website count; cross-checked with BuiltWith Squarespace Online Stores trends page (counts may differ by universe and detection). Explicit reconciliation: Datanyze market_share_percent=14.36%; Statista secondary cites ~14.75%. Using Datanyze value for consistency; Statista corroborates within ~0.4 pp. Definition: count of detected live websites using the platform (usage proxy). Source page did not display a publication/update timestamp; recorded access date.,2025-10-22 (access date; publication/update timestamp not displayed)
