City;Eurostat Cities Database;Eurostat URB_CPOPSTR;Geonames / Opendatasoft;European Open Data Portal;EEA;GitHub;Wikipedia (EU List)
Paris;10,353,710 (2022);no;2,138,551 (2023);no;2,220,445 (2014);no;2,048,472 (2025)
Rome;2,755,309 (2023);no;2,318,895 (2023);2,818,029 (2021);2,863,322 (2014);no;2,746,984 (2025)
London;8,866,541 (2018);no;8,961,989 (2022);8,806,800 (2011);no;no;8,866,180 (2022)
Berlin;3,755,251 (2023);no;3,426,354 (2022);3,655,816 (2021);3,421,829 (2014);no;3,897,145 (2024)
Madrid;5,115,272 (2023);no;3,255,944 (2022);3,422,416 (2024);3,165,235 (2014);no;3,460,771 (2024)
Amsterdam;1,059,596 (2023);no;741,636 (2023);1,058,763 (2021);810,938 (2014);no;938,898 (2025)
Brussels;1,253,178 (2023);no;1,019,022 (2022);1,282,275 (2021);1,183,841 (2014);no;1,249,597 (2024)
Riga;609,429 (2023);no;742,572 (2019);625,208 (2021);643,368 (2014);no;591,882 (2025)
Vienna;no;no;1,691,468 (2022);1,957,028 (2021);1,766,746 (2014);no;2,031,870 (2025)
Athens;no;no;664,046 (2022);no;664,046 (2011);no;643,452 (2021)
