Company Name,"Official Website","LinkedIn Profile URL","Twitter Profile URL",Issues
Saudi Aramco,https://www.aramco.com/en,https://www.linkedin.com/company/aramco/,https://x.com/aramco,
ExxonMobil,https://corporate.exxonmobil.com/,https://www.linkedin.com/company/exxonmobil/,https://x.com/exxonmobil,
BP,https://www.bp.com/,https://www.linkedin.com/company/bp/,https://x.com/bp_plc,
Chevron,https://www.chevron.com/,https://www.linkedin.com/company/chevron/,https://x.com/chevron,
TotalEnergies,https://totalenergies.com/,https://www.linkedin.com/company/totalenergies/,https://x.com/TotalEnergies,
CNPC (China National Petroleum Corp.),https://www.cnpc.com.cn/en/,https://www.linkedin.com/company/china-national-petroleum-corporation/,https://x.com/official_cnpc,
ENEOS Corporation,https://www.eneos.co.jp/english/,https://www.linkedin.com/company/eneosgroup/,https://x.com/eneos_group?,
Eni,https://www.eni.com/en-IT/home.html,https://www.linkedin.com/company/eni/,https://x.com/eni,
Equinor,https://www.equinor.com/,https://www.linkedin.com/company/equinor/,https://x.com/Equinor,
Repsol,https://www.repsol.com/en/index.cshtml,https://www.linkedin.com/company/repsol,https://x.com/repsol,
Petrobras,https://petrobras.com.br/en,https://www.linkedin.com/company/petrobras/,https://x.com/petrobras?lang=en,
Phillips 66,https://www.phillips66.com/,https://www.linkedin.com/company/phillips66co,https://x.com/phillips66co,
Valero Energy,https://www.valero.com/,https://www.linkedin.com/company/valero-energy-corporation,https://x.com/valeroenergy?lang=en,
Halliburton,https://www.halliburton.com/,https://www.linkedin.com/company/halliburton/,https://x.com/halliburton?lang=en,
Kinder Morgan,https://www.kindermorgan.com/,https://www.linkedin.com/company/kinder-morgan/,https://x.com/#!/Kinder_Morgan,
Dominion Energy,https://www.dominionenergy.com/,https://www.linkedin.com/company/dominionenergy/,https://x.com/dominionenergy,
Engie,https://www.engie.com/en,https://www.linkedin.com/company/engie,https://x.com/engiegroup,
Iberdrola,https://www.iberdrola.com/home,https://www.linkedin.com/company/iberdrola/,https://x.com/Iberdrola_En?,
EDF (Électricité de France),https://www.edf.fr/,https://www.linkedin.com/company/edf/,https://x.com/EDFofficiel,
