"name","restaurant_name","identifier","price_usd"
"YELLOWTAIL LOVER","AKINA SUSHI","SEAMLESS, NEW YORK, NY",19
"YELLOWTAIL LOVER","ANNIE CHEN'S SUSHI BAR AND GRILL","GRUBHUB, WASHINGTON, DC",27.95
"YELLOWTAIL LOVER","ANZAI","1856 FRONT STREET, DOORDASH, EAST MEADOW, NY",22
"YELLOWTAIL LOVER","FUJI HOTPOT & SUSHI","UBEREATS, AKRON, OH",20.95
"YELLOWTAIL LOVER","GO SUSHI","UBEREATS, NEW YORK, NY",22.95
"YELLOWTAIL LOVER","GOURMET PARADISE","COMMACK, NY",20
"YELLOWTAIL LOVER","HOKKAIDO","WINTER SPRINGS, FL",16
"YELLOWTAIL LOVER","IRON CHEF HIBACHI & ASIAN FUSION","GRUBHUB, NEWBURGH, NY",14
"YELLOWTAIL LOVER","JJ ASIAN CUISINE","GRUBHUB, HARLEYSVILLE, PA",15.45
"YELLOWTAIL LOVER","KABUKI-KAMUGI JAPANESE STEAK & SUSHI","GRUBHUB, VIRGINIA BEACH, VA",24
"YELLOWTAIL LOVER","MASAGO BISTRO","SEAMLESS, BROOKLYN, NY",13
"YELLOWTAIL LOVER","MINTEA ASIAN BISTRO","99 RIDGEDALE AVENUE, DOORDASH, HANOVER, NJ",18
"YELLOWTAIL LOVER","NEW MATSU SUSHI","GRUBHUB, ANNAPOLIS, MD",19.95
"YELLOWTAIL LOVER","NEW YU ME JAPANESE & ASIAN CAFE","EAST ROCKAWAY, NY",17
"YELLOWTAIL LOVER","OCEAN SUSHI","EAST ROCKAWAY, NY",17
"YELLOWTAIL LOVER","OMIYA","SEAMLESS, BROOKLYN, NY",10.95
"YELLOWTAIL LOVER","OMIYA JAPANESE RESTAURANT","SEAMLESS, BROOKLYN, NY",9.95
"YELLOWTAIL LOVER","SAKURA TOKYO II","BROOKLYN, NY",13.5
"YELLOWTAIL LOVER","SAPPORO","LIVONIA, MI",12.95
"YELLOWTAIL LOVER","SESAME CORNER","GRUBHUB, SELDEN, NY",15.99
"YELLOWTAIL LOVER","SILVER OCEAN RESTAURANT","3340 SAN PABLO DAM ROAD, DOORDASH, EL SOBRANTE, CA",14.99
"YELLOWTAIL LOVER","SUSHI FUSSION & HIBACHI","FLUSHING, NY",20.95
"YELLOWTAIL LOVER","SUSHI SHACK","UBEREATS, PLANO, TX",22.74
"YELLOWTAIL LOVER","WATAMI","GREAT NECK, NY",22.95
"YELLOWTAIL LOVER","YURI SUSHI HOUSE","SEAMLESS, NEW YORK, NY",24.95
"YELLOWTAIL LOVER APPETIZER","LITTLE BAMBOO CHINESE RESTAURANT","GRUBHUB, BELLE VERNON, PA",10
"YELLOWTAIL LOVER COMBO","CHOPSTICKS","WASHINGTON, DC",29
"YELLOWTAIL LOVER COMBO","GINZA SUSHI & RAMEN BAR","GRUBHUB, GRAND RAPIDS, MI",18
"YELLOWTAIL LOVER COMBO","HASHI SUSHI GEORGETOWN","WASHINGTON, DC",29
"YELLOWTAIL LOVER DINNER","WASABI FUSION","OCEANSIDE, NY",14.99
"YELLOWTAIL LOVER DINNER","YORI JAPANESE CUISINE","144 MOTT STREET, DOORDASH, OCEANSIDE, NY",10.5
"YELLOWTAIL LOVER NIGIRI (10)","ORENJI SUSHI & NOODLES","GRUBHUB, ISSAQUAH, WA",29.4
"YELLOWTAIL LOVER ROLL","3 FLAVORS","GRUBHUB, MOBILE, AL",11.95
"YELLOWTAIL LOVER ROLL","CHAI PIZZA & FALAFEL","GRUBHUB, MONSEY, NY",11
"YELLOWTAIL LOVER ROLL","HIBACHI CHINA 88","GRUBHUB, GARNER, NC",13.95
"YELLOWTAIL LOVER ROLL","HOUSE - MODERN SUSHI RESTAURANT","GRUBHUB, MESA, AZ",12.5
"YELLOWTAIL LOVER ROLL","MISO SUSHI AND GRILL","GRUBHUB, CHINO, CA",13.95
"YELLOWTAIL LOVER ROLL","NIKKO JAPANESE STEAK AND SEAFOOD","GRUBHUB, HAGERSTOWN, MD",11.95
"YELLOWTAIL LOVER ROLL","OZEKI SUSHI","GRUBHUB, SOUTHLAKE, TX",20
"YELLOWTAIL LOVER ROLL","SAKE SAKE 2 SUSHI","GRUBHUB, UPLAND, CA",15.95
"YELLOWTAIL LOVER ROLL","SHOBOO KITCHEN","3626 GRAND AVENUE, DOORDASH, CHINO HILLS, CA",16.45
"YELLOWTAIL LOVER ROLL","SHOBOO KITCHEN","GRUBHUB, CHINO HILLS, CA",14.95
"YELLOWTAIL LOVER ROLL","SUSHI AI","UBEREATS, WESTLAKE VILLAGE, CA",14.95
"YELLOWTAIL LOVER ROLL (8PCS.)","YOHO ASIAN BISTRO","GRUBHUB, CARY, NC",16.5
"YELLOWTAIL LOVER SASHIMI (10)","ORENJI SUSHI & NOODLES","GRUBHUB, ISSAQUAH, WA",29.4
"YELLOWTAIL LOVER SUSHI COMBO","SUSHI JEJU","GRUBHUB, FORT COLLINS, CO",20
"YELLOWTAIL LOVER'S COMBO","TAKAMATSU RESTAURANT","GRUBHUB, PHOENIX, AZ",14.95
"YELLOWTAIL LOVERS","OOKA SUSHI & ASIAN CUISINE","GRUBHUB, BROOMFIELD, CO",17.95
"YELLOWTAIL LOVERS SUSHI","TORO HIBACHI & SUSHI","GRUBHUB, OVERLAND PARK, KS",28.7
"YELLOWTAIL LOVER’S ROLL","ANZAI","1856 FRONT STREET, DOORDASH, EAST MEADOW, NY",12
"YELLOWTAIL LUNCH","AKINA SUSHI","SEAMLESS, NEW YORK, NY",12
"YELLOWTAIL LUNCH","BLUE GINGKO","GRUBHUB, DANVILLE, CA",9
"YELLOWTAIL LUNCH","CHIDORI JAPANESE CUISINE","SEAMLESS, REGO PARK, NY",12.95
"YELLOWTAIL LUNCH","HAIKU ASIAN BISTRO & SUSHI BAR","56 PONDFIELD ROAD, DOORDASH, BRONXVILLE, NY",16.95
"YELLOWTAIL LUNCH","HAIKU ASIAN BISTRO & SUSHI BAR","SEAMLESS, BRONXVILLE, NY",16.95
"YELLOWTAIL LUNCH","HANA JAPANESE SUSHI AND HIBACHI (BILTMORE AVE)","GRUBHUB, ASHEVILLE, NC",11
"YELLOWTAIL LUNCH","INOODLES JAPANESE RAMEN RESTAURANT","NEW YORK, NY",13
"YELLOWTAIL LUNCH","LURE FISHBAR","SEAMLESS, NEW YORK, NY",7
"YELLOWTAIL LUNCH","MIKA SUSHI","GRUBHUB, ARVADA, CO",3
"YELLOWTAIL LUNCH","SKULL CREEK BOATHOUSE","GRUBHUB, HILTON HEAD ISLAND, SC",5.25
"YELLOWTAIL LUNCH","STIX SUSHI","GRUBHUB, PEACHTREE CITY, GA",8.74
"YELLOWTAIL LUNCH","SUH SUSHI KOREAN BBQ","GRUBHUB, FORT COLLINS, CO",8.25
"YELLOWTAIL LUNCH","SWEET GINGER ASIAN BISTRO AND SUSHI","GRUBHUB, DENVER, CO",12.5
