product code,manufacturer's name,manual pdf link,product link,notes
BBAIF22300,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBAIF22300.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/60cm-single-fan-oven-led-timer-bbaif22300-stainless-steel,
BBIM12300,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBIM12300AC.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/60cm-single-multi-function-oven-aeroperfect-bbim12300-anthracite,base model
BBIS25300XC,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBIS25300XC.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/60cm-aeroperfect-single-multi-function-oven-steam-assisted-cooking-bbis25300xc-stainless-steel,
BBDF22300,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBDF22300.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/90cm-double-fan-oven-led-timer-bbdf22300-black,
BBNIC22100X,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBNIC22100.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/60cm-single-conventional-oven-74l-oven-capacity-bbnic22100x-stainless-steel,
BBRIE22300XD,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBRIE22300XD.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/single-multi-function-oven-bbrie22300xd-stainless-steel,
BBXDF22300,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBXDF22300.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/90cm-double-fan-oven-led-timer-bbxdf22300-silver,
CIFY81,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/CIFY81.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/60-cm-aeroperfect-single-fan-oven-cify81-stainless-steel,
BBXTF25300,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/BBXTF25300.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/72cm-double-fan-oven-programmable-led-timer-bbxtf25300-stainless-steel,
CTFY22309,Beko,https://bekoplc.blob.core.windows.net/bekoupload/manuals/CTFY22309.pdf,https://www.beko.co.uk/appliances/integrated-appliances/ovens/product/72cm-double-fan-oven-contol-led-timer-ctfy22309-stainless-steel,
HHF113BA0B,Bosch,https://media3.bsh-group.com/Documents/9001902355_C.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HHF113BA0B,
HQA534BB3B,Bosch,https://media3.bsh-group.com/Documents/9001932464_D.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HQA534BB3B,
HQA574BS3B,Bosch,https://media3.bsh-group.com/Documents/9001932465_D.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HQA574BS3B,
MBA533BB3B,Bosch,https://media3.bsh-group.com/Documents/9001909836_C.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/doubleovens/MBA533BB3B,
HBS534BS0B,Bosch,https://media3.bsh-group.com/Documents/9001594767_E.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HBS534BS0B,Stainless steel
HBG7784B1,Bosch,https://media3.bsh-group.com/Documents/9001682489_F.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HBG7784B1,
HBS534BW0B,Bosch,https://media3.bsh-group.com/Documents/9001594767_E.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HBS534BW0B,White
HBG7741B1B,Bosch,https://media3.bsh-group.com/Documents/9001681377_H.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HBG7741B1B,
HMG7764B1B,Bosch,https://media3.bsh-group.com/Documents/9001682779_F.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/built-in-ovens/HMG7764B1B,
MBS533BS0B,Bosch,https://media3.bsh-group.com/Documents/9001580313_E.pdf,https://www.bosch-home.co.uk/en/product/cooking-baking/ovens/doubleovens/MBS533BS0B,
