Source_Website,Category,Product_Name,Brand,Model_SKU,Price,Rating,Reviews,Availability,Condition
Bunnings,Toilet,Geberit Toilet Seat and Cover,Geberit,,2403.72,4.3,182,,
Bunnings,Toilet,Clark Dual Flush Toilet Suite Matte Black,Clark,,1095.74,4.5,81,,
Bunnings,Toilet,Dux Back to Wall Toilet Suite,Dux,,1110.08,3.9,142,,
Bunnings,Toilet,Toto Toilet Seat and Cover,Toto,,1003.69,4.3,5,,
Bunnings,Toilet,Caroma Wall Hung Toilet Suite,Caroma,,1548.13,4.2,184,,
Bunnings,Toilet,Geberit Rimless Toilet Suite Pro Black,Geberit,,1995.84,4.7,75,,
Bunnings,Toilet,Dorf Close Coupled Toilet Suite Classic,Dorf,,1493.54,4.3,14,,
Bunnings,Toilet,Dux Soft Close Toilet Seat,Dux,,2207.4,4.6,28,,
Bunnings,Toilet,Caroma Wall Faced Toilet Suite Premium,Caroma,,2120.69,4.4,64,,
Bunnings,Toilet,Mizu Back to Wall Toilet Suite,Mizu,,1396.41,4.6,146,,
Bunnings,Toilet,Dorf Dual Flush Toilet Suite Modern White,Dorf,,485.56,4.2,178,,
Bunnings,Toilet,Dux Wall Hung Toilet Suite Brushed Nickel,Dux,,1205.06,4.3,113,,
Bunnings,Toilet,Caroma Close Coupled Toilet Suite Standard,Caroma,,151.68,4.6,58,,
Bunnings,Toilet,Caroma Wall Hung Toilet Suite Pro,Caroma,,156.06,3.8,110,,
Bunnings,Toilet,Toto Wall Faced Toilet Suite Brushed Nickel,Toto,,2382.82,3.8,122,,
Bunnings,Toilet,Geberit Wall Hung Toilet Suite Chrome,Geberit,,2337.22,3.7,32,,
Bunnings,Toilet,Dux Dual Flush Toilet Suite,Dux,,2352.64,4.2,66,,
Bunnings,Toilet,Geberit Back to Wall Toilet Suite,Geberit,,2183.89,4.2,78,,
Bunnings,Toilet,Geberit Soft Close Toilet Seat,Geberit,,612.5,3.6,40,,
Bunnings,Toilet,Caroma Soft Close Toilet Seat,Caroma,,606.53,5.0,84,,
Bunnings,Toilet,Dux Close Coupled Toilet Suite,Dux,,1287.75,4.6,86,,
Bunnings,Toilet,Geberit Rimless Toilet Suite Standard,Geberit,,2272.29,4.9,16,,
Bunnings,Toilet,Roca Close Coupled Toilet Suite Elite,Roca,,2050.22,4.7,45,,
Bunnings,Toilet,Mizu Soft Close Toilet Seat,Mizu,,1468.6,4.1,197,,
Bunnings,Toilet,Clark Toilet Seat and Cover,Clark,,447.25,4.2,78,,
Bunnings,Toilet,Toto Wall Faced Toilet Suite,Toto,,1093.18,4.3,143,,
Bunnings,Toilet,Dorf Rimless Toilet Suite,Dorf,,380.84,4.3,136,,
Bunnings,Toilet,Clark Rimless Toilet Suite,Clark,,1437.86,3.7,168,,
Bunnings,Toilet,Dux Toilet Seat and Cover Classic,Dux,,1972.76,4.4,155,,
Bunnings,Toilet,Mizu Wall Faced Toilet Suite,Mizu,,424.38,4.3,9,,
Bunnings,Toilet,Dux Wall Faced Toilet Suite Gold,Dux,,948.14,4.0,46,,
Bunnings,Toilet,Roca Soft Close Toilet Seat,Roca,,779.95,4.0,62,,
Bunnings,Toilet,Clark Soft Close Toilet Seat Premium,Clark,,2460.83,3.6,64,,
Bunnings,Toilet,Dorf Back to Wall Toilet Suite Classic Brushed Nickel,Dorf,,1874.85,4.7,167,,
Bunnings,Toilet,Dorf Dual Flush Toilet Suite,Dorf,,1309.43,3.8,127,,
Bunnings,Toilet,Dux Wall Faced Toilet Suite,Dux,,375.27,4.2,23,,
Bunnings,Toilet,Mizu Rimless Toilet Suite,Mizu,,158.45,4.4,137,,
Bunnings,Toilet,Caroma Wall Faced Toilet Suite,Caroma,,1829.36,4.4,27,,
Bunnings,Toilet,Dorf Wall Hung Toilet Suite Gold,Dorf,,583.09,4.6,59,,
Bunnings,Toilet,Roca Soft Close Toilet Seat Standard,Roca,,294.25,4.0,79,,
Bunnings,Toilet,Geberit Rimless Toilet Suite Gold,Geberit,,1480.56,4.4,183,,
Bunnings,Toilet,Dorf Close Coupled Toilet Suite Standard,Dorf,,2023.94,3.6,132,,
Bunnings,Toilet,Dorf Toilet Seat and Cover,Dorf,,2414.67,4.3,20,,
Bunnings,Toilet,Roca Toilet Seat and Cover Premium Brushed Nickel,Roca,,1555.62,4.8,94,,
Bunnings,Toilet,Dorf Wall Faced Toilet Suite,Dorf,,1312.45,4.0,147,,
Bunnings,Tapware,Mizu Mixer Tap Premium,Mizu,,353.43,4.8,174,,
Bunnings,Tapware,Roca Single Lever Mixer,Roca,,273.26,4.3,87,,
Bunnings,Tapware,Dux Basin Mixer Tap,Dux,,339.08,4.8,43,,
Bunnings,Tapware,Mizu Waterfall Tap Standard,Mizu,,376.9,4.4,77,,
Bunnings,Tapware,Geberit Single Lever Mixer Premium,Geberit,,531.4,4.5,171,,
Bunnings,Tapware,Mizu Shower Mixer,Mizu,,558.4,4.2,93,,
Bunnings,Tapware,Caroma Wall Mounted Mixer,Caroma,,333.41,4.6,56,,
Bunnings,Tapware,Caroma Waterfall Tap Modern Chrome,Caroma,,499.21,4.1,144,,
Bunnings,Tapware,Dorf Basin Mixer Tap,Dorf,,263.9,4.5,46,,
Bunnings,Tapware,Clark Waterfall Tap,Clark,,185.77,4.0,172,,
Bunnings,Tapware,Clark Waterfall Tap Standard,Clark,,286.4,4.9,20,,
Bunnings,Tapware,Geberit Single Lever Mixer,Geberit,,597.92,3.9,148,,
Bunnings,Tapware,Geberit Basin Mixer Tap,Geberit,,269.21,4.2,16,,
Bunnings,Tapware,Clark Bath Mixer Tap,Clark,,719.38,4.1,45,,
Bunnings,Tapware,Mizu Wall Mounted Mixer Matte Black,Mizu,,357.62,4.4,82,,
Bunnings,Tapware,Dux Bath Mixer Tap Pro,Dux,,361.24,3.8,125,,
Bunnings,Tapware,Geberit Wall Mounted Mixer,Geberit,,188.01,4.9,177,,
Bunnings,Tapware,Mizu Bath Mixer Tap,Mizu,,605.76,4.2,135,,
Bunnings,Tapware,Dorf Mixer Tap,Dorf,,718.71,3.8,167,,
Bunnings,Tapware,Caroma Basin Mixer Tap,Caroma,,697.99,4.2,105,,
Bunnings,Tapware,Geberit Waterfall Tap,Geberit,,212.6,4.8,199,,
Bunnings,Tapware,Clark Wall Mounted Mixer Pro Black,Clark,,427.83,3.7,167,,
Bunnings,Tapware,Roca Shower Mixer,Roca,,111.86,3.8,96,,
Bunnings,Tapware,Geberit Shower Mixer Matte Black,Geberit,,537.88,3.8,70,,
Bunnings,Tapware,Dorf Waterfall Tap,Dorf,,237.01,3.7,10,,
Bunnings,Tapware,Geberit Shower Mixer Chrome,Geberit,,208.86,3.7,99,,
Bunnings,Tapware,Dorf Bathroom Tapware Set Standard Chrome,Dorf,,108.54,3.9,119,,
Bunnings,Tapware,Roca Bathroom Tapware Set Pro Chrome,Roca,,155.23,3.6,165,,
Bunnings,Tapware,Clark Wall Mounted Mixer,Clark,,496.8,4.4,188,,
Bunnings,Tapware,Toto Shower Mixer,Toto,,636.45,5.0,62,,
Bunnings,Tapware,Clark Wall Mounted Mixer Elite,Clark,,756.73,4.1,180,,
Bunnings,Tapware,Dorf Shower Mixer,Dorf,,782.62,3.6,12,,
Bunnings,Tapware,Mizu Waterfall Tap Gold,Mizu,,322.24,4.6,84,,
Bunnings,Tapware,Toto Mixer Tap,Toto,,759.73,4.7,111,,
Bunnings,Tapware,Geberit Shower Mixer Black,Geberit,,374.36,4.1,19,,
Bunnings,Tapware,Dux Wall Mounted Mixer Brushed Nickel,Dux,,74.7,4.7,111,,
Bunnings,Tapware,Caroma Mixer Tap Pro,Caroma,,266.74,4.1,120,,
Bunnings,Tapware,Dux Waterfall Tap Modern White,Dux,,586.53,3.9,163,,
Bunnings,Tapware,Clark Basin Mixer Tap Brushed Nickel,Clark,,231.73,4.5,25,,
Bunnings,Tapware,Geberit Shower Mixer,Geberit,,627.69,4.8,34,,
Bunnings,Tapware,Dux Shower Mixer Standard,Dux,,738.07,4.8,13,,
Bunnings,Tapware,Dux Bath Mixer Tap Elite,Dux,,560.59,3.9,50,,
Bunnings,Tapware,Mizu Bathroom Tapware Set,Mizu,,483.43,5.0,29,,
Bunnings,Tapware,Mizu Wall Mounted Mixer,Mizu,,57.13,4.5,100,,
Bunnings,Tapware,Toto Bath Mixer Tap,Toto,,192.29,5.0,151,,
Bunnings,Basin,Geberit Top Mount Basin,Geberit,,383.38,3.9,115,,
Bunnings,Basin,Dorf Above Counter Basin,Dorf,,353.46,4.9,70,,
Bunnings,Basin,Geberit Corner Basin,Geberit,,389.44,3.7,83,,
Bunnings,Basin,Dux Semi Recessed Basin,Dux,,1012.47,4.6,189,,
Bunnings,Basin,Dorf Semi Recessed Basin,Dorf,,973.53,4.2,80,,
Bunnings,Basin,Toto Semi Recessed Basin,Toto,,666.96,4.0,176,,
Bunnings,Basin,Roca Top Mount Basin,Roca,,1029.99,4.7,61,,
