Manufacturer,Product link,Supported weight,Specific length,Meets all criteria (Yes/No),If No — which criteria are missing
Accuride,https://www.ebbradley.com/a9308e-40-03.html,600 lb,"40""",No,Disconnect (non-disconnect) | Does not allow disconnect/removal of drawer member
Accuride,https://www.accuride.com/en-us/products/9301e-heavy-duty-full-extension-drawer-slide-non-disconnect,600 lb,"40""",No,Locking mechanism; Disconnect | Does not allow disconnect/removal of drawer member; No integrated lock-in/lock-out mechanism
Knape & Vogt,https://www.knapeandvogt.com/8908,Up to 500 lb (class),"40"" (series)",No,Disconnect (spec states non-disconnect) | Does not allow disconnect/removal of drawer member
Knape & Vogt,https://www.knapeandvogt.com/8500,150 lb class,"40"" availability unclear",No,"Locking; 40"" length uncertain | No integrated lock-in/lock-out mechanism; Unclear or unavailable in 40"" length"
Fulterer,https://www.fulterer.com/en/product/fr-5400l,450 lb (varies by length),"40""",No,Disconnect (manufacturer page says non-detachable) | Does not allow disconnect/removal of drawer member
Fulterer,https://www.ovisonline.com/40-Heavy-Duty-Drawer-Slides-Zinc-FR-5609-P2591.aspx,"165 lb @ 40""","40""",No,Locking mechanism (has disconnect) | No integrated lock-in/lock-out mechanism
Hettich,https://www.lowes.com/pd/Hettich-2-Pack-40-in-Drawer-Slide/1001416706,348 lb (per pair),"40""",No,Locking mechanism; Disconnect (unspecified) | Does not allow disconnect/removal of drawer member; No integrated lock-in/lock-out mechanism
VEVOR,https://www.vevor.com/drawer-slide-c_10537/vevor-drawer-slides-with-lock-drawer-slide-40-ball-bear-500lb-full-extension-p_010953249862,500 lb,"40""",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
VEVOR,https://www.lowes.com/pd/VEVOR-40-in-Side-Mount-Drawer-Slide-2-Pieces/5014472225,500 lb,"40""",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
Vadania,https://vadania.com/product/vd2053-heavy-duty-slides/,Up to 265 lb,"40"" option available",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
AOLISHENG,https://www.metalpartmaker.com/product/844/aolisheng-heavy-duty-drawer-slides-40-inch-with-lock-170-lb-bearing-capacity-full-extension-drawer-slides-drawer-runners-1-pair,170 lb,"40""",Yes,
AOLISHENG,https://www.aolisheng.com/,Up to 500 lb (D2576 series),"40"" (series includes 40"")",No,Disconnect unclear on D2576 page | Does not allow disconnect/removal of drawer member
HVPAL,https://www.hvpalhardware.com/40-inch-drawer-slides/,500 lb,"40""",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
Foxslide,https://www.linearhardware.com/fx3076l-steel-locking-heavy-duty-slides-p5558706.html,Not specified; heavy-duty,"40"" option typical",No,Disconnect (page says non-removable) | Does not allow disconnect/removal of drawer member
Ryadon (OneMonroe),https://ryadon.com/product/drawer-slides-3600/,500 lb,"40"" (check options)",No,Locking mechanism; Disconnect (not indicated) | Does not allow disconnect/removal of drawer member; No integrated lock-in/lock-out mechanism
Jonathan Engineered Solutions,https://www.jonathanengr.com/product/s380t-series/,200 lb,"40"" (customizable)",No,Locking mechanism (has disconnect) | No integrated lock-in/lock-out mechanism
Jonathan Engineered Solutions,https://www.jonathanengr.com/product/300-series/,Varies (heavy duty aluminum options),"40"" (customizable)",No,"Specific off‑the‑shelf 40"" model details; Locking option model‑specific | No integrated lock-in/lock-out mechanism; Unclear or unavailable in 40"" length"
Thomas Regout,https://www.thomasregout-telescopicslides.com/products/product/tr-7619-jumbo,Up to 716 lb,"≥40"" available (metric lengths)",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
Chambrelan,https://chambrelan.com/guide/ra7vf/,Heavy-duty (model dependent),"≥40"" options (metric) likely",No,Disconnect (not indicated explicitly) | Does not allow disconnect/removal of drawer member
Rollon,https://www.rollon.com/usa/en/line/telescopic-line/,High load capacities (model dependent),"≥40"" options (metric)",No,Locking mechanism; Disconnect (not standard) | Does not allow disconnect/removal of drawer member; No integrated lock-in/lock-out mechanism
FIRGELLI,https://www.firgelliauto.com/collections/locking-drawer-slides-lock-in-and-lock-out,Up to 500 lb,"40"" available",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
Coralov,https://www.amazon.com/Capacity-Extension-Bearing-Cabinet-Locking/dp/B0DB5JB83F,300 lb,"40""",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
KCOLVSION,https://www.amazon.com/KCOLVSION-Capacity-Extension-Stainless-Hardware/dp/B09T2F9Q3R,260 lb,"40""",Yes,
Numhew,https://www.homedepot.com/p/Numhew-1-Pair-40-in-Heavy-Duty-Drawer-Slides-with-Screws-Ball-Bearing-Stainless-Steel-Hardware-Drawer-Rails-for-Cabinets-N8X5O3A3/333452230,260 lb,"40""",No,Locking mechanism (not indicated); Disconnect | Does not allow disconnect/removal of drawer member; No integrated lock-in/lock-out mechanism
Betesy Hardware,https://www.amazon.com/Betesy-Hardware-Drawer-Extension-Bearing/dp/B093ZV418N,250 lb,"40""",No,Locking mechanism; Disconnect | Does not allow disconnect/removal of drawer member; No integrated lock-in/lock-out mechanism
Slideone (OVIS),https://www.ovisonline.com/40-Locking-Heavy-Duty-Drawer-Slides-Black-P2741.aspx,500 lb,"40""",No,Disconnect (not indicated) | Does not allow disconnect/removal of drawer member
