Season,Date,Opponent,Record
2009-2010,11/9/09,Alcorn State,W 100-60
2009-2010,11/12/09,James Madison,W 72-44
2009-2010,11/19/09,North Carolina,L 73-77
2009-2010,11/20/09,California,W 76-70
2009-2010,11/24/09,Lipscomb,W 84-64
2009-2010,11/28/09,St. Francis (PA),W 110-47
2009-2010,12/2/09,Florida State,W 77-64
2009-2010,12/5/09,Eastern Michigan,W 111-60
2009-2010,12/12/09,Butler,L 66-74
2009-2010,12/16/09,Presbyterian,W 78-48
2009-2010,12/19/09,Delaware State,W 60-44
2009-2010,12/22/09,Cleveland State,W 72-59
2009-2010,12/31/09,Wisconsin,L 43-65
2009-2010,1/3/10,Michigan,L 64-73
2009-2010,1/6/10,Indiana,W 79-54
2009-2010,1/9/10,Minnesota,L 62-73
2009-2010,1/12/10,Purdue,W 70-66
2009-2010,1/16/10,Wisconsin,W 60-51
2009-2010,1/19/10,Northwestern,W 76-56
2009-2010,1/23/10,West Virginia,L 65-71
2009-2010,1/27/10,Iowa,W 65-57
2009-2010,1/31/10,Minnesota,W 85-63
2009-2010,2/3/10,Penn State,W 75-62
2009-2010,2/7/10,Iowa,W 68-58
2009-2010,2/10/10,Indiana,W 69-52
2009-2010,2/14/10,Illinois,W 72-53
2009-2010,2/17/10,Purdue,L 57-60
2009-2010,2/21/10,Michigan State,W 74-67
2009-2010,2/24/10,Penn State,W 75-67
2009-2010,2/27/10,Michigan,W 66-55
2009-2010,3/2/10,Illinois,W 73-57
2009-2010,3/12/10,Michigan ,W 69-68
2009-2010,3/13/10,Illinois ,W 88-81 2OT
2009-2010,3/14/10,Minnesota ,W 90-61
2009-2010,3/19/10,UC Santa Barbara ,W 68-51
2009-2010,3/21/10,Georgia Tech ,W 75-66
2009-2010,3/26/10,Tennessee ,L 73-76
2010-2011,11/7/10,Walsh ,W 102-56
2010-2011,11/12/10,North Carolina,W 102-61
2010-2011,11/16/10,Florida,W 93-75
2010-2011,11/20/10,UNC Wilmington,W 81-41
2010-2011,11/23/10,Morehead State,W 64-45
2010-2011,11/26/10,Miami (OH),W 66-45
2010-2011,11/30/10,Florida State,W 58-44
2010-2011,12/9/10,IUPUI,W 75-64
2010-2011,12/12/10,Western Carolina,W 85-60
2010-2011,12/15/10,Florida Gulf Coast,W 83-55
2010-2011,12/18/10,South Carolina,W 79-57
2010-2011,12/21/10,UNC Asheville,W 96-49
2010-2011,12/23/10,Oakland,W 92-63
2010-2011,12/27/10,UT Martin,W 100-40
2010-2011,12/31/10,Indiana,W 85-67
2010-2011,1/4/11,Iowa,W 73-68
2010-2011,1/9/11,Minnesota,W 67-64
2010-2011,1/12/11,Michigan,W 68-64
2010-2011,1/15/11,Penn State,W 69-66
2010-2011,1/19/11,Iowa,W 70-48
2010-2011,1/22/11,Illinois,W 73-68
2010-2011,1/25/11,Purdue,W 87-64
2010-2011,1/29/11,Northwestern,W 58-57
2010-2011,2/3/11,Michigan,W 62-53
2010-2011,2/6/11,Minnesota,W 82-69
2010-2011,2/12/11,Wisconsin,L 67-71
2010-2011,2/15/11,Michigan State,W 71-61
2010-2011,2/20/11,Purdue,L 63-76
2010-2011,2/22/11,Illinois,W 89-70
