zipcode,availability
10115,yes
10117,yes
10178,yes
10179,yes
10243,yes
10245,yes
10247,yes
10317,yes
10365,yes
10405,yes
10407,yes
10437,yes
10557,yes
10587,yes
10627,yes
10707,yes
10777,yes
10827,yes
10829,yes
10963,yes
10969,yes
10997,yes
10999,yes
12051,yes
12099,yes
12103,yes
12105,yes
12107,yes
12163,yes
12203,yes
12207,yes
12249,yes
12277,yes
12347,yes
12353,yes
12359,yes
12459,yes
12487,yes
12489,yes
12524,yes
12529,yes
12557,yes
12555,yes
12619,yes
12627,yes
12679,yes
12683,yes
13055,yes
13125,yes
13127,yes
13156,yes
13187,yes
13347,yes
13353,yes
13357,yes
13403,yes
13407,yes
13409,yes
13507,yes
13509,yes
13581,yes
13585,yes
13587,yes
13627,yes
13629,yes
14059,yes
14057,yes
14167,yes
14193,yes
14195,yes
14199,yes
14480,yes
14467,yes
14469,yes
14482,yes
14513,yes
14612,yes
14979,yes
15366,yes
15370,yes
15517,yes
15711,yes
15749,yes
15745,yes
15754,yes
15732,yes
15806,yes
15827,yes
15831,yes
15834,yes
16356,yes
16540,yes
16727,yes
16761,yes
55116,yes
55120,yes
55129,yes
55122,yes
55130,yes
55294,yes
55252,yes
60313,yes
60386,yes
60311,yes
60314,yes
60437,yes
60439,yes
60486,yes
60433,yes
60487,yes
60549,yes
60528,yes
60599,yes
60594,yes
60529,yes
61381,yes
61352,yes
61348,yes
61440,yes
61449,yes
61462,yes
61476,yes
61479,yes
63069,yes
63071,yes
63065,yes
63067,yes
63075,yes
63110,yes
63128,yes
63165,yes
63179,yes
63150,yes
63263,yes
63225,yes
63303,yes
63322,yes
63329,yes
63477,yes
63450,yes
63452,yes
64293,yes
64295,yes
64283,yes
64291,yes
64297,yes
64331,yes
64319,yes
64347,yes
64546,yes
64521,yes
64560,yes
64569,yes
65197,yes
65183,yes
65199,yes
65187,yes
65189,yes
65203,yes
65205,yes
65239,yes
65207,yes
65307,yes
65428,yes
65474,yes
65479,yes
65462,yes
65451,yes
65527,yes
65719,yes
65779,yes
65795,yes
65760,yes
65812,yes
65824,yes
65817,yes
65843,yes
65830,yes
65929,yes
65933,yes
80331,yes
80333,yes
80336,yes
80339,yes
80335,yes
80469,yes
65931,yes
65936,yes
65934,yes
80538,yes
80539,yes
80636,yes
80634,yes
80687,yes
80639,yes
80686,yes
80797,yes
80796,yes
80799,yes
80798,yes
80807,yes
80802,yes
80804,yes
80805,yes
80809,yes
80939,yes
80995,yes
80997,yes
80992,yes
80999,yes
81249,yes
81245,yes
81241,yes
81243,yes
81247,yes
81379,yes
81369,yes
81377,yes
81375,yes
81373,yes
81477,yes
81475,yes
81476,yes
81479,yes
81539,yes
81541,yes
81549,yes
81543,yes
81673,yes
81667,yes
81669,yes
81671,yes
81677,yes
81737,yes
81735,yes
81739,yes
81829,yes
81825,yes
81827,yes
81927,yes
81925,yes
81929,yes
82024,yes
82008,yes
82031,yes
82041,yes
82061,yes
82110,yes
82140,yes
82152,yes
82178,yes
82194,yes
82256,yes
82229,yes
82275,yes
82319,yes
82362,yes
82335,yes
82407,yes
82538,yes
82515,yes
82547,yes
85354,yes
85399,yes
85435,yes
85445,yes
85551,yes
85521,yes
85540,yes
85570,yes
85586,yes
85609,yes
85646,yes
85748,yes
85716,yes
85764,yes
85737,yes
86156,yes
86167,yes
86150,yes
86153,yes
86154,yes
86911,yes
