zipcode,availability
1067,Yes
1069,Yes
1097,Yes
1099,Yes
1108,Yes
1109,Yes
1127,Yes
1129,Yes
1139,Yes
1156,Yes
1157,Yes
1159,Yes
1169,Yes
1187,Yes
1189,Yes
1217,Yes
1219,Yes
1237,Yes
1239,Yes
1257,Yes
1259,Yes
1277,Yes
1279,Yes
1307,Yes
1309,Yes
1324,Yes
1326,Yes
1328,Yes
1445,Yes
1454,Yes
1458,Yes
1465,Yes
1468,Yes
1471,Yes
1477,Yes
1558,Yes
1561,Yes
1587,Yes
1589,Yes
1591,Yes
1594,Yes
1609,Yes
1612,Yes
1616,Yes
1619,Yes
1623,Yes
1640,Yes
1662,Yes
1665,Yes
1683,Yes
1689,Yes
1705,Yes
1723,Yes
1728,Yes
1731,Yes
1734,Yes
1737,Yes
1738,Yes
1744,Yes
1762,Yes
1768,Yes
1773,Yes
1774,Yes
1776,Yes
1778,Yes
1796,Yes
1809,Yes
1814,Yes
1816,Yes
1819,Yes
1824,Yes
1825,Yes
1829,Yes
1833,Yes
1844,Yes
1847,Yes
1848,Yes
1855,Yes
1877,Yes
1896,Yes
1900,Yes
1904,Yes
1906,Yes
1909,Yes
1917,Yes
1920,Yes
1936,Yes
1945,Yes
1968,Yes
1979,Yes
1983,Yes
1987,Yes
1990,Yes
1993,Yes
1994,Yes
1996,Yes
1998,Yes
99998,Yes
99996,Yes
99994,Yes
99991,Yes
99988,Yes
99986,Yes
99976,Yes
99974,Yes
99958,Yes
99955,Yes
99947,Yes
99897,Yes
99894,Yes
99891,Yes
99887,Yes
99885,Yes
99880,Yes
99869,Yes
99867,Yes
99848,Yes
99846,Yes
99842,Yes
99837,Yes
99834,Yes
99831,Yes
99830,Yes
99826,Yes
99820,Yes
99819,Yes
99817,Yes
99768,Yes
99765,Yes
99762,Yes
99759,Yes
99755,Yes
99752,Yes
99735,Yes
99734,Yes
99718,Yes
99713,Yes
99707,Yes
99706,Yes
99638,Yes
99636,Yes
99634,Yes
99631,Yes
99628,Yes
99625,Yes
99610,Yes
99518,Yes
99510,Yes
99448,Yes
99444,Yes
99441,Yes
99439,Yes
99438,Yes
99428,Yes
99427,Yes
99425,Yes
99423,Yes
99338,Yes
99334,Yes
99331,Yes
99330,Yes
99326,Yes
99310,Yes
99198,Yes
99195,Yes
99192,Yes
99189,Yes
99102,Yes
99100,Yes
99099,Yes
99098,Yes
99097,Yes
99096,Yes
99095,Yes
99094,Yes
99092,Yes
99091,Yes
99090,Yes
99089,Yes
99087,Yes
99086,Yes
99085,Yes
99084,Yes
98528,Yes
98527,Yes
98746,Yes
98744,Yes
98743,Yes
98739,Yes
98724,Yes
98716,Yes
98714,Yes
98711,Yes
98708,Yes
98704,Yes
98700,Yes
98694,Yes
98693,Yes
98678,Yes
98673,Yes
98669,Yes
98667,Yes
98666,Yes
98663,Yes
98660,Yes
98646,Yes
98639,Yes
98634,Yes
98631,Yes
98630,Yes
98617,Yes
98597,Yes
98596,Yes
98593,Yes
98590,Yes
98587,Yes
98574,Yes
98559,Yes
98554,Yes
98553,Yes
98547,Yes
98544,Yes
98530,Yes
98529,Yes
97999,Yes
97996,Yes
97072,Yes
97070,Yes
97993,Yes
97990,Yes
97980,Yes
97959,Yes
97957,Yes
97956,Yes
97953,Yes
97950,Yes
97947,Yes
97944,Yes
97941,Yes
97922,Yes
97909,Yes
97907,Yes
97906,Yes
97904,Yes
97903,Yes
97901,Yes
97900,Yes
97896,Yes
97892,Yes
97877,Yes
97859,Yes
97857,Yes
97855,Yes
